description,id,labels,language,name,primary_language,recorded_at,region
P,mostlyca-2db3-4d2b-b9ab-f28c681ca765,KnowledgeDomain:Culture,,,Swahili,2024-10-13 23:58:00,
", ",mostly5b-21fb-4699-9566-3dc8f790014e,KnowledgeDomain:Culture,,,Zulu,2024-01-25 10:51:00,
-.,mostly98-4e7a-4be4-a7e2-15b3d801d753,KnowledgeDomain:Culture,,,Igbo,2025-09-17 16:06:00,
2024-06-T-0.,mostlyfc-7cac-4ffb-ba55-6265a2741416,KnowledgeDomain:Culture,,,Swahili,2024-10-10 17:16:00,
neural_purpose,mostly2d-56b4-4b8a-ae0a-c76fed6b2e80,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
2024,mostly41-0e0f-4150-bdd0-df517b47e63c,KnowledgeDomain:Culture,,,Swahili,2025-07-07 05:42:00,
In,mostlyc8-858b-47b6-a2d6-47fedd31824a,KnowledgeDomain:Culture,,,Yoruba,2024-04-28 04:09:00,
-05 {,mostlye1-2851-4e58-8b2f-e9d73981a11b,KnowledgeDomain:Culture,,,Hausa,2024-04-30 04:36:00,
"W-0.---0.7660805,-0.43318}08,:13",mostly05-37e7-42d9-b403-2e07aee2d192,KnowledgeDomain:Culture,,,Hausa,2024-02-19 01:56:00,
description,mostly80-11d1-4059-9b6d-c4e48849898a,KnowledgeDomain:Culture,,,Hausa,2025-03-05 21:29:00,
: ,mostlyb5-3db2-4a19-8362-b6d55dbf2e16,KnowledgeDomain:Culture,,,Oromo,2025-07-28 12:24:00,
: ,mostly7a-c585-47c2-bb83-ea33edaa0ed9,KnowledgeDomain:Culture,,,Amharic,2024-10-13 05:11:00,
_representation,mostlyb1-3cdc-4fe2-a894-47a35a82b8b6,KnowledgeDomain:Culture,,,Igbo,2025-03-05 18:20:00,
transmission__at,mostly41-e684-4059-9f78-e44b53fe4020,KnowledgeDomain:Culture,,,Yoruba,2024-01-19 06:01:00,
"M Africa. and8,, and.",mostlyc3-32a2-45dd-81d6-a0faa7120529,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
: ,mostlyc9-7932-4386-9f7d-470374520123,KnowledgeDomain:Culture,,,Oromo,2025-03-04 22:29:00,
historical_method,mostly33-b96e-4107-8b49-6a4f83c06dee,KnowledgeDomain:Culture,,,Zulu,2025-03-08 22:02:00,
"neural in in as.,--0.67,0.1,-20.808.184,16,0.6.",mostly21-2bd0-419b-9b49-ed1eee3a6f7e,KnowledgeDomain:Culture,,,Hausa,2024-05-06 20:41:00,
region,mostly9b-6210-41e8-93a0-f5cc7aea44f9,KnowledgeDomain:Culture,,,Zulu,2025-06-15 14:21:00,
"2024-2,--0.8,-05007,0.08, and18.2763-1.716,1.0.6 and617,0.4,-2721,.-250.9",mostly6d-918a-44ff-965b-872077a18122,KnowledgeDomain:Culture,,,Zulu,2025-04-04 15:52:00,
-,mostlybb-aec6-4893-a9db-8cf5509f4b95,KnowledgeDomain:Culture,,,Yoruba,2025-07-28 04:20:00,
", {",mostly27-cadd-467b-8ade-6de5bc8b1082,KnowledgeDomain:Culture,,,Igbo,2025-01-19 23:42:00,
meaningembedding Africa: ,mostly39-9659-456a-b70e-4ed0f1fc2d65,KnowledgeDomain:Culture,,,Igbo,2025-07-27 00:31:00,
: ,mostly5b-fa03-4b85-aba3-f8de18e356ce,KnowledgeDomain:Culture,,,Igbo,2025-05-05 08:06:00,
2024,mostly92-d035-4201-a24f-aa15a05373bc,KnowledgeDomain:Culture,,,Oromo,2024-02-29 19:17:00,
dance,mostly26-ccdc-447a-acac-77963a1e0b00,KnowledgeDomain:Culture,,,Zulu,2024-01-25 10:38:00,
To ,mostly7a-b844-41bf-bcaa-ec9146745fa8,KnowledgeDomain:Culture,,,Shona,2024-10-10 14:22:00,
B,mostly96-e87f-4527-a4d1-c217509c01d9,KnowledgeDomain:Culture,,,Amharic,2025-03-17 06:05:00,
Porar,mostlyb7-477e-477f-95c5-e0e7af6f5e0a,KnowledgeDomain:Culture,,,Zulu,2025-02-14 01:41:00,
symbolic_relevance,mostly2b-68df-4245-b7d3-08a2f930ab7d,KnowledgeDomain:Culture,,,Oromo,2024-05-20 00:39:00,
", ",mostly10-b933-4b42-8bd4-a3d993c3aa26,KnowledgeDomain:Culture,,,Oromo,2025-09-13 22:23:00,
{_language,mostly83-6233-418c-9d4d-da23fa3788b7,KnowledgeDomain:Culture,,,Igbo,2025-06-25 20:24:00,
"Mbs andp c,.-speaking0, ",mostly9d-2672-42c0-badc-b74697fec7c9,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
"historical_,-",mostly76-99fe-42d0-9829-13ded5b1ffba,KnowledgeDomain:Culture,,,Shona,2024-05-17 04:40:00,
regioningarityper toingy.{,mostly5f-732f-4778-8389-7be9098741e0,KnowledgeDomain:Culture,,,Oromo,2024-06-05 11:27:00,
P_method,mostly9c-4757-4357-b5dd-6fb44629acef,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
historical_at,mostlyfd-1754-4714-866e-a256a9ce3193,KnowledgeDomain:Culture,,,Zulu,2024-03-19 07:31:00,
"Ma of s,1}:00_",mostly77-bc01-4b3c-b065-ab0f943f1b90,KnowledgeDomain:Culture,,,Zulu,2024-06-10 04:00:00,
symbolic,mostly89-24f2-41ec-a94f-bb15dc6482b6,KnowledgeDomain:Culture,,,Swahili,2025-04-23 17:27:00,
wisdom,mostly0b-411c-43fd-b70a-1783cd6fcbd1,KnowledgeDomain:Culture,,,Igbo,2025-06-13 11:26:00,
modern_: ,mostly77-4b76-4191-ad5d-f461508ac6ef,KnowledgeDomain:Culture,,,Amharic,2025-03-08 11:02:00,
R ,mostly75-d495-4c64-98f2-adf1ad396d36,KnowledgeDomain:Culture,,,Swahili,2025-04-21 06:17:00,
: ,mostly4d-a034-455e-a767-0b6323bc1bd3,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
region,mostly76-86cb-4b28-8206-0b964961e8a9,KnowledgeDomain:Culture,,,Yoruba,2025-05-07 06:02:00,
modern_relevance,mostly9a-841a-41f3-a91c-dcaebec7c108,KnowledgeDomain:Culture,,,Oromo,2024-07-21 02:36:00,
M_relevance,mostlyc5-6910-4cb0-9123-68b1d8658445,KnowledgeDomain:Culture,,,Igbo,2025-06-25 23:02:00,
culture,mostly88-f09c-44dd-b7ad-600c6889d3e4,KnowledgeDomain:Culture,,,Swahili,2024-06-11 06:28:00,
: ,mostlyd7-081c-4124-b483-b3eb25f3eaba,KnowledgeDomain:Culture,,,Swahili,2025-05-06 22:29:00,
}}_ ,mostlyd5-cc3d-493e-9c1d-5eaf6769a5b6,KnowledgeDomain:Culture,,,Yoruba,2025-08-20 17:13:00,
", ",mostly61-e0d1-41e4-b1ce-de480d505fb1,KnowledgeDomain:Culture,,,Oromo,2025-08-11 14:31:00,
neural_at,mostly19-7281-4d75-b16c-7d7b9bcfcb44,KnowledgeDomain:Culture,,,Swahili,2024-10-28 23:31:00,
recorded,mostly22-3d09-48b0-ae1e-fa8b80043fca,KnowledgeDomain:Culture,,,Igbo,2025-01-26 08:20:00,
"regionanityuser,.",mostlya4-1c5f-48ea-8907-3e1866432647,KnowledgeDomain:Culture,,,Swahili,2024-05-01 04:41:00,
:S,mostly98-e47e-455a-a9c2-118feed4dba0,KnowledgeDomain:Culture,,,Igbo,2025-07-26 07:31:00,
cultural,mostlyda-ebaf-45e4-8b4f-5ab9a4761eb2,KnowledgeDomain:Culture,,,Igbo,2025-03-18 00:23:00,
primaryhistorical_context,mostly74-679f-4d35-995d-e10374a55080,KnowledgeDomain:Culture,,,Shona,2025-08-10 07:45:00,
neural_relevance,mostly0a-5c83-4e71-96af-2198fb7e7852,KnowledgeDomain:Culture,,,Zulu,2024-07-12 13:23:00,
: and ,mostly96-3871-452f-a547-4a5045a25883,KnowledgeDomain:Culture,,,Hausa,2024-11-30 10:43:00,
,mostly4a-0af1-4be5-9d2f-39d703b440e2,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
Shona_at,mostly16-cb0d-4552-8f8b-92c98572fbf7,KnowledgeDomain:Culture,,,Amharic,2025-03-19 06:07:00,
C,mostly13-edcc-40d5-b311-312ddc0d3d36,KnowledgeDomain:Culture,,,Igbo,2025-04-13 02:05:00,
Toer} sr f.,mostlyb5-636e-471f-b853-fc70e359539d,KnowledgeDomain:Culture,,,Yoruba,2024-10-06 07:38:00,
historical_embedding,mostlyd2-55d5-423a-8a32-b8915c1ed7a7,KnowledgeDomain:Culture,,,Igbo,2025-03-07 14:01:00,
2024embedding,mostlycd-bf22-458f-a008-397561847e38,KnowledgeDomain:Culture,,,Oromo,2024-09-30 16:27:00,
"historicalo m, ands and and, sey m, and culturalers ss.73",mostlya6-23ed-4a4b-b7b8-0e498eaff863,KnowledgeDomain:Culture,,,Shona,2024-02-13 03:03:00,
},mostly78-de1b-4abc-9c9a-dc1d98754dd9,KnowledgeDomain:Culture,,,Shona,2024-08-25 19:44:00,
historical_.,mostlycc-dfc2-4d26-8bfc-f19da2c45b5e,KnowledgeDomain:Culture,,,Hausa,2024-05-16 04:47:00,
: ,mostlyc3-596c-4c3a-9dc9-f1cf542e4cce,KnowledgeDomain:Culture,,,Hausa,2024-11-19 04:13:00,
_purpose,mostlyee-2544-42b4-b30c-45409c46d65c,KnowledgeDomain:Culture,,,Oromo,2024-01-25 23:58:00,
: ,mostlyd2-e43c-4948-b2ce-e05ef091d2b1,KnowledgeDomain:Culture,,,Amharic,2024-04-20 16:10:00,
-_at,mostlya1-6ef0-4284-b56d-86e187bbf868,KnowledgeDomain:Culture,,,Shona,2024-12-20 13:29:00,
-or.,mostlye0-7fd6-442b-a3ed-a3b391bfa002,KnowledgeDomain:Culture,,,Igbo,2024-04-23 19:31:00,
region,mostlyf1-12a7-480d-8588-77986f0f9e62,KnowledgeDomain:Culture,,,Zulu,2025-08-15 11:20:00,
primarying_,mostlyf1-095c-4e2b-8b19-0a042b1a383b,KnowledgeDomain:Culture,,,Igbo,2024-07-02 04:15:00,
neural ,mostly07-59c6-4d81-8512-f727637d37b6,KnowledgeDomain:Culture,,,Oromo,2024-07-13 04:51:00,
region,mostlye2-31c5-41dc-a379-79c075c74a8e,KnowledgeDomain:Culture,,,Igbo,2024-07-28 02:46:00,
"-0.373,-0.60..12-,-0-08.0247",mostlyeb-8f04-41a0-810e-b2ad78a0fdaf,KnowledgeDomain:Culture,,,Oromo,2024-03-04 12:01:00,
transmission_T: ,mostly16-6a76-4952-bba8-448167596668,KnowledgeDomain:Culture,,,Zulu,2025-07-02 15:56:00,
2025s,mostlyb9-527e-4032-a926-e99a854546e6,KnowledgeDomain:Culture,,,Yoruba,2025-05-01 07:42:00,
,mostlyb9-9567-4cb5-b707-ce2c2e2d99e1,KnowledgeDomain:Culture,,,Amharic,2025-01-22 01:44:00,
-0.099,mostly2f-e904-427f-90dd-d92f5be46758,KnowledgeDomain:Culture,,,Yoruba,2024-03-13 03:53:00,
"moderneelal in withsyenrealomu and to,",mostly1d-0571-4103-9c20-e979fae912d4,KnowledgeDomain:Culture,,,Swahili,2025-05-02 22:01:00,
", {",mostly41-ae90-4b21-bf83-6f529d88d682,KnowledgeDomain:Culture,,,Shona,2025-02-11 14:21:00,
neural_representationkes,mostly7e-9800-4b2b-ad1d-b602c8cd9733,KnowledgeDomain:Culture,,,Hausa,2024-04-18 10:12:00,
recorded_context,mostly34-560b-4626-9930-b6949682c873,KnowledgeDomain:Culture,,,Oromo,2024-08-08 15:37:00,
primary_language,mostly41-749f-4334-aefd-470d346a3645,KnowledgeDomain:Culture,,,Yoruba,2024-11-21 11:12:00,
region,mostly94-7c0c-4301-8d78-ec499841bc0a,KnowledgeDomain:Culture,,,Swahili,2024-07-25 23:56:00,
P,mostlybf-4797-4599-bdbb-7561ab3b90c2,KnowledgeDomain:Culture,,,Shona,2024-08-25 22:06:00,
symbolic,mostlyd5-3cc9-4c96-972b-d071cc2d995c,KnowledgeDomain:Culture,,,Zulu,2025-07-28 07:59:00,
} {,mostly4a-fbe1-4a36-880f-d029fdad6d59,KnowledgeDomain:Culture,,,Yoruba,2024-06-19 05:56:00,
,mostly56-9320-48f3-988b-03a600543f8a,KnowledgeDomain:Culture,,,Shona,2025-04-09 15:44:00,
 ,mostlyc0-f097-4259-ac70-8504835639e7,KnowledgeDomain:Culture,,,Yoruba,2024-10-01 19:12:00,
", {.",mostlyab-2034-4457-8e11-56e8a81490d8,KnowledgeDomain:Culture,,,Igbo,2024-04-15 01:00:00,
W,mostlyd2-7864-4f3e-8f49-73b1f6508736,KnowledgeDomain:Culture,,,Yoruba,2024-08-13 17:37:00,
} ,mostly9e-2129-4d47-9d03-0fbf224d8f0b,KnowledgeDomain:Culture,,,Oromo,2025-08-11 00:34:00,
primary_embeddingse andal.,mostly72-bd31-435c-8f53-5a10333d5722,KnowledgeDomain:Culture,,,Amharic,2024-06-28 21:45:00,
"2025-09,-0:0.000170.",mostlyd9-13aa-49fa-b322-8b255fe6b0b2,KnowledgeDomain:Culture,,,Igbo,2025-09-19 15:51:00,
description_,mostlyfc-14df-4a0e-9070-2e900665c511,KnowledgeDomain:Culture,,,Yoruba,2025-03-15 07:03:00,
primary-10 and.,mostly32-4070-49e9-9dbb-89988fdcf0ea,KnowledgeDomain:Culture,,,Swahili,2025-04-05 22:45:00,
Med anding thet.,mostlyfd-4fa6-4847-bb28-9ae7980c71f6,KnowledgeDomain:Culture,,,Shona,2025-08-04 16:56:00,
culture,mostly6f-0fad-44ce-87bf-5c954cdc667f,KnowledgeDomain:Culture,,,Swahili,2025-04-08 11:36:00,
W,mostly37-b24a-473c-a624-82f48871edcc,KnowledgeDomain:Culture,,,Shona,2025-01-16 14:32:00,
"2024-0.-0.9,0..04,1.050.-1,-0.4850..., and05.2051.30,T-1.15,-7001,.4-1.19,",mostlyda-722c-42d0-af8d-0bf941688db3,KnowledgeDomain:Culture,,,Amharic,2024-02-08 04:16:00,
"Oromocontextal,: leler in p and,0.72s6,0., and ",mostly34-517d-448a-8b3d-46a8e7b19dcf,KnowledgeDomain:Culture,,,Oromo,2025-06-08 07:00:00,
culture,mostly4d-b18c-425c-98a5-6336f798816c,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
To ,mostlyea-a83f-4095-a836-e193dc090b3e,KnowledgeDomain:Culture,,,Yoruba,2024-02-17 07:45:00,
"description0.9005,0..3,0.47.6.04.6,-10.05901T9,.9 and7-0.-,0.16,, and.18",mostly6b-0ede-418a-a6dc-60bd51fc33c7,KnowledgeDomain:Culture,,,Swahili,2024-11-27 09:23:00,
2024 and g,mostlye0-8570-449c-a36a-e3afd834ff4c,KnowledgeDomain:Culture,,,Swahili,2024-09-04 22:01:00,
region,mostlybf-1f2d-4ed3-852b-1525d6aac6e9,KnowledgeDomain:Culture,,,Zulu,2024-09-01 08:04:00,
"festivalinger ofi and,, ",mostlybc-dd99-40b2-9189-84fc3ea45a31,KnowledgeDomain:Culture,,,Yoruba,2024-04-02 01:59:00,
R,mostly7b-e4ba-4dfe-8673-9f9080e5fe05,KnowledgeDomain:Culture,,,Swahili,2025-01-11 02:47:00,
recorded{,mostlyb7-01ee-44d5-bac6-7d294c2b7163,KnowledgeDomain:Culture,,,Hausa,2024-11-01 09:32:00,
2025-T,mostly5e-5567-4b2d-9695-42cf40bc0934,KnowledgeDomain:Culture,,,Amharic,2024-06-06 22:49:00,
:,mostly18-4c2a-40e0-a1be-90a038a78855,KnowledgeDomain:Culture,,,Hausa,2024-09-17 07:34:00,
: ,mostlyf3-7876-49f6-9cb9-d3995fc7e6d2,KnowledgeDomain:Culture,,,Swahili,2025-08-02 23:20:00,
transmission_method,mostly5e-1e71-4388-a7fc-f8d0e07a24db,KnowledgeDomain:Culture,,,Swahili,2024-06-26 13:06:00,
recorded_at,mostlyf8-e046-4fd7-9962-113ebc78cac0,KnowledgeDomain:Culture,,,Igbo,2024-06-22 08:00:00,
"--0_.71900:-1T.6,-",mostly11-1f8f-4963-a679-7eba6310f54d,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
modern ,mostly6a-6eb5-4dea-a9c9-37fcf4dcc38c,KnowledgeDomain:Culture,,,Shona,2024-10-28 11:32:00,
"primary_representationin1.7,",mostly9a-e3d2-44ac-a420-bcbf9492e7ce,KnowledgeDomain:Culture,,,Hausa,2025-02-19 14:32:00,
: ,mostly8d-9467-4a21-8404-a1f539b89cf9,KnowledgeDomain:Culture,,,Oromo,2024-01-04 10:20:00,
-3 {,mostlyce-2785-47d4-b8e0-b4577997977d,KnowledgeDomain:Culture,,,Swahili,2024-08-27 12:45:00,
Shona_relevance,mostly95-8f60-4217-8e98-35ea61fc89d7,KnowledgeDomain:Culture,,,Swahili,2024-07-20 07:34:00,
symbolic,mostlyd2-88c7-4c8a-bfde-04c9ebcd08e9,KnowledgeDomain:Culture,,,Hausa,2024-09-27 11:04:00,
Eastin ,mostlycf-166e-4673-9f27-3c4866bfbc61,KnowledgeDomain:Culture,,,Oromo,2024-02-17 18:49:00,
Tor,mostly8a-9048-49cf-8067-a7c4aaf622d7,KnowledgeDomain:Culture,,,Oromo,2024-04-06 02:58:00,
S: {,mostly64-3c41-45b7-be4e-51bd89317f48,KnowledgeDomain:Culture,,,Zulu,2025-04-11 23:04:00,
primaryes c,mostly94-8493-4e0f-a516-e95cb9a28628,KnowledgeDomain:Culture,,,Zulu,2024-06-27 13:40:00,
C,mostlyd2-428d-4d0a-aceb-7af78a2e4201,KnowledgeDomain:Culture,,,Amharic,2025-04-30 02:24:00,
region_,mostly80-6da1-4a6d-bbcc-28f276fa0b75,KnowledgeDomain:Culture,,,Yoruba,2025-08-20 04:09:00,
wisdom,mostly32-a8fc-4d56-b172-f2ec6ccf6639,KnowledgeDomain:Culture,,,Hausa,2024-03-14 20:26:00,
} {,mostly74-e7f2-4d94-b7bf-2cd345a11c97,KnowledgeDomain:Culture,,,Zulu,2024-10-01 06:33:00,
recorded_representation,mostly42-b8d8-47c9-8898-5020aac539a1,KnowledgeDomain:Culture,,,Shona,2024-01-01 18:38:00,
"C in, withar and,, and and community per and, cultural s and and to-0.-03..29,0-1450.2514,-0.701490.48,-28.04,-,-1.403,-1.,1.",mostly48-b223-4452-a4c7-6887406dbf82,KnowledgeDomain:Culture,,,Yoruba,2025-02-19 23:47:00,
":  Africa0.5,",mostly7d-5392-422d-804f-d4c1931f6c9f,KnowledgeDomain:Culture,,,Shona,2025-05-30 04:06:00,
M_encoded,mostly0d-8cb3-48d1-844f-f294444e1600,KnowledgeDomain:Culture,,,Amharic,2024-04-02 02:19:00,
wisdom_purpose,mostly35-9148-48d6-b28b-31dbf1fa482c,KnowledgeDomain:Culture,,,Hausa,2024-05-30 07:41:00,
primary_language,mostly09-d4d0-4e22-8c2c-88f28c8dcd6b,KnowledgeDomain:Culture,,,Swahili,2024-09-17 16:33:00,
festival,mostly75-885d-4e5f-b835-9335de0c717b,KnowledgeDomain:Culture,,,Swahili,2024-04-18 13:04:00,
: {,mostly10-b751-4675-bf7a-fe514ecab09b,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
2025,mostlyfe-ffc6-43c7-aa62-88ce82d02a21,KnowledgeDomain:Culture,,,Hausa,2025-08-20 17:22:00,
transmission_method,mostly7e-293b-465b-bcb4-ac0fa88d008d,KnowledgeDomain:Culture,,,Swahili,2024-12-31 04:13:00,
", {",mostly34-bcb6-4eb8-b277-8869706a3322,KnowledgeDomain:Culture,,,Yoruba,2024-03-01 14:37:00,
neural.,mostlyf6-ec79-4e74-864d-26a68d6d78bd,KnowledgeDomain:Culture,,,Swahili,2024-02-21 18:03:00,
2025o ,mostly43-df0e-4c46-b252-0c785b754ba9,KnowledgeDomain:Culture,,,Oromo,2024-05-01 10:09:00,
cultural_,mostlyb4-5272-4e5c-9794-d7162dbe1260,KnowledgeDomain:Culture,,,Swahili,2025-04-16 23:13:00,
", ",mostly7e-11fe-44eb-8307-86c13c7f30ea,KnowledgeDomain:Culture,,,Yoruba,2024-05-20 05:58:00,
"Tods,.",mostly23-446a-4427-8078-5638c5f87b6a,KnowledgeDomain:Culture,,,Zulu,2024-02-15 16:20:00,
neural_embedding,mostlydc-f82a-4c9e-b694-e40c8784f44e,KnowledgeDomain:Culture,,,Swahili,2024-05-28 05:28:00,
culturall,mostly1b-9481-4174-85ea-575b5cd490db,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
meaning ,mostly83-a957-4bd5-a98a-270785416776,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
symbolic-07-or: ,mostlyc3-08af-49b5-9eb9-970f95e971f4,KnowledgeDomain:Culture,,,Hausa,2024-04-21 14:43:00,
historical_representation,mostlyd4-b33c-4754-b06b-df20ac9771b8,KnowledgeDomain:Culture,,,Swahili,2024-07-22 22:08:00,
"meaning_languageeing_ and cding and inenicf, and socialan social ofo aity-m in s,e f",mostlyae-27ac-4c7d-b7ac-c2509bb81709,KnowledgeDomain:Culture,,,Yoruba,2024-01-14 18:58:00,
: ,mostly8c-8c9c-4d81-9c58-fe9731550882,KnowledgeDomain:Culture,,,Yoruba,2024-01-04 18:10:00,
Igbo,mostly55-b7e8-493b-a648-4a17730533dd,KnowledgeDomain:Culture,,,Oromo,2024-05-03 11:53:00,
primary__method,mostly84-ce19-434c-b86b-10849c464d32,KnowledgeDomain:Culture,,,Yoruba,2025-02-17 13:21:00,
Ph,mostlyad-44fb-4ff0-9167-579bf4558777,KnowledgeDomain:Culture,,,Yoruba,2024-04-01 16:22:00,
"202410119, ande0.-,,,-047.0241,-1.",mostlydb-7332-4416-baaf-8df404ed60c4,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
 ,mostly1b-f915-4305-bf63-a726efa57cf6,KnowledgeDomain:Culture,,,Swahili,2024-02-29 09:12:00,
"PT Africa to fy, ",mostly69-1b7c-4797-8d2e-1a47086d23ef,KnowledgeDomain:Culture,,,Shona,2025-06-21 21:29:00,
cultural_at,mostlyc3-450b-46a4-ba74-a9d4cdab5bf8,KnowledgeDomain:Culture,,,Shona,2025-07-02 05:53:00,
cultural_context,mostly8d-780f-4a8f-9952-34f553fa6793,KnowledgeDomain:Culture,,,Oromo,2025-09-20 19:39:00,
wisdom_embedding,mostly93-56f2-4f20-8a92-0cdcc9bab644,KnowledgeDomain:Culture,,,Igbo,2024-03-25 03:07:00,
: ,mostly48-ab38-49c0-8e2c-819b907e6cc8,KnowledgeDomain:Culture,,,Shona,2024-02-25 17:48:00,
transmission_embedding,mostly8d-4388-4693-afd6-0d67198ed3f9,KnowledgeDomain:Culture,,,Amharic,2025-08-24 05:10:00,
C,mostlyb6-fd36-45d2-8af8-75d45ec4c952,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
Sort_relevancey.,mostly3e-ae49-449d-beb0-7cf49d0244eb,KnowledgeDomain:Culture,,,Oromo,2024-05-14 04:32:00,
"In, and and f siins:- and communityeen",mostlyd2-4b5e-4ee7-b11d-90b23e3b4792,KnowledgeDomain:Culture,,,Oromo,2025-09-15 06:05:00,
S,mostly61-81b8-4cd6-891b-554c0a0f6951,KnowledgeDomain:Culture,,,Oromo,2025-04-27 09:00:00,
A .,mostlycc-c56d-4924-8f9b-2738c841f3c3,KnowledgeDomain:Culture,,,Hausa,2024-03-31 18:46:00,
",: ",mostlycf-3b8d-4bac-b9b0-575fac7624cc,KnowledgeDomain:Culture,,,Yoruba,2024-08-05 04:04:00,
historical_,mostlyd7-e9c4-43e3-b049-ceb24b5d3f00,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
P.,mostlyc0-3b48-4cb7-8adc-f1fe396c9c96,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
"recordeder.4,-07-0.663701.022914,0.9125,-019,-30.326T0.11,01,60.-1.4597}261178,0.4,87015,",mostly95-9cc9-45e5-ae56-bb12cf00948b,KnowledgeDomain:Culture,,,Zulu,2024-02-29 20:01:00,
: ,mostlyc3-a4b6-4c06-b310-98e23aad774d,KnowledgeDomain:Culture,,,Shona,2024-10-02 11:05:00,
"-,0.7,0.95",mostly82-3cd9-4cd2-a792-e0f57538a09d,KnowledgeDomain:Culture,,,Zulu,2024-09-13 16:20:00,
", ",mostlyd6-ec80-4667-9196-575a374c4e82,KnowledgeDomain:Culture,,,Yoruba,2024-06-08 07:03:00,
To0.,mostly13-ec49-449e-87e6-b39bbe852447,KnowledgeDomain:Culture,,,Amharic,2025-04-08 03:50:00,
symbolic_or,mostlybc-91a0-42a4-8f01-347f68c9c623,KnowledgeDomain:Culture,,,Yoruba,2024-06-15 13:12:00,
wisdom ,mostlya5-17da-444a-acad-86a2e79b997c,KnowledgeDomain:Culture,,,Igbo,2024-03-20 16:23:00,
Toa_method,mostlyf6-c072-40c8-b820-c17744d90897,KnowledgeDomain:Culture,,,Igbo,2024-06-16 04:42:00,
Shona,mostly0b-bd96-4a27-a7d3-f912fa078175,KnowledgeDomain:Culture,,,Swahili,2024-03-21 18:01:00,
: ,mostly08-328e-44eb-a27e-8666f189314a,KnowledgeDomain:Culture,,,Amharic,2024-07-18 04:20:00,
Toern in and s c,mostly15-dda7-44f8-ab85-d0c00888fbbb,KnowledgeDomain:Culture,,,Swahili,2024-01-10 09:34:00,
wisdom ,mostly30-f69d-420f-9523-6cc0cfe76c7b,KnowledgeDomain:Culture,,,Shona,2025-08-30 03:15:00,
,mostlyea-2eaf-48f4-b832-29405bb58014,KnowledgeDomain:Culture,,,Amharic,2024-01-28 02:09:00,
"wisdom and00 and music and.,-",mostlyc0-d3ba-42b5-8573-534656e6eba4,KnowledgeDomain:Culture,,,Igbo,2024-05-06 11:40:00,
", ",mostly7d-3fe9-4432-8881-ef9dd1c1ed1d,KnowledgeDomain:Culture,,,Yoruba,2025-05-05 12:38:00,
-1.8-0.50.07.,mostly91-ad14-4adf-ab78-04dc682a0591,KnowledgeDomain:Culture,,,Yoruba,2025-02-28 22:38:00,
primary_language,mostlye3-5292-43a1-9c6d-bea6507cb4b9,KnowledgeDomain:Culture,,,Swahili,2024-11-26 11:22:00,
historicalrelevance,mostly10-fef0-4591-bd66-1e89debc898d,KnowledgeDomain:Culture,,,Amharic,2025-02-26 10:33:00,
: ,mostly33-757f-47f5-8062-46d99b83fdab,KnowledgeDomain:Culture,,,Igbo,2024-09-08 10:38:00,
: ,mostly4b-9923-4701-9472-72443dd6fd8c,KnowledgeDomain:Culture,,,Igbo,2024-02-26 22:23:00,
",",mostly7d-37bf-40d2-9e6d-fa94195d288d,KnowledgeDomain:Culture,,,Oromo,2024-07-13 16:10:00,
primary_at,mostly84-2c75-473b-b743-2311add13cb6,KnowledgeDomain:Culture,,,Amharic,2024-09-09 13:51:00,
primary_representation,mostly44-74c5-4321-8a09-5e9e56a1b00a,KnowledgeDomain:Culture,,,Amharic,2025-02-14 04:32:00,
: ,mostly27-bb99-4941-87ec-c44a2538e14a,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
modern_or_purpose,mostly68-5774-48ce-aba4-d7cd829ffbbe,KnowledgeDomain:Culture,,,Igbo,2025-06-07 16:46:00,
culture,mostlya2-dcb7-4b98-a189-ebcfaedb9016,KnowledgeDomain:Culture,,,Swahili,2024-02-19 17:52:00,
"neural}, ",mostly28-3ed3-4557-954b-0e3a8f428dba,KnowledgeDomain:Culture,,,Amharic,2025-09-17 08:31:00,
 ,mostly25-6bf6-45b1-98ec-7a3a4db7f0c5,KnowledgeDomain:Culture,,,Hausa,2024-09-18 15:23:00,
meaningmeaning_orembedding,mostlybd-f5b0-4440-8d14-77ace7e3933a,KnowledgeDomain:Culture,,,Amharic,2025-06-28 22:26:00,
