context,id,labels,object,object_type,predicate,primary_language,recorded_at,relationship_strength,subject,subject_type,symbolic_representation,temporal_aspect
object,mostly00-0c67-4e6e-9e91-88169787261d,KnowledgeDomain:KnowledgeGraphTriple,South e,place,T_representation,Swahili,2024-11-26 16:36:00,moderate,place,person,context,current
cultural,mostlye5-1aff-428a-9730-3efeb4c814bb,KnowledgeDomain:KnowledgeGraphTriple,knowledge_graph,cultural_element,M-a_gi,Amharic,2025-06-28 22:08:00,moderate,moderate,concept,object_type,current
historical,mostlyb5-21c6-4b99-8bea-ed5d4c9794ae,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,: ,Zulu,2025-03-02 09:03:00,strong,"relationship_, ",event,recorded,historical
strong,mostlyca-5c78-4551-9037-093405198566,KnowledgeDomain:KnowledgeGraphTriple,moderate,concept,subject_type{,Amharic,2024-05-28 11:55:00,moderate,,person,primary_,historical
", ",mostlyeb-b455-4bd1-a72b-d43193c82051,KnowledgeDomain:KnowledgeGraphTriple,context,concept,concept,Zulu,2024-02-01 02:24:00,moderate,,place,Swahili,historical
concept,mostly73-3d03-4e9b-be64-a067ebd17982,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,historical,Zulu,2024-11-19 17:24:00,moderate,",k ",concept,S._graph,historical
recordeda and ,mostly27-9242-44e4-8501-43134bdcf002,KnowledgeDomain:KnowledgeGraphTriple,: ,place,organization,Swahili,2024-08-27 20:07:00,moderate,S,place,Igbo_aspect,historical
", ",mostly60-318d-45ce-8ee8-ebb0238fa9c0,KnowledgeDomain:KnowledgeGraphTriple,"-0.062.07,0.9607,025,1.30649,-1..42013,-0.4,",concept,", ",Shona,2025-07-14 02:59:00,strong,Sara,event,place,historical
subject_representationity,mostlyb4-40f1-4bc2-8049-b79afdd0bbcc,KnowledgeDomain:KnowledgeGraphTriple,context,object,", ",Hausa,2025-09-29 17:32:00,strong,neural: ,concept,place,historical
G,mostly51-dda9-4fab-866d-a507cb844326,KnowledgeDomain:KnowledgeGraphTriple,2025anscnin,cultural_element,neural_type,Amharic,2024-05-02 17:58:00,moderate,knowledge: ,cultural_element,: ,historical
"2025-0.91499,-1.18,-1..3,0.9,9.24,-0.0504508,1.71723,:00-1.7,-0.0850,-1.807,",mostlyda-9d1a-476e-81d1-bc312d8abd3c,KnowledgeDomain:KnowledgeGraphTriple,context,cultural_element,place,Hausa,2025-04-14 11:08:00,moderate,recorded_embedding,cultural_element,symbolicy,historical
relationship_graph,mostlyd0-cbc3-4127-bfd2-8ec2e1ed19c5,KnowledgeDomain:KnowledgeGraphTriple,: ,place,neural_embedding,Zulu,2024-05-02 11:46:00,moderate,predicate,place,: ,historical
neuralen ,mostly05-8071-4874-93c1-a7e2e55c3dab,KnowledgeDomain:KnowledgeGraphTriple,relationship_{,place,subject_type,Igbo,2024-11-14 10:28:00,strong,: ,place,: ,historical
: ,mostlyf1-f657-4014-8efc-d815c9be2905,KnowledgeDomain:KnowledgeGraphTriple,moderate,event,,Yoruba,2024-06-21 16:13:00,strong,symbolic_aspect,place,subject: ,historical
C_type,mostly6e-f4c4-4611-9a30-42617d653cc2,KnowledgeDomain:KnowledgeGraphTriple,historical,place,relationship_at,Yoruba,2024-04-03 08:55:00,strong,issubject,concept,subject,historical
: ,mostlyba-c384-4303-babd-2f59be419d58,KnowledgeDomain:KnowledgeGraphTriple,_representation,cultural_element,} ,Zulu,2025-05-01 12:42:00,weak,2025{,place,: ,current
", ",mostly1f-c4e4-4d23-aefe-74fc58d01b53,KnowledgeDomain:KnowledgeGraphTriple,relationship_type,event,neural_type,Swahili,2024-08-08 09:24:00,moderate,: ,place,influen Africa: andate a,historical
M-,mostlye9-2bfc-4818-8b32-9ab2ea403a5e,KnowledgeDomain:KnowledgeGraphTriple,", ",place,: ,Amharic,2025-07-05 22:12:00,weak,subject,place,,historical
historical,mostly4e-3a8c-4642-ac21-1125dc3b37d2,KnowledgeDomain:KnowledgeGraphTriple,concept,place,organization,Zulu,2024-02-24 01:24:00,strong,,place,_at,historical
strong,mostly5a-b138-4ad9-ab68-1c0d80cd3240,KnowledgeDomain:KnowledgeGraphTriple,object_at{,organization,,Amharic,2024-05-14 01:06:00,strong, ,place,place,historical
primary_embedding,mostlyca-66c0-43d1-9411-5c516258aa58,KnowledgeDomain:KnowledgeGraphTriple,", ",cultural_element,", ",Zulu,2025-05-20 20:42:00,strong,relationship_,place,predicate,historical
Igbo,mostly12-5833-47eb-a5cf-4eba98c15c22,KnowledgeDomain:KnowledgeGraphTriple,neural_language,concept,,Yoruba,2024-04-20 06:29:00,strong,organization,place,A,historical
temporal_,mostlyce-8388-418d-95f9-4b926326dc9e,KnowledgeDomain:KnowledgeGraphTriple,object_,object, ,Swahili,2024-01-04 17:56:00,strong,"predicateancgsk-1 andk.17, : {_embedding",concept,"M.7882, ",historical
knowledge_graph,mostly21-ddd9-4e00-91cb-5ad17dabe443,KnowledgeDomain:KnowledgeGraphTriple,K,object,context,Swahili,2025-07-01 05:12:00,moderate,", ",person,Ea andpoa c,current
: ,mostlyff-f7d0-4a8d-a635-24ae23418c09,KnowledgeDomain:KnowledgeGraphTriple,primary: ,cultural_element,: ,Zulu,2024-11-03 08:54:00,moderate,}} {{,person,"symbolic, ",current
historical,mostly13-0389-47fa-9d34-f88602be2d68,KnowledgeDomain:KnowledgeGraphTriple,neurale,object,South,Zulu,2024-06-10 22:55:00,moderate,2024,place,}_type,historical
object,mostlyf9-a78f-4ce3-b7cd-335fa363c535,KnowledgeDomain:KnowledgeGraphTriple,context,place,C0,Swahili,2024-05-29 01:05:00,moderate, ,place,",-02.3917,0.04183,-0.0756,-0.37,-0.0995,-0.57030,1.18037,0.12857,-0.609,0.1250,1.3.260.4,0.87146,-0.,0.098,---12520.76,-.0.2205,0.7,1-1.51,0.127,-0.295T,0.435,0.4218,1",current
Igbo_language,mostlyce-a8d9-4d4c-bcf3-2b4f47edc7e1,KnowledgeDomain:KnowledgeGraphTriple,historical ,concept,: ,Zulu,2025-09-28 22:14:00,strong,predicate,concept,predicate,current
", ",mostly1a-0ad5-4cb6-9315-f107a28aa4fb,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,,Yoruba,2025-08-14 09:18:00,moderate,predicate,concept,object,historical
":fingartan mcansings intheda andcaerye andu c Africaesicornocye c, edan of inyka",mostlycd-19fb-464d-8624-49bfbb139ffb,KnowledgeDomain:KnowledgeGraphTriple,influen iny_representation,concept,neuralt,Amharic,2024-03-10 18:24:00,strong,C_representation,concept,: ,timeless
: ,mostlybc-cb43-4d67-93d1-c2efba6d7632,KnowledgeDomain:KnowledgeGraphTriple,: ,event,primary_embedding,Hausa,2025-04-29 12:07:00,strong,strong,place,subject,historical
predicate,mostlyb4-3957-4bf0-bfb8-67a3466c52c2,KnowledgeDomain:KnowledgeGraphTriple,neural ,concept,Sy,Swahili,2025-09-18 13:10:00,moderate,_typeth,person,place ,historical
: ,mostlyac-cef8-4e9b-8755-5311d6792659,KnowledgeDomain:KnowledgeGraphTriple,historical ,concept,historical c_aspect,Yoruba,2024-04-11 18:10:00,moderate,object,concept,object,historical
C_strength,mostlye6-9771-456d-8abf-3c5d387026d0,KnowledgeDomain:KnowledgeGraphTriple,neural_type,concept,subject_representation,Shona,2024-08-06 02:08:00,strong,subject,organization,subjectstrength and,historical
strong,mostly3d-c1f9-435a-b1ae-cd31b7ec7191,KnowledgeDomain:KnowledgeGraphTriple,}}- ,concept,historical,Zulu,2024-06-08 07:18:00,moderate,Mi,person,: ,historical
temporal_aspect,mostly22-698f-4a16-9440-c8946b414083,KnowledgeDomain:KnowledgeGraphTriple,moderate,place,M_at,Hausa,2025-09-29 17:32:00,strong,neural,place,G,historical
neuralou ,mostlyc2-bcff-4579-8ed7-ec9b14cc10c2,KnowledgeDomain:KnowledgeGraphTriple,: ,object,primarya {,Zulu,2024-12-07 01:00:00,strong,predicate,organization,{c: ,historical
2024,mostly75-772c-4293-8c91-c6ca3572fc7b,KnowledgeDomain:KnowledgeGraphTriple,temporal_language,event,primaryoral,Igbo,2025-05-12 16:37:00,strong,Mny,object,organizationT,historical
predicate,mostly64-4241-4c07-a80d-05f0a97e5639,KnowledgeDomain:KnowledgeGraphTriple,", ",object,recorded,Amharic,2024-05-09 13:57:00,moderate,object,place,context,historical
relationship {,mostlyea-675e-409c-a1c8-521ddae95a2a,KnowledgeDomain:KnowledgeGraphTriple,concept,place,object,Zulu,2024-02-22 14:45:00,weak,"G,  ",place,"symbolic_type0.94248s, ",historical
"M-eT0.097, ",mostlyfa-01e7-4bc4-b8bc-81b42f6632ce,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,relationship_at,Igbo,2024-05-11 00:24:00,moderate,: ,place,: ,historical
T{,mostly2f-1ba7-421a-b3bc-1be8281247db,KnowledgeDomain:KnowledgeGraphTriple,relationship_at,organization,context,Shona,2025-06-19 20:51:00,strong, ,person,"historical-1.0.88,.08762,0.09",timeless
"-0.36,1.3",mostlybb-8674-4e1e-b178-09a16ca1017f,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,place,Amharic,2025-03-06 14:49:00,moderate,", ",place,context,current
,mostly4b-743c-4a83-899e-30fb87b1de0e,KnowledgeDomain:KnowledgeGraphTriple,primary_at,organization,object,Yoruba,2025-09-29 17:32:00,strong,subject,concept,temporal,historical
place,mostlyed-934f-4084-a056-739b1782c6e6,KnowledgeDomain:KnowledgeGraphTriple,,concept,subject.13,Swahili,2024-09-30 17:39:00,strong,S,concept,recorded_at,historical
1,mostlya1-9637-4842-8a14-921628001acf,KnowledgeDomain:KnowledgeGraphTriple,"concept, ",place,concept,Yoruba,2024-08-10 23:52:00,strong,_graph,place,predicate,timeless
2025_at,mostlyd9-c299-4400-8ead-476852204303,KnowledgeDomain:KnowledgeGraphTriple,2024-805:00T1{,concept,primary,Amharic,2024-07-19 12:00:00,strong,} da{. in ofci and in00rayatsoala e inorauvingse_dedicrp ,place,object,historical
subject,mostlya8-c1e8-4d6c-a7b5-0f7d7109d9cd,KnowledgeDomain:KnowledgeGraphTriple,primary_-al,cultural_element,subject_representation,Igbo,2024-11-30 15:21:00,moderate,weak,object,"2024-T1.4376,-0.1",historical
subject,mostly03-a1dd-49e3-bbb8-e297a8bd12fb,KnowledgeDomain:KnowledgeGraphTriple,subject,place,primary_type,Swahili,2024-11-23 22:47:00,moderate,moderatey,place,subject,timeless
Swahili,mostly0c-b608-4323-8cac-26bfca9bcb5d,KnowledgeDomain:KnowledgeGraphTriple,}: ,place,person,Amharic,2024-12-28 21:42:00,weak,concept,cultural_element,historical,historical
relationship2} {,mostly18-00a1-46e1-add0-58eb74299e3d,KnowledgeDomain:KnowledgeGraphTriple,E}i,place,"}--0.090,-1.,.39,0.48,-1.066485,10.57,.90328,0.236,T05,0.36T018,1.150,--0.29467,002.622,-0.39226,-:.157,-1.95,-0.8.432,42480.40, ",Swahili,2024-03-27 02:08:00,weak,neural_graph,event,strong,timeless
conceptti ,mostly20-d929-4559-8508-6500325ffa5a,KnowledgeDomain:KnowledgeGraphTriple,Amharic,concept,knowledge,Zulu,2024-07-14 00:14:00,moderate,concept,person,moderate,historical
A,mostly6e-3402-48c9-8506-4c977560bdfd,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,2024 {,Oromo,2024-06-02 15:22:00,strong,"-1.102,1.608,0.37,0.9T,1.346,0.4719417},,1.442.1746,-1.16,-1.2,-0.041880,0.4,-0.26,-0.466,-0.36080547,-0.8.087,-0.50,T.8,-0.7,0.5842,1",person,_language,historical
2025,mostly91-28ad-4539-a2b1-8a2a6cd223f1,KnowledgeDomain:KnowledgeGraphTriple,",-0.7371,1.431,.42,-1.64036619,-0.62,-0.03180:0.2606, ",cultural_element,E,Zulu,2025-06-11 09:24:00,moderate,: ,place,"2024--1.16,1-09.23,-0.1,1.80517-708,2-1.38246,0.0860417,0.73.01,0.6,-0.,0.568,--1.71.195,0.92-5,1:.137,-0.2500{-,0.43,0.4749005,0.2.903,0.04,-10.09043,0.28,-243:.091989-6,-0.04622,0.24806,00-1.01,0.46,10.67,0.0448050.165,-1..47166,}:7,-T14:0.0665,-0.09181,000,1.083,0..72,0.02.925,,-,-1152.4,",historical
subject,mostly4c-e649-4e2d-adfe-db315f25f886,KnowledgeDomain:KnowledgeGraphTriple,", ",place,temporal_aspect,Amharic,2024-08-17 22:08:00,strong,"20250.03-251,0.242,-0.36207,10.4,0.2318156,-760.4253,-1.7,-1.22575,01.529,0.490576,1.,12.18,1.490.1,1.4,0.434871,-0.1605636,T1.76-}00,0.2906,",place,} ,historical
"2024nan0.29,1.4649:003,0.671,1.48808,0.3906,0.48,0.,5.6:019.3,",mostly02-2442-4993-a3c4-ad0e530c1924,KnowledgeDomain:KnowledgeGraphTriple,"}, ",organization,"}, {",Amharic,2024-03-21 14:16:00,strong,: ,person,S_at,historical
subject,mostly7e-f8bd-45b5-af72-15380ba61cb3,KnowledgeDomain:KnowledgeGraphTriple,predicate,concept,: ,Yoruba,2024-03-25 11:54:00,strong,temporal__type,concept,object_type,historical
symbolic_language,mostly67-f3f8-450e-83c6-a565de65c5a4,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,predicate,Hausa,2025-01-23 09:23:00,strong,context,place,T,historical
"2025-1.276182,1",mostly79-fa9d-487d-93dc-6936aff08840,KnowledgeDomain:KnowledgeGraphTriple,"neuralbr and-T10.1636.1,1.48,00-100.64485.,4-0.294,1.6562,-.1936,-",concept,",-10.1601,0.495000,-0.,0.38,1-27.4356::00-1.863, ",Shona,2024-07-10 18:29:00,moderate,", ",person,conceptic,historical
: ,mostly72-3658-4bc3-90f2-30bad7fef473,KnowledgeDomain:KnowledgeGraphTriple,_at,object,M,Igbo,2025-05-09 22:46:00,weak,object_language,concept,neural_at ,historical
":_, ",mostly9b-0de1-4dbf-9910-afef185f06a0,KnowledgeDomain:KnowledgeGraphTriple,subject,place,subject_type ,Amharic,2025-03-30 16:27:00,moderate,",.2500",place,strong,historical
primary_aspect,mostly2a-9eb0-49f1-8ed4-08fbfd1e9cf2,KnowledgeDomain:KnowledgeGraphTriple,temporal_aspect,concept,subject,Shona,2024-08-10 22:22:00,moderate,2024T1{,organization,relationship_relationshipgraph,historical
neural_element,mostly78-ef99-4ce9-949f-c7e787225f9c,KnowledgeDomain:KnowledgeGraphTriple,M_type,event,predicate,Yoruba,2025-01-21 21:33:00,moderate,"2024-.087,46,00}22-0.225142,-0.38,{0.5650.4615,TT1-:T00109}5,0.12,0.167,0.2581,:-0.7,0.481186,0.05-1.7220,0.602,-0.,064,1.1501,,--.0047:,0.495,01.2,082,-1.04174,-1-9.9015-04,-1.2352.38,.38,-.90,-0.01009,.1350,0.25,0.488,09,1.656,-1.1:.746,-1.1318718,-0.846,-0.57,-0",person,2025,timeless
Amharic,mostly6a-78ea-4905-b292-a3c4c22ffa44,KnowledgeDomain:KnowledgeGraphTriple,E,place,Amharic,Swahili,2024-08-25 08:57:00,strong,concept,cultural_element,2025_d,historical
", ",mostly3c-9500-4fb5-bb2e-59b982582039,KnowledgeDomain:KnowledgeGraphTriple,temporal,organization,: ,Swahili,2024-12-01 07:49:00,moderate,predicate,place,G{,timeless
knowledge_,mostlyf9-d77c-4f81-979a-947bbde8089b,KnowledgeDomain:KnowledgeGraphTriple,2024_embedding,organization,relationship_language,Swahili,2025-05-21 12:36:00,strong,object,place,M,historical
influen_representation,mostly0a-ec80-469f-b077-1821003b8ee0,KnowledgeDomain:KnowledgeGraphTriple,subject_type,concept,object,Shona,2024-08-12 15:40:00,moderate,predicate,concept,", ",historical
2024 of ,mostlyee-64f1-4301-9b48-77962bfe2ad7,KnowledgeDomain:KnowledgeGraphTriple,temporal_graph,concept,Swahili_,Yoruba,2025-03-22 19:14:00,strong,"subjectsans,",organization,", ",historical
predicate,mostly79-21d0-40f1-94e0-bcc6eb5d8af9,KnowledgeDomain:KnowledgeGraphTriple,object_,place,As ra{{og-vri,Yoruba,2024-07-24 22:54:00,strong,influen,place,: ,historical
_at,mostly98-947c-4408-865c-d40bf6e15af8,KnowledgeDomain:KnowledgeGraphTriple,historical,event,subject_type,Amharic,2025-03-02 13:08:00,moderate,weak,place,: ,historical
moderateas s and Africad in add,mostlyb0-362a-4db3-9ccc-6d25b370878f,KnowledgeDomain:KnowledgeGraphTriple,"2024.8, ",place, ,Zulu,2024-02-03 14:23:00,strong,"knowledgeooreb pi}sc in inkk in eor, ",person,object,timeless
N,mostly59-a0de-40d0-895a-fe4fc301ac9e,KnowledgeDomain:KnowledgeGraphTriple,C,concept,historical,Yoruba,2024-01-04 22:35:00,strong,A,concept,"relationship}1.4246.1.73:007,7: ,--0.436,1.041,-0.60416,15071,-0.280,-0.801,0.0..28234,0T13-1.57,080.037,.01, 19.936,-,10.17.576, 8.616,1.51-15,0.16,1.0.01,2.01,-0.085,0..2,0.82,0.39197,,1.1.471,040.04043,-0.50..10,-0.6.0830,0.915,1.717,0.87.01-08,0.7.56,0.,0.0392,01,1.07,1090.5,04,-0.25570,-7T03:1,-0.16078,1.22,",historical
,mostly2a-c0f7-4bc3-8142-9c9862955c6a,KnowledgeDomain:KnowledgeGraphTriple,recorded_type,cultural_element,"2024-0.9,-111.007,.65,04-10.370,1.06-.8,--TT0023,0.054-4T,.87,-050.1718,0.5,0.0322,-1.76291.47,.6,-0.40.9,-0.63,-0.3,-0.1512,0.4776,-1.766,-1,-0.6647,-0.0.900,-0.2,0.10529,-0.397,1.8.7,-0.516,0.48,,0.03503,-0.105,0.246-9,0.759,-003.60408,1091.,:-0.80,,-0.0233,-.556",Igbo,2024-06-10 01:23:00,weak,neural_language,concept,timeless,current
recorded_type,mostly1c-6005-456f-b4e2-2b214bb3dccf,KnowledgeDomain:KnowledgeGraphTriple,temporal_aspect,concept,T,Shona,2024-02-06 01:29:00,moderate,recorded,place,relationship_type,historical
historical_rm,mostly4e-c5d6-4f4c-ad11-c8dfb25aef41,KnowledgeDomain:KnowledgeGraphTriple,contexts,concept,: ,Igbo,2025-02-28 16:40:00,strong,", ",person,place,historical
context.6 andc ,mostlyf0-289e-4f3c-9ee1-fe813d9e5bfe,KnowledgeDomain:KnowledgeGraphTriple,:,concept,", ",Hausa,2025-04-25 01:30:00,strong,"subject, ",place,predicate,historical
2025,mostly1b-adbf-4a09-8336-01217215a2b0,KnowledgeDomain:KnowledgeGraphTriple,"}0.87,-0.1857,1-0.0976,,-0..8,-0.7,--0.768,0.0736036,-0.62,0.0156,.571.9,--1.77,40.38,1.158,-0-161.02,0.3-12,-0.69-0.18.057, ",concept,"2024-07 .6,-0.2801,0.4705503,-0.0336,2,-1.813182:0.6,--0.0.50518,--0.136,-00.290.61,0.3817,1.581,0.46",Igbo,2025-01-24 04:24:00,strong,: ,person,subject,historical
G,mostlycf-ba25-42dd-94fb-60087e20ddcb,KnowledgeDomain:KnowledgeGraphTriple,Aorm,concept,", ",Amharic,2024-09-19 02:46:00,moderate,context,object,,historical
", ",mostly4f-a0a8-422d-bedc-e06d6d3ed4be,KnowledgeDomain:KnowledgeGraphTriple,temporal_language,place,Gd sics,Yoruba,2025-02-27 03:34:00,moderate,object,place,", ",historical
object_at,mostly12-4358-4240-9b69-84217e1ccf7f,KnowledgeDomain:KnowledgeGraphTriple,", ",cultural_element,historical,Amharic,2025-08-25 10:29:00,strong,", ",person,place,timeless
historical,mostly22-5c28-4460-ac95-9d40cdee4a18,KnowledgeDomain:KnowledgeGraphTriple,neuralgtype,event,} {,Hausa,2025-09-29 17:32:00,moderate,temporal_aspect,place,"2025-T106-0.4776,000.3849,--0.483,-0.729,0.17,-20.23067,0.3,-0.252257,0.,-1.28283,-1.130722,0.7131074,0.1355, ",historical
", ",mostly25-4ae3-46b7-9400-4a84bd5d8a28,KnowledgeDomain:KnowledgeGraphTriple,-1.178subject::00,place,primary_type,Swahili,2024-11-14 09:04:00,moderate,: ,place,P,historical
", ",mostlyab-a792-485b-94dd-7982f5f7670c,KnowledgeDomain:KnowledgeGraphTriple,,concept,relationship_aspect,Igbo,2025-09-29 17:32:00,moderate,S,place,object,current
neural_,mostlyd9-9c53-47f7-88c1-af727a581382,KnowledgeDomain:KnowledgeGraphTriple,symbolic_at,cultural_element,_type,Igbo,2025-08-02 16:06:00,strong,temporal_language,object,predicate,historical
2025at andv ,mostlyad-8d64-4aa4-ab08-43736ff699af,KnowledgeDomain:KnowledgeGraphTriple,Ser ,cultural_element,object,Hausa,2024-06-03 06:42:00,strong,subject_,place,Igbonm,timeless
", ",mostlyd5-0c1b-4ed9-b7fb-9c2ef1a845e9,KnowledgeDomain:KnowledgeGraphTriple,primary_type,concept,", ",Igbo,2025-09-21 09:07:00,weak,concept,person,"Msbriyou,s",timeless
_type,mostly26-578f-4d21-a8ad-ef405e16ec65,KnowledgeDomain:KnowledgeGraphTriple,historical,place,recorded1 ,Swahili,2025-03-18 17:49:00,strong,: {,place,neural,current
strong,mostly76-a2e1-4247-9b2f-9c2e6a6b03aa,KnowledgeDomain:KnowledgeGraphTriple,object_type,organization,T_graph,Yoruba,2024-04-08 09:15:00,strong,object,person,Yoruba,historical
influen,mostly53-aae0-49a5-b479-6f2c3fcc0e32,KnowledgeDomain:KnowledgeGraphTriple,S_graph,place,primary_aspect,Hausa,2025-06-24 20:14:00,strong,place,place,subject_type,current
subject_at,mostly71-262e-492e-a5b6-83e487b5be89,KnowledgeDomain:KnowledgeGraphTriple,temporal ed,object,primary_strength,Igbo,2024-11-14 20:34:00,moderate,recorded_at,organization,Yoruba,current
subject,mostly53-0285-4d4a-a67f-803989482b30,KnowledgeDomain:KnowledgeGraphTriple,place,concept,concept,Amharic,2024-06-28 22:28:00,moderate, ,object,"concept, ",historical
S,mostlyd4-bd89-4802-8fc4-cd255c9bf4f3,KnowledgeDomain:KnowledgeGraphTriple,Yoruba,cultural_element,2025,Amharic,2025-09-29 17:32:00,moderate,A:,event,", ",historical
"symbolic-2,19:00",mostlyb7-ddd5-4640-9d26-a41465dce0ed,KnowledgeDomain:KnowledgeGraphTriple,"-09-1.46048,--0.76..473,-",concept,predicate,Yoruba,2025-02-28 02:36:00,moderate,} {,place,", ",historical
P_cgraph,mostly22-b132-4db3-bf36-0589a2da0685,KnowledgeDomain:KnowledgeGraphTriple,C,place,{,Swahili,2025-07-06 15:59:00,moderate,I_strength,place,object,current
: ,mostlyea-ff47-4c51-852b-606f526a9fea,KnowledgeDomain:KnowledgeGraphTriple,",m",concept,recorded_aspect,Hausa,2025-09-29 17:32:00,strong,", ",person,moderate,historical
", {",mostlyf9-38f1-422b-a114-54e9aaf5d0d9,KnowledgeDomain:KnowledgeGraphTriple,,place,:,Yoruba,2024-05-25 15:02:00,moderate,temporal_at,place,moderate,historical
: ,mostly8a-9c44-4fd3-895a-b300ae0d9653,KnowledgeDomain:KnowledgeGraphTriple,,place,", ",Hausa,2024-12-22 10:32:00,moderate,object,place,Ean,historical
"N-_-797,:.36,-0-0.16,-0..4309,0,1.844304,2,-0.139,-0:000.19,-007002,1.5773800,1-.01174,-1.422,-::491.94, ",mostly8f-08e9-4448-8e64-1ca0a75f63bf,KnowledgeDomain:KnowledgeGraphTriple,context,concept,personn,Swahili,2025-05-17 17:22:00,strong,: ,cultural_element,subject_,current
subject,mostlyfe-3b1e-4ec0-a9fd-52b75ee8f7c7,KnowledgeDomain:KnowledgeGraphTriple,Zulu,place,", ",Swahili,2025-09-29 17:32:00,strong,: ,place,object ,historical
relationship_embedding,mostlyf4-c70f-4311-a0c1-24447b8ebecf,KnowledgeDomain:KnowledgeGraphTriple,historical,cultural_element,knowledge_representation,Shona,2024-07-11 21:26:00,moderate,object,place,placey,historical
: ,mostlya3-b8f5-49ef-937b-27791ffe9929,KnowledgeDomain:KnowledgeGraphTriple,N_aspect,concept,timeless0,Swahili,2025-09-11 04:23:00,strong,primary_graph,person,knowledge,historical
N,mostly27-a1bc-4103-a9d4-f95ee7fd7994,KnowledgeDomain:KnowledgeGraphTriple,predicate ,event,knowledge_at,Yoruba,2025-09-04 11:24:00,strong,"2024-0 neural1.970,0.184343, ",cultural_element,knowledge_language,historical
 ,mostlyab-602a-426f-b94f-52eaeaa0005a,KnowledgeDomain:KnowledgeGraphTriple,concept,cultural_element,historical0,Swahili,2025-09-29 17:32:00,moderate,temporal_aspect,concept,concept,historical
", ",mostly4b-47c5-43a5-ade2-1e41c9716195,KnowledgeDomain:KnowledgeGraphTriple,knowledge_representation,concept,influen,Igbo,2024-08-18 13:30:00,moderate,"strong0.71,.36,0-0.0432,0.04,0.1947,0.3,0.57,",place,strong,historical
concept,mostly81-b105-4af5-92d7-edad371f486d,KnowledgeDomain:KnowledgeGraphTriple,historical,place,{,Igbo,2024-02-04 00:05:00,strong,predicate,place,: ,historical
}} {,mostlye7-0d6c-497b-9b3f-27ce03d89217,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,historical,Amharic,2024-11-08 02:19:00,strong,-_language,cultural_element,E,historical
}subject_at,mostlyda-00ca-4465-bf65-43d8e7dd0168,KnowledgeDomain:KnowledgeGraphTriple,G,organization,strong,Swahili,2024-08-05 09:06:00,moderate,object,place,recorded_at,historical
historical,mostlye7-8625-4a19-a185-6a0cb11b7687,KnowledgeDomain:KnowledgeGraphTriple,relationship,concept,predicate,Hausa,2024-12-27 22:41:00,strong,symbolic_aspect,place,neural,historical
"-2.571725,1.191,0.2843",mostly4d-34b5-4bc8-9f77-57493758be49,KnowledgeDomain:KnowledgeGraphTriple,subject_strength,place,knowledge: ,Igbo,2025-01-05 04:34:00,strong,S_at,place,"2025.0.224,-1.46152,.22576,.00_01: ",historical
subject,mostly46-7020-4d63-8fab-9ec15ffccea8,KnowledgeDomain:KnowledgeGraphTriple,N_-,concept,recorded_strength,Igbo,2024-04-08 08:41:00,strong,", ",cultural_element,Zulu,timeless
",2 ",mostlyca-12b7-4df4-a379-cdf3309a2a64,KnowledgeDomain:KnowledgeGraphTriple,place,concept,object_or,Shona,2024-03-29 23:36:00,strong,"-09T1{,0.6207,1.421042,-1.1747:0.5,-0.4712,-04.19,1.178,118{0602,-1.22,0.6:0.443,-0.018,1.3.39,1.084,-0.55,,009.467,1.736.06,0.82,47.1,000.07,-095,-1.,10.466512,0.8,0.096.36}49,8-0.,1.09,-050.8,-00.011517,1,-0..0402:,-0.26,0.4,0004",concept,,historical
,mostly02-e079-4875-a839-2a5056b1f87c,KnowledgeDomain:KnowledgeGraphTriple,current,place,timeless,Yoruba,2025-06-25 16:17:00,moderate,isenlanguageat ,place,primary_type,historical
predicates,mostlyb2-3222-4415-b404-f4f4ac4312c6,KnowledgeDomain:KnowledgeGraphTriple,context,concept,"influen-0.1515-007,-0.3716},T6.8,}.56",Yoruba,2024-06-17 12:29:00,moderate,recorded_type,concept,historical,timeless
predicate,mostly77-aeb5-4980-951d-bd01d9a77158,KnowledgeDomain:KnowledgeGraphTriple,C,concept,place,Shona,2025-09-29 17:32:00,strong,:,object,", ",historical
Gv,mostly48-882e-42e6-89f2-65b4f874ceaf,KnowledgeDomain:KnowledgeGraphTriple,organization,concept,",-e.47488,.170.48-0.0170.7,0.71,0.151888,1.021809, 08,-0.4338",Yoruba,2024-04-06 05:19:00,strong,", ",place,} ,historical
historical,mostly51-411b-4c5b-b4ce-2e7b980e006e,KnowledgeDomain:KnowledgeGraphTriple,influen ,concept,"contextats, ",Shona,2024-11-07 19:53:00,moderate,predicate,place,E,historical
context,mostly0a-0184-4f75-bd05-563fd66a653b,KnowledgeDomain:KnowledgeGraphTriple,primary,organization,strong,Amharic,2024-03-11 18:22:00,strong,strong,event,"2025-07-1.56250,-0.546,-0.552549, 5.,07151",historical
