activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
cultural,3,", ",S ,curiosity,mostlybe-b0b3-4de3-89e6-dca8df29dfa1,Childhood:KnowledgeDomain,,S,Zulu,confidence,2024-09-27 01:43:00,activity,", "
play,7,: ,recorded_at,creativity,mostly1a-abe3-4105-a9cf-eab923d2f35a,Childhood:KnowledgeDomain,S , ,Hausa,neural_ ,2025-02-21 01:27:00,{,childhood
creative,8,confidence,,respect,mostly23-f14f-4ef8-9648-60fae27ccb5a,Childhood:KnowledgeDomain,"Min, ",age_language,Igbo,activity__years,2025-08-07 08:26:00,", ",I
game,9,childhood ,"learning}a, and aging,ss).6,0..69,",resilience,mostly0f-ff6d-41fc-91f7-4effa81de3b1,Childhood:KnowledgeDomain,I,: : ,Oromo,"F,",2025-09-06 06:02:00,H_embedding,developmental
learning,10,symbolic1.,2024 ,confidence,mostlyfe-e893-4f16-a11d-f66185e76cf5,Childhood:KnowledgeDomain,", ",P,Swahili,symbolic_development,2025-04-04 18:58:00,symbolic_at,symbolic_years
game,7,symbolic_logic,symbolic_learned,resilience,mostlyb8-3b8b-4a9b-a70a-9dda3b69e73a,Childhood:KnowledgeDomain,If,neural_years,Oromo,R,2025-05-18 13:33:00,2025 tomc s.,neural_wisdom
learning,12,"2024, ",social_logic,respect,mostlybf-ed78-4481-bd12-9f3fb231e7ef,Childhood:KnowledgeDomain,Cswso witho mesi then to c,lesson_years,Yoruba,neural_language,2025-01-17 13:12:00,recorded,"M-1:00es, then."
cultural,12,developmental_learned,lesson_at,empathy,mostlyb0-f3b4-4bfa-9ce6-3aef8ceb1503,Childhood:KnowledgeDomain,U,"Ifeas the d t h bb and fesiged,0.",Hausa,S0.6.,2025-05-06 02:24:00,childhood.,:.
game,5,description,emotional_years,cooperation,mostly6e-0a2a-4067-a05f-ef3245ce0ea5,Childhood:KnowledgeDomain,M,description.,Zulu,neural_embedding,2024-02-29 02:02:00,age_language,If
game,10,childhood (i and si withian c the.,Amharic,resilience,mostlydf-1295-4b08-a26f-3e8843038340,Childhood:KnowledgeDomain,respect,-social1.0.,Zulu,- ,2024-06-17 12:18:00,: ,-_wisdom
cultural,12,neural_learned,,respect,mostlyc9-7262-4981-8f7f-1d4aefb3d4c7,Childhood:KnowledgeDomain,20241 {,M_learned,Igbo,emotionalactivity_development,2025-05-28 08:38:00,I_context,neural_at
physical,9,: {,"social aas_e, theneoe.",cooperation,mostly20-9717-4b8b-9105-ff1ba915b3b5,Childhood:KnowledgeDomain,neural_learned,2025or ,Oromo,C,2024-11-11 13:28:00,childhood,activity_embedding
cultural,12,"developmental, ",neuralor_milestone,respect,mostlye7-836f-4c9a-9dfa-ebbb07cf6fb6,Childhood:KnowledgeDomain,activity_context,developmental_logic,Swahili,} {,2024-03-31 18:29:00,neural__type,emotional_milestone
cultural,12,,primary_language seningere.,respect,mostly83-c24d-4abb-97f1-20f5410fb7a4,Childhood:KnowledgeDomain,If_milestone,description,Yoruba,2024} ,2025-07-10 03:47:00,", ",: 
physical,7,", ",respect,confidence,mostly2e-fa37-4af8-b007-32b07271e585,Childhood:KnowledgeDomain,description,C_language,Oromo,Ife okshs c ine and inin {(als in.,2025-01-10 20:08:00,A.,"Mn ing_contextua, "
learning,8,symbolic_context,lesson1: {,respect,mostly57-0ff9-4b60-9bee-cda4240db98e,Childhood:KnowledgeDomain,symbolicora n.ka ,primary_language,Igbo, ,2024-05-09 02:37:00,,activity_development
creative,9,,age_learnedeora;_,resilience,mostly64-224c-400d-8094-4d3052fb2dd9,Childhood:KnowledgeDomain,location,,Amharic,emotional ,2025-03-26 04:22:00,} ,developmental_embedding
storytelling,3,U,emotional_,respect,mostly90-a0ed-445f-9ebb-7ffe494f74b0,Childhood:KnowledgeDomain,,neural_development,Hausa,neural_learned,2024-04-28 07:48:00,_logic,proverb_years
physical,4,activity_language,confidence ,creativity,mostlyc2-b41b-4ac8-b818-ccd43798e87a,Childhood:KnowledgeDomain,"agerh.aat, ",activity_embedding,Hausa,primary,2024-10-18 13:40:00,,social_learned
physical,9,Easrere.,"social_oror, ",cooperation,mostlyfb-13cd-42af-97fc-c60cfc234fee,Childhood:KnowledgeDomain,recorded,lesson a_,Zulu,E ,2025-06-01 03:11:00,neural_type,neural_learned
cultural,7,"S aasaer, counting ar fuy.9 and,ingedu.",proverb_at,creativity,mostlya5-00d9-4a53-ade4-8dfa60b2554a,Childhood:KnowledgeDomain,"If ries be a and to the theesp ting, then,1.(",If,Hausa,: ,2025-04-02 04:30:00,If ,play
physical,12,proverb_or_logic,"2024, ",respect,mostly90-bb6b-4074-849a-bb205d47a3c5,Childhood:KnowledgeDomain,If,B,Amharic,"activity.3, {",2024-04-22 09:43:00,age_years,emotional_wisdom
physical,7,E,learningi mwsaltingedts and pes to berk intsot,curiosity,mostly0c-c154-4de4-8306-f595295b0c54,Childhood:KnowledgeDomain,activity_development, {,Oromo,", 1.",2024-08-14 19:33:00,lesson_logic,U
play,3,social_years,proverb: ,respect,mostly0c-9947-4f8f-9cb6-9f18a4906584,Childhood:KnowledgeDomain,developmental_at,"primary_language-5, ",Swahili,Ra to b inesh,2025-05-17 11:32:00,primary_development,"202501,0.579,-0.501112,030.041302,-020221661.."
learning,11,symbolic_,: ,respect,mostlyb7-fd46-41d5-8cef-a778600fd378,Childhood:KnowledgeDomain,description,location,Swahili,"2024, ",2024-12-21 17:28:00,"S, ",N
play,11,primary_learned,age_: ,confidence,mostly32-ad68-4516-bc06-80a572c1fbca,Childhood:KnowledgeDomain,", ",,Yoruba,activity_development,2024-07-09 02:05:00,,C_.
creative,8,location,"activity_, ",empathy,mostly0e-acb6-4879-8b14-a253cb8360f2,Childhood:KnowledgeDomain,location,lesson_ ,Hausa,: {,2024-12-02 15:35:00,}} {,
storytelling,7,A ,: ,empathy,mostly90-05d9-4819-94a7-cfd781d6fb04,Childhood:KnowledgeDomain,,developmental_type,Oromo,,2025-02-23 18:50:00,"learning, ","location, "
cultural,7,", ",emotional_developmental00,respect,mostlyc5-1ff2-4315-b25b-0854b8ace99c,Childhood:KnowledgeDomain,lesson,2025recorded_language,Hausa,symbolic_,2024-03-31 17:53:00,proverb_at,activity_development
cultural,4,"E hs:, ",,respect,mostly2d-4eb2-4761-a7a7-25c9a1c34a57,Childhood:KnowledgeDomain,,{ ,Hausa,2024,2025-03-10 08:42:00,age_years,Ifanc.
physical,6,"childhood,0",:00,respect,mostly31-b70f-4899-affb-d6fd28d3a74e,Childhood:KnowledgeDomain,: _,B_at,Shona, ,2025-02-27 15:19:00,primary_or_milestone, 
physical,8,neural_logic,activity_context,confidence,mostlybb-58cf-4234-86aa-e7e1b56a0676,Childhood:KnowledgeDomain,social_language,M,Igbo,: ,2024-05-19 00:53:00,"Ped aied p p,, ",primary 
play,5,}s}_milestone,: {,curiosity,mostly6d-af8f-40b4-92cf-e918d9b0fb12,Childhood:KnowledgeDomain,,: ,Swahili, ,2024-09-16 01:37:00,activity-_context,Swahili
physical,8,activity,age_type,curiosity,mostly88-d06c-489b-8a26-4a638d2f2012,Childhood:KnowledgeDomain,recorded_language,K,Swahili,H00{.,2024-10-19 19:51:00,2025 ,social_development
storytelling,11,primary_type,lesson_language,respect,mostly54-9553-4965-ae08-be0f97e32c62,Childhood:KnowledgeDomain,", ",learning,Amharic,social_type,2024-03-31 21:53:00,Amharic,I1 a isings.
game,5,"symbolic--1.47,0.081907,_at",F,creativity,mostlye7-6495-400c-8239-cb29599dd38c,Childhood:KnowledgeDomain,Ifan,primary_language,Zulu,"F,-215.16",2024-08-05 20:21:00,recorded_development,20251.
creative,8,symbolic,social_type,empathy,mostlyf6-43a9-4582-bb82-c90b9e683a97,Childhood:KnowledgeDomain,childhood,Aa,Zulu,neural_ ,2025-03-02 06:05:00,proverb_embedding,age_or_at
cultural,4,: {,lesson_wisdom,confidence,mostly8c-d252-4df6-8841-eb7633984262,Childhood:KnowledgeDomain,neural_embedding,"Ifi {,-00.18273,0.6387245,-2.33725:,1,-.0912084-0166, ",Hausa,proverb_} ,2024-08-14 23:19:00,social_type,U_context{
game,11,,2024,confidence,mostly45-eae5-4436-9da2-b1868b34d4e3,Childhood:KnowledgeDomain,ageT_or,developmental,Zulu,2024-0.,2024-10-03 07:07:00,recorded_type,lesson_development
play,6,Ifr and a theo singa),Ifseds and in toalesi (m,confidence,mostlyde-45a9-42da-9849-3c3382d9f358,Childhood:KnowledgeDomain,: ,",0",Hausa,2024,2025-06-06 13:42:00,"2024-0.38,-1:0904,",-_-0
learning,11,: ,recorded_development,curiosity,mostly88-643f-4d26-8902-99bc843ca5c2,Childhood:KnowledgeDomain,: {,lesson_or: ,Hausa,Ifda {,2025-07-05 16:30:00,_language,H{
learning,6,location,}_logic,curiosity,mostly78-810d-405f-9ac1-9f56007da969,Childhood:KnowledgeDomain,", ","activitysiingen, and0.",Shona,"}_, 8: ",2024-09-25 23:33:00,M_wisdom,location
play,5,location,location,confidence,mostly24-fee1-4dd3-b5d7-37200ac8e18a,Childhood:KnowledgeDomain,recorded,recorded_type,Igbo,: ,2024-06-26 23:38:00,C the toiu a andyk,emotional_at
cultural,10,age,Ifrci intsots,respect,mostlyf1-afbb-417c-8364-5604e813266b,Childhood:KnowledgeDomain,emotionalory a ces..,age_development,Amharic,location,2024-06-12 13:38:00,social_type,Amharic
cultural,12,social_context,symbolic,confidence,mostlya0-3316-49fa-ab0f-b0f3d97d4b82,Childhood:KnowledgeDomain,activity ,Cand,Hausa,cultural1at,2024-05-24 09:19:00,age ,: 
play,4,"developmental_embedding(es bskt tosw re s, .",", {",curiosity,mostly80-5ee4-4df8-a36f-efbd1a7d9bc8,Childhood:KnowledgeDomain,"activity-.4,,-1.2611,","Amharic, {",Yoruba,K_,2025-09-28 19:43:00,symbolic_wisdom,age_type
game,5, ,}location,confidence,mostlyd4-7f39-4961-bab9-a0ac6809a8b9,Childhood:KnowledgeDomain,Ifing tio mer.,recorded_language,Oromo,symbolic_emotional,2025-06-24 13:51:00,proverb--_,If_type
play,4,C,description,empathy,mostly51-7a2d-498c-b061-2cab7a3b14bc,Childhood:KnowledgeDomain,,age,Zulu,age_years,2024-03-01 09:20:00,developmental_learned,Re toe) aaed bingareye c ak.
learning,8,developmental_development,confidence,respect,mostly6f-24c6-4521-80f0-89c705a68a4d,Childhood:KnowledgeDomain,",1 {",2025 ,Amharic,", ",2025-09-28 19:43:00,2024,", "
social,11,symbolic_development,recorded_development,cooperation,mostly02-d946-47d8-b655-8ba5c06dda40,Childhood:KnowledgeDomain,} ,", ",Shona,", ",2024-12-08 09:05:00,activity,A
learning,9,- ,P_a,confidence,mostly43-75a8-43c6-8ef1-b86763d2bd52,Childhood:KnowledgeDomain,symbolic_language,lesson_context,Shona,activity_milestone,2024-12-21 12:56:00,proverb_embedding,socialed
learning,10,",-1.7045,0.3709,-0.296,00.13,-0.878:,,, ",,curiosity,mostly7b-a8a7-4815-8d1a-8caa0f68899a,Childhood:KnowledgeDomain,proverb_language{,primaryralu)ingtsa wb.,Hausa,symbolic_development,2024-10-17 13:13:00,Hausa.,", 4{-"
play,4,: ,F,curiosity,mostly02-cb2d-4ac2-b0f0-349fa5ea604e,Childhood:KnowledgeDomain,developmental_development,age_at,Yoruba,age ,2025-03-11 13:33:00,"location a pin the wup and ts thentaa m aing s, ",Amharic
physical,5,2024-60.5069, ,curiosity,mostly03-a4b5-4903-990e-fb674b070458,Childhood:KnowledgeDomain,social,", ",Igbo,primary_years,2024-11-11 20:07:00,symbolic_wisdom,descriptionr
cultural,12,description,: ,confidence,mostlyf8-ed3e-4ef7-9e93-8f3e74404290,Childhood:KnowledgeDomain,emotional_development,activity,Oromo,developmental: ,2024-07-02 12:55:00,", ",activity_or
game,6,:,location,curiosity,mostly49-ee04-4d84-99cd-32a9cbc3b02f,Childhood:KnowledgeDomain,Sin_type,developmental_milestone,Amharic,If,2025-04-02 20:30:00,Amharic,
game,7,Amharic.,Iiar in andsen.,resilience,mostly15-04f6-4254-aed7-323fffa0d6df,Childhood:KnowledgeDomain,neural_type,developmental_-,Amharic,recorded,2024-10-07 08:59:00,recorded: ,developmental_or
game,4,If,", ",respect,mostly31-96df-4dc0-b9e3-a5c635e1c4c4,Childhood:KnowledgeDomain,Swahili{,primary_contextembedding,Shona,Ayears ,2024-08-30 09:53:00,primary_development,
game,8,",1.",cultural,cooperation,mostly24-abec-474f-a2d3-a4af943e8051,Childhood:KnowledgeDomain,If,", ",Zulu,developmentalneural,2024-10-31 07:07:00,cultural,S
storytelling,10,,activity_location,curiosity,mostly0a-6c16-4dcf-8d0d-d22bc4c4a9ca,Childhood:KnowledgeDomain,: ,R,Yoruba,,2024-11-16 15:52:00,Amharic,P the wpascsu;  h s andents to.
creative,8,proverb_learned,childhoodage,creativity,mostly98-e088-4754-8fa4-94406bb0733f,Childhood:KnowledgeDomain,location,developmental_context,Oromo,:2024,2025-09-28 19:43:00,"If pser s andoor b, ",If
play,3,social_or,proverb,empathy,mostly63-3a16-4d0c-8575-6f493eeb2e98,Childhood:KnowledgeDomain,social_learned,description,Zulu,,2024-09-12 07:55:00,agesocial_type,", "
cultural,7,primary_language,lesson_embedding,respect,mostly18-93d0-4c78-aec6-27d34973a445,Childhood:KnowledgeDomain,recordedr ingn a;ks inkash wor.,", ",Amharic,primaryi-07u_.,2025-04-22 11:00:00,: ,: 
storytelling,4,neural_at,emotional ,creativity,mostly63-730d-4bc5-a1aa-3cb0e156a74c,Childhood:KnowledgeDomain,: ,primary_milestonewisdom: .,Swahili,proverb_,2025-09-25 06:21:00,F,} 
storytelling,11,P m.,", ",respect,mostly9b-cee8-4d90-828a-c43ac175e270,Childhood:KnowledgeDomain,Fsan,symbolic_logic,Hausa,If {,2024-07-02 07:16:00,social_type,2024_recorded: 
play,6,Slanguage,A ,curiosity,mostlyd7-2aef-4a28-a81a-4625112f9e08,Childhood:KnowledgeDomain,", ","-0.1346,-0.559,0.5905,001,0.0.",Zulu,developmental,2025-03-25 16:20:00,description.,respect
play,4,activity_logic,",  {",respect,mostlyef-b55e-42c3-bd67-b64554b7bd68,Childhood:KnowledgeDomain,activity_milestone,location,Yoruba,social ,2024-03-21 20:48:00,2024_at,play
creative,9,lessonlocation.,primary_language,confidence,mostlye9-3a25-4050-963e-9c214aff374c,Childhood:KnowledgeDomain,developmental_years,C_wisdom,Oromo,,2025-02-20 17:47:00,R,neural_learned: 
cultural,7,developmental_logic,recorded,respect,mostlyaa-2f24-487d-94a4-22676e406ad8,Childhood:KnowledgeDomain,", ",symbolic_embedding,Hausa,: ,2024-03-10 03:34:00,activityor_learned,}0{.
creative,9,social_language,social_at,respect,mostly49-aeee-4bd6-85a5-c3433c60539c,Childhood:KnowledgeDomain,age_learned,R,Amharic,activity_type,2024-04-06 02:28:00,If_-,social_logic
learning,6,activity_context,,curiosity,mostly42-e601-43aa-be77-4c079bd6032e,Childhood:KnowledgeDomain,: ,{,Hausa,proverb_,2024-11-05 22:02:00,"playi fuv srl to cen the ag b s, and s toingaly.",primary
cultural,11,}proverb_embedding,: ,respect,mostlyd2-36ca-438a-b94c-5646651a7594,Childhood:KnowledgeDomain,"Rore with hu s ina)des.e, ",: ,Amharic,social_context,2025-08-16 12:47:00,recorded,: 
game,5,O,childhood,cooperation,mostly45-8742-4452-abc4-94b4486eaacd,Childhood:KnowledgeDomain,", ",symbolic,Hausa,location,2025-09-28 19:43:00,", ",confidence
storytelling,5,R_type{,S f_at,curiosity,mostlyda-0c0a-4fb9-a777-2b686ad5662b,Childhood:KnowledgeDomain,primary_wisdom,: ,Zulu,age,2024-04-02 03:47:00,},proverb_development
cultural,12,,social,cooperation,mostly1c-19ea-493d-99c1-9ef271b70110,Childhood:KnowledgeDomain,recorded: {,social_a,Swahili,location,2025-04-11 13:59:00,activity_type,", "
cultural,7,location,", ",cooperation,mostlyeb-0c1a-4714-8e20-3b580d388217,Childhood:KnowledgeDomain,M_type,", ",Igbo,Klocation,2025-06-26 05:40:00,activity_milestone,
game,10,neural,", ",confidence,mostly33-5ac6-4002-b71c-33f858c9fd95,Childhood:KnowledgeDomain,activity_logic,,Zulu,2024,2024-03-21 19:21:00,neural_learned,2024
physical,12,social_type,"proverbemotionalsuugieri m,-ysude a and and,edas;an.",empathy,mostly5f-3bd0-49aa-8783-85474405f1e8,Childhood:KnowledgeDomain,symbolic,R,Igbo,symbolice,2025-09-28 19:43:00,locationas,
play,7,learning,: ,respect,mostlycc-5041-4318-8af4-886b9742893c,Childhood:KnowledgeDomain,", 6",location,Hausa,age_language,2024-07-05 16:59:00,M,location
cultural,7,developmental_type,"Ifee and in f pa.v f theu.,3es,.",respect,mostlya7-ab54-4606-8bcf-eda4dddbff6e,Childhood:KnowledgeDomain,activity_years,U,Amharic,symbolic_embedding,2024-09-27 02:59:00,socialarana s m.,recorded__context
play,4,F,social_logic,respect,mostly49-1bb9-4197-97f5-c278ab0372a5,Childhood:KnowledgeDomain,description,: ,Amharic,Eorpen main.,2024-03-05 16:20:00,social__atk,neural_wisdomcontext
play,5,P,P,cooperation,mostlyd5-aca3-410b-a756-46cef31fe541,Childhood:KnowledgeDomain,recorded_context,", ",Igbo,age_milestone,2025-09-28 19:43:00,: ,recordedt aas-.
social,10,symbolic_type,2025,resilience,mostlyf1-7a4e-46fc-b527-2c805583d215,Childhood:KnowledgeDomain,emotional_language: ,Zulu_learned,Swahili,primary}.,2025-09-28 19:43:00,"childhoodr, ","activityer the, then."
social,5,developmental_at:: ,recorded,cooperation,mostlybb-5bc0-421c-920b-78d79d42749a,Childhood:KnowledgeDomain,{,Zuluembedding,Igbo,", ",2024-08-22 17:55:00,primary_years,} 
cultural,7,neural_ ,: ,empathy,mostlyd0-3d56-45dc-a935-18f598e15c8e,Childhood:KnowledgeDomain,lesson_,proverb,Shona,",0.",2025-09-28 19:43:00,primary ,symbolic_yearsembedding
cultural,12,20240.256,description,resilience,mostlyae-8120-40e6-a8f8-0ae57c8bb61b,Childhood:KnowledgeDomain,,symbolicr.,Hausa,activity-2.08,2025-05-01 13:19:00,: ,: 
physical,7,,M_i ,confidence,mostly82-dd04-42bf-baab-0ccbef8ecbb8,Childhood:KnowledgeDomain,activity_embedding,"If-.165,0.0905.1,0.63,044,-0-.",Oromo,lesson_milestoneusk,2024-11-03 05:51:00,P,Swahili-1.
play,4,proverb__context,},resilience,mostly54-06ba-464e-b308-ced915771199,Childhood:KnowledgeDomain,}}}at,Ifan the mmas andts.,Swahili,symbolic_years,2025-09-28 19:43:00,lesson_years,emotional_type
cultural,12,", ",C_development,confidence,mostlya6-1851-4643-af50-89208edeec53,Childhood:KnowledgeDomain,", ",emotional_at,Yoruba,S_at,2025-04-13 05:59:00,", ",2025
social,6,recorded_or:} ,}},respect,mostly94-c9c3-4093-b4a1-f727b91fe658,Childhood:KnowledgeDomain,emotional_development,activity_logic,Yoruba,", {",2024-09-03 07:24:00,primary_embedding,activity_wisdom
creative,4,C}.,Ifeass theph.,respect,mostly3c-e28b-430d-ab17-46f504415dd9,Childhood:KnowledgeDomain,recorded_at,childhood,Igbo,"}, ",2024-02-21 22:17:00,", ",activity_learned
cultural,12,recorded_language,H_development,resilience,mostlyf8-88d1-45b6-a924-c80f2ce22b89,Childhood:KnowledgeDomain,", ",symboliclesson_developmentor with h aal.,Zulu,activity_development,2024-03-03 04:26:00,", ","Ifdder, s1 andses "
storytelling,5,primary_years,"age_years, ",curiosity,mostlya4-7119-45bd-8c4b-bc35156eb3b5,Childhood:KnowledgeDomain,activity_learned,,Zulu,P,2024-05-02 18:02:00,: ,P
learning,7,", ",: ,confidence,mostly3f-440d-4d9d-8d2d-6a9f98ebcece,Childhood:KnowledgeDomain,proverb_learned,activity_context,Zulu,recorded,2025-05-23 09:47:00,", ",description
game,3,primary_at,No,creativity,mostly96-52f1-4ab9-b2a9-3028ac1ca60e,Childhood:KnowledgeDomain,,"Amharic-s9,-1.3,4T,0,-0.65",Hausa,developmental_as,2024-06-30 15:37:00,location,", "
creative,9,"socialpaleasts  a,i t.",", emotional",respect,mostly91-db46-413a-9a4a-762452fbb5f3,Childhood:KnowledgeDomain,childhood,2025-01: ,Igbo,", ",2025-02-26 05:29:00,childhood,activityat
learning,6,age ,P,cooperation,mostly54-b86d-416f-868d-14eea1cf2e7d,Childhood:KnowledgeDomain,,If{,Zulu,developmental_years,2024-12-30 16:33:00,activity_at,:age
cultural,3,age_: ,social_at,empathy,mostlyca-2465-447c-859b-5c4b81bd569b,Childhood:KnowledgeDomain,", {",", ",Amharic,primary_language,2025-06-23 07:02:00,locationr,neural
cultural,7,primary_embedding,N,respect,mostlyee-211b-4158-83ab-ba2433934893,Childhood:KnowledgeDomain,", ",symbolic_years,Amharic,location,2025-02-09 21:07:00,If sesa.,: 
learning,11,_language,If_language,confidence,mostly77-c40c-44ad-b1a2-9d7db1df72f3,Childhood:KnowledgeDomain,E_or,},Oromo,: {,2025-02-17 02:40:00,Rtas h toaru s t and.,",-00.02,010915:, description"
cultural,12,neural_,{,respect,mostly04-862e-40be-a0b2-959a42fc1ef4,Childhood:KnowledgeDomain,: ,learning,Hausa,K,2024-04-10 23:49:00,} {,symbolic_milestone
cultural,12,age_learned,description,respect,mostlyd6-9f8f-4a30-aaec-6edb1cafdd19,Childhood:KnowledgeDomain,primary_language,emotional,Hausa,I{,2024-02-01 17:28:00,2024-1.,location
learning,6,2025al,emotional a fesc the,confidence,mostly56-1e76-4dc6-837e-29b8ffcbdb57,Childhood:KnowledgeDomain,primary_milestone,symbolic_development,Hausa,: ,2024-07-19 01:33:00,social_milestone,"symbolices m theek and f and wither b, then "
storytelling,6,Swahililogic,If_type,respect,mostly24-1fcd-42d4-afac-7006f92316b7,Childhood:KnowledgeDomain,play,lesson__embedding,Amharic,", ",2025-09-09 15:27:00,social,confidence
game,3,proverb_language,: ,resilience,mostly47-672f-44f5-9b3b-578a804e8611,Childhood:KnowledgeDomain,: ,Zulu_wisdom,Oromo,description,2024-07-19 17:24:00,C_ ,symbolic_or_development
learning,11,age_wisdom,location,confidence,mostlyc3-f961-4fa3-852c-5611dd9dd35d,Childhood:KnowledgeDomain,R ,activity_logic,Swahili,P(u saoed).,2025-09-28 19:43:00,O-1..,P
storytelling,8,T_learned,__wisdom,empathy,mostly99-5736-4494-b823-b9824d923673,Childhood:KnowledgeDomain,"}--.08.6669501,,0.1.1627,12-0108T:, ",developmental_type,Amharic,emotionalata inao k c a nar a)(esatyali,2024-12-22 20:38:00,Ifm,Ifw_or
physical,10,"lessonora a, ",: ,confidence,mostly36-5db9-440e-bfd2-de58dd7fdf1b,Childhood:KnowledgeDomain,primary_context,neural_or_wisdom,Oromo,S_at,2024-01-26 15:38:00,: ,activity_
cultural,12,", and}T hs {","_at, ",confidence,mostly7d-72e6-4f9e-a649-1492d72add2d,Childhood:KnowledgeDomain,S ,"Zulu, ",Yoruba,2024,2025-02-03 22:00:00,Sr,}recorded
learning,9,If: ,symbolicat,resilience,mostlyb5-0c2a-40aa-a836-60e592db3177,Childhood:KnowledgeDomain,lesson_or,social_learned,Zulu,activity_learned,2025-09-01 16:28:00,", ",R 
social,10,lesson,childhood,respect,mostly39-e56c-4725-82e1-0993bcd4850c,Childhood:KnowledgeDomain,"activityatoring f;s and ced m andts;sk., ",neural_language,Hausa,", ",2025-05-13 17:18:00,age_at,2025r0.
cultural,4,H_logic,: {,respect,mostlyfd-5fa3-4129-b0de-dc6138d6ebdb,Childhood:KnowledgeDomain,emotional_years,emotional_milestone.,Hausa,Hausa,2025-04-30 02:37:00,", ",2025_context1c.
social,9,age_languagea,", ",confidence,mostly8f-49fb-485b-b8de-1ba019ba766f,Childhood:KnowledgeDomain,emotional_}} {,_wisdom,Oromo,: ,2025-09-28 19:43:00,age_},S
learning,3,description,"social_oraoriaua s, then.",respect,mostly59-a84b-4d99-8bf2-fad39cdeef79,Childhood:KnowledgeDomain,description,Enr,Swahili,social_language,2025-01-06 09:07:00,,: emotional
storytelling,10,developmental_learned,2025-04 and07 ,curiosity,mostly8e-990c-4dc1-9624-27b8bdfa26e0,Childhood:KnowledgeDomain,primary_wisdom,20240,Oromo,: ,2025-05-13 07:34:00,symbolic,2024_or: 
storytelling,4,developmental_at,: ,respect,mostly79-c19e-47cd-a5de-b58a3c44b46c,Childhood:KnowledgeDomain,: ,"As theinu, andal.",Yoruba,: ,2025-07-03 14:28:00,age_milestonei,} 
learning,3,",-308.4,1.261,0.0T06:,-0.74,1.8,-1.2.856-,1.17-001868, 5lesson,0..60942,0.7032,--0.11115,-0.4848, ",,respect,mostlydf-aeea-4868-bf64-9e8bcdbe7bef,Childhood:KnowledgeDomain,F ,childhood_},Hausa,2024 activityer,2024-02-25 04:28:00,symbolic_context,If
play,12,"{embedding.05es} for,-..27263,0.33,-1116.07,0.29,-0.9-092",,resilience,mostly32-84f3-47cc-ba7b-ecc9a661de6d,Childhood:KnowledgeDomain,", ",Amharic,Zulu,"M- aes,1.-.68,",2025-09-28 19:43:00,: {,emotional_development
learning,9,sociala: n,A ,respect,mostlyb3-e09b-4a4a-abdd-1fc91495b181,Childhood:KnowledgeDomain,"description_,",", ",Swahili,: ,2025-02-28 20:20:00,activity_learned,If_wisdom
learning,11,"Iftainseod w and areal h s a sorine ts.4, ",C_development,respect,mostly50-b2ab-47a7-8be7-49954e1a6f4a,Childhood:KnowledgeDomain,neural_embedding,confidence} ,Yoruba,": 9.(,0.7T2",2024-11-17 17:47:00,play,activity_type
play,3,primary__type,recorded_context,curiosity,mostlyd3-ffa5-4a82-83da-6b4c1ab90f11,Childhood:KnowledgeDomain,childhood,2024- and a: ,Oromo,developmental_or,2024-08-08 19:17:00,activity_context,Plant the bed and withs in.
storytelling,7,description,",1.",respect,mostly83-24f4-44ba-a0fc-dac5979d75c2,Childhood:KnowledgeDomain,: ,I_context,Oromo,}},2024-04-03 12:42:00,P ,: 
cultural,3,}{,age: ,respect,mostlyd6-f922-4690-8860-480002f46951,Childhood:KnowledgeDomain,proverb_years,primary,Yoruba,F,2024-03-31 06:00:00, ,ages
learning,6,,confidence_type,confidence,mostlyaa-730d-479d-afff-d8dd4b1323eb,Childhood:KnowledgeDomain,neural,childhoodor_years,Yoruba, ,2025-01-11 03:24:00,lesson_,", "
play,4,social_logic,"Cr theg a ms aes andan thes, inar.",cooperation,mostly61-3495-4ac4-abd3-435dfa28b35c,Childhood:KnowledgeDomain,primary__embedding,ageactivity_milestone,Zulu,primary_milestone,2025-02-01 19:05:00,", ",lesson_ors_context
creative,8,Pt sing.,"20250,-0..24,0.030.85,107,-0.38,-0.1957-01-,038",respect,mostly37-9f87-463a-907d-c69d7406fccc,Childhood:KnowledgeDomain,} ,age_type7,Amharic,confidencep,2024-05-15 00:04:00,developmental__or,S_logic
storytelling,7,neural_milestone,primary_embedding_orwisdom,confidence,mostlyfb-ec72-413f-998b-9efa1f1d1bcc,Childhood:KnowledgeDomain,P,developmental_or_type,Yoruba,Sar s_learned ,2024-01-10 00:34:00,primary_language,social_.7
play,4,",-0.1802,-004.1227, ",S-1.1761,cooperation,mostly64-3bd0-4bba-843e-58d23dd884fc,Childhood:KnowledgeDomain,"developmental1,0.29,-0.72",activity_or_embedding,Yoruba,symbolic: ,2024-02-29 21:36:00,K,"2025--2-1..8694,0.33,1-1.116904,0.138.467"
cultural,8,recorded,descriptionactivityd:00,empathy,mostly44-d1d5-4791-b370-e409edaf09ef,Childhood:KnowledgeDomain,}1 {, ,Oromo,Swahili smi p k.,2024-04-09 02:47:00,Rs a aw and male.,2025} 
