id,scenario_domain,primary_language,setting,description,challenge_faced,solution_applied,resources_used,outcome,location,symbolic_logic,transferable_insight,neural_embedding,recorded_at
mostlyd9-143a-4926-99d4-57ae2d4a3b1f,healthcare,Amharic,rural,,outcome,U_insight a,"urban vya0-05,-a.,0.,1.724120-0.",location,outcome,symbolic_life,:,coastala,2025-09-26 02:57:00
mostlya0-7722-46d0-8863-ebb54715313e,education,Zulu,urban,finance,solution,_insight,,},}}} ,urban,: ,I_at,2025-05-01 07:35:00
mostlyaa-b4d8-45c6-998d-8408e1f3a1fb,environment,Zulu,coastal,challenge,Zulu,"M-810.794, ",: ,"Ku0 a.1 na07, yaa,-0.",Ma,real_used,I,A,2024-03-22 02:16:00
mostlyff-74a2-46da-9b45-3b690f5bc01f,environment,Shona,coastal,location,scenario_life,:00,real_logic,solution_applied,,"neural1_logic,0.",recorded: ,solution_language,2025-09-26 02:57:00
mostly4e-e3fe-4284-9a4a-8162bea8ba1d,environment,Hausa,peri_urban,scenario_insight,urban,: ,", ",transferable_outcome,Ukosefuembedding na na ya waa nawaa vya,description{,primary_ m,recorded_,2024-03-06 05:23:00
mostly44-8dac-41b1-b230-e72aeff2c0bb,logistics,Amharic,coastal,setting: ,: ,primary,description,,: p,"2025used-221.0,1.190823,-0.7, ",outcome.,primary_faced,2025-09-26 02:57:00
mostlye7-8963-409d-bb81-caafb70b30df,agriculture,Shona,peri_urban,S,setting,",-10",", ",recorded_faced,,}_language,recorded_faced,recorded,2025-07-19 05:43:00
mostlyf6-7dba-426a-a5e8-3b57c8d0e81b,agriculture,Amharic,peri_urban,reala,_at,_embedding,challenge_at,"} waji ki a,00si wa kuo, i",scenario} wae washa wa yaki naba ya wa ur wa ya m ma wama yasha,2024,If{,D00,2024-01-12 23:58:00
mostly87-fd62-4c0e-9b76-e14b62d378a2,education,Igbo,urban,} ,healthcare,location,neural_at.,location,2025- na-0.,,challenge_logic,solution_at,2025-09-26 02:57:00
mostly51-c210-485c-9b86-d0039c2a8fd8,agriculture,Igbo,peri_urban,}},", ",M,real_at.,description,outcome,", ",: ,2025-.080: ,2024-03-14 15:43:00
mostly81-dd5d-4241-b606-1290e760beb7,healthcare,Hausa,coastal,_life,: ,scenario_ m,"Uinsight,-1.574-280.,0.110,-1.7, 0.274,--.00--9",} ,K_language,environment,setting,,2024-09-17 12:58:00
mostly30-ac78-4224-aab7-ed2075f430ed,education,Amharic,coastal,KiT ku ku nao,resources_applied,outcome,neurallocation,solution_,rural,If_used,resources_used,transferable_language{,2025-05-06 05:05:00
mostlyda-4c84-48c6-8d39-bc13e9022b5f,education,Hausa,inland,"Ukosefuzi0., i-0.356,,-1.23,0.35,0.58},-1..32615,-1-.70.14,6515,0.4-71.53 ,- ",description,Mi ,: ,",-0.64,-0.4,1.",solution_embedding,U-0.,primary,"finance na-, vifaa.",2024-12-22 10:54:00
mostly7f-07ac-4cb1-a6a2-6fd94b1a0679,logistics,Zulu,rural,"scenario_, ",: ,scenario_at,setting,scenario_domain,M_logic,education yama- a,transferable_faced,", ",2025-08-06 20:27:00
mostlya3-71fd-477e-9259-dd8a4a8ce96b,entrepreneurship,Yoruba,inland,S ,scenario_life: ,Iu wa zaa na nari yazili kwao,location_used,setting,neural_i: ,",00",recorded_at,neural_logic,2024-08-03 11:02:00
mostlyb2-2d2f-452a-83d3-88e87455f1c0,logistics,Zulu,rural,setting,",_faced",symbolic} ,: ,"-0.6-0.24.12142,.2609,0.",2024_used,recorded_,Bla,Na-.,2024-01-28 03:36:00
mostlyeb-4487-412b-8ab9-210e40c75d7d,finance,Hausa,peri_urban,description,challenge_life,"scenario, ",solution,Igbo,recordedwa_language,"U, ",primary ,resources: ,2024-09-26 17:05:00
mostly61-e073-49bd-9c60-7f82cf70b220,finance,Igbo,rural,: ,setting,recorded_life,symbolic_faced,2024Tlogic,rural,2024-02a}To: ,: ,outcome.,2024-10-08 17:27:00
mostly78-48a2-49bc-baf8-30d152c850f0,education,Shona,rural,"If-10.064942, -T4,-0.268043,- e-T047 ",neural_life,neural_used,solution_appliedat,location,coastal,,: ,,2024-01-15 16:14:00
mostlyf3-c479-4fae-8064-21b512ec8353,environment,Igbo,coastal,A,"Mma-u.14,0.0708-44,0. 204,0.568,542,-T}.15171.18.",resources_insight,"description, : ",A wa wa,"M0.-24.57418,.0.",Ku_applied,urbanan kwa wa wa ya waa.,", basi ",2024-09-17 06:37:00
mostly64-8cb8-49bb-a6fa-25d8a65eb573,finance,Swahili,peri_urban,description,: {,rural,"primary, ",transferable_used,"2024id na,00",scenario_used,B_life,urban,2025-02-08 12:36:00
mostlyd0-f0e1-4717-842c-a4e0980f03ff,environment,Hausa,coastal,: ,urbanerig,2025primaryscenario_: ,Igbo,-: ,"Ukosefu-1.0}27,. ",,outcome,: ,2024-06-08 19:21:00
mostlyc4-73f4-4180-b1dd-a29f31492fd3,logistics,Swahili,urban,"U,t wakiko",primary_faced,location,resources ,D_: ,,If,"recorded, {",: ,2025-02-27 23:02:00
mostlyb1-8ce5-49d0-a2c3-c2971061ee3a,agriculture,Oromo,rural,", ",M,"Wa alat, ",-0506:.,transferable_embedding,setting,urban,recorded_at,solution-0,2025-05-22 06:49:00
mostly96-84dd-4499-b4d2-4bc1078bdfb4,environment,Oromo,coastal,A{,outcomen kudi.,solution_applied,", {",Igbo,: ,,outcome,I: ,2024-07-14 22:05:00
mostlyf8-e87a-4086-b6fa-abad8b2536ac,healthcare,Oromo,rural,resources_used,transferable_,"B1 na,12,1.6,021.9, ",neural_applied,: {,"S} uma:ti, ",}},: ,: ,2025-02-01 06:58:00
mostly67-2736-46c1-87d2-a79a27b2e686,agriculture,Igbo,rural,outcome,S,", ",setting,Igbo.,_solution,", ",rural,Ikiwa.,2025-07-27 16:36:00
mostly7e-e169-45db-a859-7f3cab70c83e,finance,Zulu,urban,symbolic_{,primary_applied,transferable_logic,} wa-1.: {,"description waa,0","-01, ",finance,symbolic_life,symbolic_used,2024-08-09 04:05:00
mostly0a-59e9-4f5c-86f1-8b5206a73f50,education,Shona,urban,description,,setting,", {",Kdomain,challenge,: ,Wa,Su,2025-02-28 22:32:00
mostly8b-fbf5-43db-b766-1ea29a659a49,agriculture,Hausa,peri_urban,challenge_i,setting}urban,rural,", ",solution_faced,urban,S,scenario_at,"finance,, ",2024-05-20 15:35:00
mostly68-68c1-4a2e-9c4d-ac0954aca91f,agriculture,Zulu,urban,solution__,: ,finance,: ,: ,education,primary_at,"recordedscenario ya ya, ",challenge_faced,2025-09-26 02:57:00
mostly86-bdd6-4260-a5b1-3707a08b5a49,agriculture,Amharic,rural,S,:06,symbolic_at,U ,", ",", ",urban,If,setting,2025-06-04 13:16:00
mostly71-4012-4405-b652-8b404d39d3f2,entrepreneurship,Amharic,urban,transferable_embedding,", ",Ma1 a yala,challengedescription{,", ",", ",solution_insight,outcome,description,2025-08-15 19:06:00
mostlydf-8284-4dd0-b156-27b745646604,entrepreneurship,Shona,urban,resources_insight,Mi: {,Ku,solution_life,"environment, wa",primary_T,outcome,outcome,", ",2025-07-04 16:11:00
mostlyba-4485-4c89-9529-9aab0b90a6d1,education,Zulu,coastal,}_used,setting,location,outcome,S,", ",resources_applied,Kinsight,K_language,2024-11-15 15:41:00
mostlyc7-5b4f-4297-b3e2-70266d5f452e,logistics,Amharic,peri_urban,Dused,", {",scenario_life,: ,2025_insight,A_u,outcome,"Ifwa na-ti,0.1515, then, ",solution_used,2025-09-26 02:57:00
mostly2d-766f-4077-93a0-a50d4005571a,healthcare,Yoruba,urban,20242:8- ,U0 kwajie.18,If_life,}:00, {,: ,education,I,,2025-01-02 08:30:00
mostly8c-49a1-46fb-a405-a59391d20747,agriculture,Oromo,coastal,solution,", ",", ",neural,", {",urban,primary,Ku_applied,"M kwao ya, kwa.07r na wa.",2024-12-07 06:22:00
mostly58-91f0-4d1a-8617-b56ce7522875,finance,Zulu,coastal,: ,rural,setting,description{,neural_language,: Mo,"A, na ",Ki ku,symbolici,2024-07-19 12:17:00
mostly8f-3f88-4c83-b9b9-90fc490ed16d,logistics,Yoruba,coastal,neural_logic,symbolicscenario ,description,"2025applied, ",,Ifwa,primary_language,: ,scenario_domain,2025-02-10 11:44:00
mostly86-57ee-4c02-a511-941c36f82919,environment,Zulu,rural,}u11_useda wari: ,", ",outcome,M_life,challengeurban,symbolic_{,2024_life,-_:,scenario_at,2025-01-28 09:15:00
mostly48-e86e-4f83-893c-87d44b82ecff,education,Igbo,urban,N,scenario_logic,"S-0.,1,-1-1. ",challenge_domain,Ku ,solution_domain,Is_atsi wat: ,_: ,Ki ,2025-04-04 06:48:00
mostlyca-ed73-490f-8807-336588f37e3d,finance,Amharic,inland,", insightapplied",recorded_faced,description,real_at,", ",resources_insight,If {,: {,2024,2024-10-14 15:30:00
mostly6c-26c4-49f1-91a1-0cdf3f93fa46,education,Yoruba,rural,If_used,Kue  wazasha: ,U_,A1 war_ nameri u,"2025-1-T07,, Nigeria, ",2024_ wa,location,"Kkais,ra,  ya ya-_araraba naka na.",: ,2024-04-11 06:53:00
mostly79-b399-427a-bff0-668d9d3d4903,transportation,Shona,coastal,recorded_embedding,healthcare: ,resources_logic wa ya wa ya.,M,: ,"neural__life, naapplied",", ",scenario_ ,Mi ,2025-07-17 11:41:00
mostly92-c247-4050-89a7-ed585916d010,agriculture,Swahili,urban,U_domain,: ,: ,_embedding,outcome,primary_{,description,"2024, ",symbolic_domain,2025-05-22 04:38:00
mostlye2-0b87-4988-b6de-c8b0a3d2d989,education,Oromo,urban,S: ,neural_used,solution_faced,"If, ",: ,: ,symbolic_applied,If: ,scenario_insight,2025-01-27 19:00:00
mostly9e-b31a-48a5-b3bc-0f29df977373,entrepreneurship,Shona,urban,_applied,: ,"Ku,-.",challenge_language,scenario,neural ya u,"A1ku-0.16,_T0..",If ,recorded_language,2024-08-06 17:23:00
mostly05-d192-459f-a9a1-b1d6d67b485f,finance,Amharic,urban,symbolic_ vya,: ,: ,", ",U,If ku,I_insight,",00",primary_language,2025-06-02 20:30:00
mostlyc1-a9c9-4cb3-a49f-7a3bfaf06d70,finance,Swahili,urban,", ",S,solution_applied,,scenario_domain,neuralu,primary_ wa,reali{,I,2025-03-01 22:26:00
mostlya1-3339-4e79-9961-c29f6aeda429,healthcare,Swahili,coastal,: ,K,solution nai ya ya ya biashara.,neural: ,rural,Zulue_elogic,location,} ,Igbo.,2024-07-27 11:43:00
mostlyff-1ba4-4e61-aebf-230fa7899d34,transportation,Yoruba,inland,primary_logic,"2024.837,19.8299, ku ",resources ya,Wa_,2025 ,_symbolicu: ,"Mu, ",symbolic,", ",2024-07-14 22:05:00
mostly49-b003-4bfb-adce-2aeaf0b1a2c6,education,Amharic,urban,: ,", {",Apparaes e za,"outcome, ",}life , ,", ",S,: ,2025-06-25 16:24:00
mostly0b-e6a2-46ad-b9d4-ada05ce725f0,environment,Igbo,urban,: ,", ",symbolic,coastal,solution_ na-domain,neural,Wa: ,recorded,,2024-06-22 21:44:00
mostly8c-4bcf-49e7-8573-73506b10ff63,environment,Oromo,peri_urban,: ,Dat,K_faced,outcome,"M sang,.",,: ,",language",Mi ,2025-09-26 02:57:00
mostly12-4959-4ba0-be60-2f11b7630f1a,transportation,Hausa,peri_urban,,", ",Iftaziwa za.3li,challenge_faced,outcome,location,K wa,: ,}o_facedu,2024-02-17 19:08:00
mostly93-b6dc-4f70-a4fa-f212dd3e9183,finance,Zulu,urban,,:,urban,transferable__at,2025 {,coastal,"A, Ethiopia",Ifa,"Ukosefu, ",2024-03-18 17:34:00
mostly81-e5e6-41d6-a2d1-5e3dfbef13fd,healthcare,Shona,rural,resources_applied,Mprimaryo,outcome,},transferable_at,"Mi, ",", ","challenge_,-01",setting,2024-09-03 12:16:00
mostlya6-7876-41ac-9c0d-c7e271ddb1fb,logistics,Shona,urban,real_insight,",description",", ",D: ,recorded_insight,primaryapplied ,challenge_ wa,2025,} ,2025-04-11 05:07:00
mostly01-780d-439c-9c8a-9266368a4c24,finance,Oromo,rural,solution_life,":, ","Ukosefu, ",I_faced,: ,symbolic_},: ,A,D,2024-07-14 08:08:00
mostlybb-e831-40a6-a00b-6a852d992502,logistics,Hausa,inland,: ,_transferable: {,N-_lifeli,", ",: ,rural,: ,If,description,2025-08-15 06:07:00
mostly81-94e1-4367-a9b4-a5b5468f1379,finance,Shona,inland,", ",urban,neural_,"K1,.",recordedlocation,neural_used,real}_applied,,transferable_applied,2024-05-03 21:36:00
mostlyab-d802-49f4-a776-8ec4afe5be0d,finance,Hausa,coastal,outcome,U_logic,"A, ",setting,setting,description,Zulu wakulale kura na ku ku.,: ,: ,2025-09-15 08:54:00
mostlyae-6575-4387-a7a9-a992f02fd8bb,finance,Oromo,urban,U.,neural_faced,real_life,outcome,", {",recorded_domain,outcome wa wa mikopo wa yala.,urban,"Ukosefu1,0.82, ",2025-09-26 02:57:00
mostly61-5a18-4cb0-b229-aead1916e255,finance,Hausa,urban,If ,: ,setting,"Ki1..,00.1, 8,0.89,0.9,-.53, basi17.24150527,, ",recorded_applied,U,Mdomain: ,outcome,description,2024-03-20 19:36:00
mostlyd1-88de-456a-b283-d21b8e39e12f,logistics,Yoruba,rural,,"solution,-, ",I,transferable__insight,_used,"-0.6658473,120.8,0.8172,0.32453, -0.3,.073-0,-0.88,0.27}23,0.61946,01},0.12-2287,0.6899,-0.2305-518 wa,1.,.,-1.",At,S{,", {",2025-05-08 19:00:00
mostlycb-a96f-4a34-8231-131c0a2b9504,finance,Oromo,rural,real_faced,Ifku00oe was wa kai na mtm wa yasharwa mawa ya ya-a ya ya narsirisimaei- yame wa ki ku kwa yaba ya uaaom kuwa na. na wa kwa nata natamam.,location,primary na,location,: ,: ,S.,,2024-05-14 11:35:00
mostly83-7664-4c0e-9e9f-eb21d0af5ac0,transportation,Zulu,rural,I,If,scenario,outcome,primary_,: ,neural_applied,solution,neural_ {,2024-01-26 15:08:00
mostly28-46ee-4c0e-8816-08aab24aae1d,environment,Amharic,urban,: ,challenge,scenario_: ,", ",,Wa_outcome,Mi: ,challenge_insight,K}} ,2025-09-09 17:05:00
mostlyfb-04f6-4d3a-9c99-1dfa2ba2cb8a,agriculture,Igbo,urban,",: ",neural_ vya,2024 ,,real0 ,outcome,: ,_used,Ukosefu_applied,2025-09-19 02:18:00
mostly21-baa2-441b-8f38-dbd765c6f2de,logistics,Zulu,peri_urban,primary_applied,healthcare. ,challengeprimary_language,", {",settingsetting,"M0.49, ",_embeddingscenario,realurban,healthcareat,2025-09-26 02:57:00
mostly7e-fc49-48d3-9834-723d5ef415f8,education,Shona,urban,}: ,A_at, ,",-0.T6543,-0.180409,0.2815928-0.6, ya-0.73,0.,-0.141,1.4,11.,T:18798, then ",resources-_embedding-: ,education ku yaku0.,A-1.,,scenariolocationwa__logic,2025-07-10 17:47:00
mostlya7-6680-4494-9d66-adc3dda3fab5,healthcare,Hausa,peri_urban,: ,"scenarioT, ",: ,", ",} ,2024,} ,"description, ",",} ",2024-05-21 02:58:00
mostly28-e745-4715-9845-f5457a1ebf8a,healthcare,Zulu,urban,scenario_life,neural_scenario,rural wa yawazi wata wa na n.,scenario_,", ",},symbolic_applied,recorded_insight,: ,2025-02-11 13:06:00
mostlydb-81c4-4567-ba79-e3d21c3226c8,agriculture,Shona,rural,challenge}wa,setting,", {",If ,:00,"K, ",resources_logic,"--05-08-0.,.0.240.716-,-0.","Zuluurban,.",2024-07-14 21:10:00
mostly90-38d7-4cdb-b57e-84bc4e38a974,agriculture,Zulu,peri_urban,challenge_00,"2024,-0..,0.-.",U.,: ,setting,2025i_logic,resources_at,symbolic_life,description,2024-08-04 03:35:00
mostly67-147a-4918-8f83-d0d35ea78600,education,Shona,coastal,: ,: ,: ,"D wa-barme--0T2.68,0.461., ",Igbo,setting, ,--06.,outcome,2025-09-26 02:57:00
mostly1f-468a-4949-800c-b04173372ad9,finance,Zulu,inland,I,M_logic,symbolic_insight,location,location,: ,real,education{,coastalprimary kwa,2024-03-06 05:03:00
mostlyd7-b641-4171-b3f2-46ec5922cd9f,transportation,Swahili,urban,,neural_language,M ,challenge_used,symbolic__at,M {,Ma wa ya wa mudazi wa wa ya mta i ,"primary_applied,",solution_applied,2025-05-24 16:39:00
mostlyab-aa7b-4fca-affe-8f51c169c593,education,Shona,coastal,U,recorded_at,N_logic,location,location,real,K,urban,", ",2024-05-08 01:52:00
mostly3e-9cfc-4f86-bf5f-f82aedfd3659,logistics,Oromo,peri_urban,Mensa.,scenario_embedding,finance,"A,",If0,_language,",- ",Uapplied,S,2025-07-07 16:07:00
mostlyfb-ceb9-4272-90bb-dcf5afcb5948,finance,Shona,peri_urban,M_applied,U,"2025atpu,1.","challenge, ",education_embedding,environment_language,descriptionle,", ",: ,2025-09-26 02:57:00
mostly36-f18b-4fa6-8aac-57ab1f2653c5,education,Igbo,rural,solution_at,I,M,urbanku- ku.070924: ,Ifembeddingdra yad,neural_,2024.,,transferable_description,2024-09-02 21:26:00
mostly49-115a-4e9f-b764-3826092210ed,transportation,Igbo,coastal,location,challenge,", ",I,Wa:0000,outcome,I,: ,: ,2025-02-11 03:54:00
mostly6f-6a22-4bf9-abf6-38cf21a9cd64,education,Yoruba,peri_urban,",embedding",description,"challenge,-10.96025., ",",{","recorded_faced, ","Wa wa-, ",description,transferable_logic,rural,2025-04-16 08:45:00
mostly37-a4e0-4b15-a79c-40de20bb1655,finance,Oromo,rural,"transferable-.9-1.050,-088-0.032409,0.,1.04,0.23T1908},1.0489, ",Uinsight,A,A_t,coastal,: ,"scenario1, ",resources_insight,If,2024-11-29 03:09:00
mostly48-f549-4ee2-8f7c-b5cc652287e7,agriculture,Amharic,urban,U,", ",_embedding,K kwa,", ",location,setting,scenario_insight,challenge_insight,2025-09-26 02:57:00
mostly04-545a-4aa0-9ab4-c70869e12467,transportation,Amharic,urban,",location",primary_language,outcome,: ,Ikiwama,location,outcome,resources_-,"If_languageurban vya nadaji wa, ua.",2024-07-17 21:51:00
mostly47-f085-4ec0-821b-84c2756c6eb9,education,Zulu,urban,solution_insight,M,",_embedding",environment,description,D,environment_embedding,: {,recorded,2024-02-27 19:20:00
mostly03-7209-4d94-9e05-33785a0df300,healthcare,Amharic,coastal,"Uu, ",", ",description,environment,M nara.,", ",2025,description,", ",2025-07-14 03:10:00
mostly3e-a264-448d-b635-9fd931791c0f,agriculture,Zulu,inland,U-Tlanguage.,,resources_: ,setting,: ,real,If ,"N., ",scenario_life,2024-04-28 04:15:00
mostlybf-d617-4fea-aad9-c37c5a3975c8,transportation,Swahili,urban,M{,,2024- wa u,resources_life,2025logic},Ku_applied.08-,:used,M,",0.53.,.503,1.362,-0.17, {",2024-03-22 00:52:00
mostlya4-8ba1-46a8-af6e-80a8b1101269,entrepreneurship,Oromo,inland,: {,recorded_language,,",",M,real_,"neural_appliedili mrsko,- i.06o1 na na i kwa nau u za ya. mti wa u nasa ya.: ",Ki,outcome0 na-2_used,2024-08-19 15:00:00
mostlycf-9b31-4079-9498-917142acfb4e,agriculture,Yoruba,urban,challenge_logic,resourcesfaced vya ,scenario_domain,Wa,,", ",neuraln__at,finance,"Shona-08-0.030 wa.0029., then28,-0,0.1,0.56,-T0.002,0.",2025-09-13 12:15:00
mostly3a-e3ba-4b44-93d9-cfd05867b9c8,environment,Igbo,urban,scenario_applied,"solutiona vyatko,o0",recorded_at,"Ma_,- m.,.",,"}used,-.",setting{,setting,2025-.,2024-02-05 08:17:00
mostly5d-3677-43a8-900d-95646ed8c1c1,healthcare,Zulu,rural,Igbozi m wa wa naa kuin kwam.,"location, {","If0.263703,0 5",", ",location,location,scenario_life,resources_,",008",2024-10-14 08:32:00
mostly92-9ac7-4b71-b866-96b82ad05d40,finance,Zulu,rural,Ku wa{,neural,setting,_urban,: ,"2024-T0710.158,--0.60.3., ",real_,scenario_applied,resources,2025-09-18 06:16:00
mostly20-de9e-4c10-a804-fffd0fbf5ffb,finance,Yoruba,peri_urban,S kut wa na wa m {,Mi_ naat,: ,scenario_at,challenge_domain,recorded_kadomain,,"} wa wa,-li n ya u zao ya ya yakwa yaa ya ma wa maaanka wa ya ku m ya nlee zakatiwa,tko nari a",S_language,2024-01-05 00:22:00
mostlyb8-4645-4e73-9e2f-ae82d546d962,environment,Shona,coastal,"primary, ",scenario_at,", domain",real_insight,resources_logic,", at",urban,,description ,2024-01-21 05:24:00
mostlycf-62ca-44e3-a14b-62f98c2c4b70,agriculture,Hausa,urban,: ,Mi{,location,: ,", basi ",", {",scenario_at,}1T{,environment,2024-07-08 00:00:00
mostly2d-93c5-4877-8cfd-1358253eaa81,environment,Shona,urban,,Ku kwaa ku wae waa ,If: ,finance,N,: ,: ,recorded}{,If ,2025-09-26 02:57:00
mostlyd3-78b1-46dd-ad4a-c6309173a6d2,logistics,Hausa,urban,solution,"2024, ",", ",", ",real_languagefaced_language,resources_life,"-0.06,-0.-T500,17.T, ",M,: ,2025-04-14 04:05:00
mostly6e-0cab-4b85-9f15-412ea30b682e,logistics,Oromo,peri_urban,neural_language,Mi,settingo.,"2025-0.50.33,-0.-0.79: ",rural,M kwa,2024 ,",0.6,-00.",: ,2025-05-05 11:41:00
mostly6c-df65-49a2-ac4e-94559d6fff3a,environment,Yoruba,coastal,Ma,transferable_used,resourcesurban,neural_domain,outcome,rural,transferablescenario_language,recorded_faced,"Ifku, ",2025-04-17 17:29:00
mostly20-8954-46c6-8046-1996b45edc63,transportation,Igbo,coastal,M,urban,finance,2025,", ",symbolic_,"Aku}ri, zia wa wa ka ama-0.",Zulu,Ku,2024-08-26 20:49:00
mostly28-67e5-4db2-9d8e-a6836d0a5bf6,agriculture,Oromo,rural,,neural_embedding,real,,scenario ya u u- yawa -_embedding ,symbolic_used,", ",If,outcome kwa kwas i yazida,2025-01-04 18:54:00
mostlyd1-f113-48fa-8986-88e1db8ed4f3,education,Yoruba,urban,symbolic,I,primary_insight,location,}_used,N,Kuat.08 ,: ,real_life,2024-09-27 03:43:00
mostlyc5-5c10-443c-aec4-b969c67c9c2e,finance,Yoruba,peri_urban,Urecorded_insight,neural_applied,outcome,urban,,D{,,",_life",: ,2025-07-17 15:07:00
mostly40-2890-4ffc-91ce-cfcdcb3974e5,finance,Shona,urban,recorded_at,symbolic_logic,"}I ya-ta ku,ka ku wama ya wa kuka u na wa.",symbolic,Waka1.03,: ,transferable_applied,2025_location ya,location,2024-04-13 16:09:00
mostly19-f633-42ec-a64c-a05af757a957,healthcare,Zulu,inland,M,recorded_,: ,"If, ",B ,,location,M,"-0..1609,-1.07,-.7,-10a18,0.56,-1.5415, ",2024-06-12 08:15:00
mostlybb-9941-499d-a1fa-32e27e704436,environment,Igbo,coastal,description,healthcare,primary_used,,scenario_life,solution_logic,education,"ATinsight, ",primary_,2024-04-19 01:11:00
mostlycc-09cf-4a4d-9d4c-666ddcf7c35b,entrepreneurship,Igbo,urban,,coastal,"2025ku:00s wali na ma, then ya naku katika uo na u u wa n ma yasla madazi wa muda ma-1",solution_insight,: ,", ",A vya wa m.,scenario_ ,Igbolife,2025-09-26 02:57:00
mostlydd-ce62-422d-848d-3694c9cdb6d6,agriculture,Oromo,rural,description,challenge_language,S,primaryembedding,real_insight,description,setting, ,: ,2025-01-05 16:49:00
mostlye2-ac7f-4af7-81b2-e28f3d2ef356,environment,Yoruba,coastal,description,"2024-1-08.527,5.2857, na228.4., ",primary,educationma wa mikopoa mo.,2025_urban,"symbolic-0.,54826,- ya.3, na00",", ",N- na.18,neural_:00,2025-07-10 17:10:00
mostly26-9d09-4148-b096-6ad3eefcb85f,education,Amharic,urban,2024_used,I wa,Igbo_logic,: ,", ",primary_e,solutionIfum na0 kwa na kuem.,outcome,,2024-02-13 22:36:00
mostlyc1-990e-4f77-be65-305b38e959b0,healthcare,Amharic,coastal,,,: ,recorded_language,- {, ,", ",location,rural,2024-05-19 05:14:00
mostlyfe-5441-46c1-985d-716682ff2467,healthcare,Amharic,coastal,scenario_logic,scenario_language,urban ku,At yasa u kuralima wa za,S,: ,: ,solution_at,outcome,2025-09-26 02:57:00
mostly78-00c9-429f-afc9-c39f0df65632,transportation,Oromo,urban,"M-1,-0.",", ",: ,U_insight,primary_facedwa,: ,If ,Iembedding,outcome,2025-08-08 01:36:00
mostly8d-c341-4f00-a064-2f7c96abfd61,healthcare,Amharic,urban,resourceslife-_language,"A2i,0. ",challenge_,,U_domain,A,A, ,,2024-07-13 03:51:00
mostlyc2-f95b-418c-8c26-42adfc315d26,environment,Yoruba,urban,",0.023",resources_life: ,", ",: ,challenge_: ,solution_faced,",0.7,--0.-045.23.: ",solution_,coastal ,2024-06-04 17:36:00
mostly3a-f87d-49e0-b551-d8927dda37b4,finance,Amharic,urban,real_language,Makaba i.,: ,,"202505 waka ki nam ur,smarba.em, ya ma","20241,01.76,1-9072,-0.1891.81-159,-0.041605,142,-0.,2,-0.-27,0.49,-0.9,0.-53,0.76-2,0.230,215,.9.06-T8,1.177.,0.284,-0_03,1.1957,00.03, wa-0.",symbolic_logic,Slogic wa yaba.,setting: ,2025-05-10 09:21:00
mostly13-77b4-428e-a815-5bb7c07af867,finance,Shona,peri_urban,symbolic_domain{,description,,description,2025_language,finance,,scenario_,challenge_domain,2024-12-22 13:22:00
mostly13-06ad-4a98-82d7-ffdee7f588c1,healthcare,Shona,coastal,"Ma uta metili, na ya ki",_insight,realrecorded,A_insight,outcome,solution_insight,: ,transferable_embeddingt hienda iomta.,"I0,i",2024-02-12 23:07:00
mostly1c-72ae-40fe-a704-35f6096ede69,environment,Swahili,urban,} ,primary_life,"Kui-2-0.3-,1 04,0.737,.0..",symboliclocation_domain,location,resources,description,", ",neural,2025-09-26 02:57:00
mostly7d-5e53-4ab1-8d15-bf1f9cc5b827,education,Igbo,coastal,neural_at,If ,primary,solution_applied,2024 ,symbolic,resourcesatee.,: ,scenario: ,2024-08-03 17:39:00
mostly17-6cd5-4507-b69c-9513b401717e,agriculture,Igbo,peri_urban,K,resourcesinsight,Ku,_,:,: ,: life,setting,challenge_at,2024-04-25 08:21:00
mostlya9-c0b3-49c0-9f54-f8c347309036,agriculture,Shona,urban,primaryat,B ,environment,description,If,recorded_language,transferable_insight,challenge: ,"20251818T04, ",2025-03-08 17:02:00
mostly92-f202-4454-94da-4fafd12b4e52,education,Yoruba,coastal,: {,:,: ,coastal_location,Ift,"rural,",symbolic_insight,healthcare_used,,2024-05-21 16:18:00
mostlye0-fdab-49dc-9beb-1bc368ff5269,transportation,Shona,peri_urban,neural_embedding,- {,Uinsightleo ya u na wa mudaski-i ya ya.,Igbo: ,transferable_embedding,M kwaru ya nain kwa a na m vya wa vifaa wa mika ki u mioli,: ,"If na wa.8, {",recorded_used,2024-11-22 00:26:00
mostlyeb-5f5f-452d-aa82-9dd6732e170a,healthcare,Amharic,coastal,Zulu,Ifapplied,Dat,symbolic_at,U_,Ifku,"solution, ",setting,", ",2025-07-20 15:02:00
mostlyde-803b-4242-ac2f-9da20eff4f5f,education,Zulu,rural,neural_logic,U,", ",,: ,"-1.07,--0.0.17T3,-0.9,-02160.70509,4:1.,7.48, ",", ","Nku ku kwa,-.6-","resources-0.1, ",2025-07-16 12:23:00
mostly96-659a-44c8-af66-91c2c2903b5f,transportation,Igbo,peri_urban,recorded__insight,} ,,description,neural_at,solution_: ,"B vya21.58,-0.6,-0.36,-1.7,0.580658,1 waT0.27,0 {","recorded0.,8,.",2025,2024-11-14 06:40:00
mostly12-a5ce-455b-9cbe-e721087375c0,entrepreneurship,Igbo,peri_urban,solution,Mi na waka,resources_language,", ",", ",2024_insight,"Kia wa mi yarim, ku kwa na",", ",: ,2024-01-16 06:04:00
