id,subject,subject_type,predicate,object,object_type,context,primary_language,relationship_strength,temporal_aspect,symbolic_representation,neural_embedding,recorded_at
mostly00-0c67-4e6e-9e91-88169787261d,place,person,T_representation,South e,place,object,Swahili,moderate,current,context,:_types,2024-11-26 16:36:00
mostlye5-1aff-428a-9730-3efeb4c814bb,moderate,concept,M-a_gi,knowledge_graph,cultural_element,cultural,Amharic,moderate,current,object_type,cultural,2025-06-28 22:08:00
mostlyb5-21c6-4b99-8bea-ed5d4c9794ae,"relationship_, ",event,: ,: ,concept,historical,Zulu,strong,historical,recorded,: ,2025-03-02 09:03:00
mostlyca-5c78-4551-9037-093405198566,,person,subject_type{,moderate,concept,strong,Amharic,moderate,historical,primary_,temporal_graph,2024-05-28 11:55:00
mostlyeb-b455-4bd1-a72b-d43193c82051,,place,concept,context,concept,", ",Zulu,moderate,historical,Swahili,predicate,2024-02-01 02:24:00
mostly73-3d03-4e9b-be64-a067ebd17982,",k ",concept,historical,concept,concept,concept,Zulu,moderate,historical,S._graph,Sd ,2024-11-19 17:24:00
mostly27-9242-44e4-8501-43134bdcf002,S,place,organization,: ,place,recordeda and ,Swahili,moderate,historical,Igbo_aspect,object{,2024-08-27 20:07:00
mostly60-318d-45ce-8ee8-ebb0238fa9c0,Sara,event,", ","-0.062.07,0.9607,025,1.30649,-1..42013,-0.4,",concept,", ",Shona,strong,historical,place,"2025-0.280325,-0.931,0.15,- .0708,0.65620,0.131,-1.13,-0.56T03,0.48654,0.074-009,-1.5803,0.39,-099-0.,-07.42,-T.1,-1.89184,,-0.395746,,0.2949:,-1.095,-0.60822,-1.146,1.499:2,0.2515,.107,0..153142,-1.16:00_}, ",2025-07-14 02:59:00
mostlyb4-40f1-4bc2-8049-b79afdd0bbcc,neural: ,concept,", ",context,object,subject_representationity,Hausa,strong,historical,place,2024,2025-09-29 17:32:00
mostly51-dda9-4fab-866d-a507cb844326,knowledge: ,cultural_element,neural_type,2025anscnin,cultural_element,G,Amharic,moderate,historical,: ,moderate ,2024-05-02 17:58:00
mostlyda-9d1a-476e-81d1-bc312d8abd3c,recorded_embedding,cultural_element,place,context,cultural_element,"2025-0.91499,-1.18,-1..3,0.9,9.24,-0.0504508,1.71723,:00-1.7,-0.0850,-1.807,",Hausa,moderate,historical,symbolicy,person,2025-04-14 11:08:00
mostlyd0-cbc3-4127-bfd2-8ec2e1ed19c5,predicate,place,neural_embedding,: ,place,relationship_graph,Zulu,moderate,historical,: ,moderate,2024-05-02 11:46:00
mostly05-8071-4874-93c1-a7e2e55c3dab,: ,place,subject_type,relationship_{,place,neuralen ,Igbo,strong,historical,: ,: ,2024-11-14 10:28:00
mostlyf1-f657-4014-8efc-d815c9be2905,symbolic_aspect,place,,moderate,event,: ,Yoruba,strong,historical,subject: ,subject_strength,2024-06-21 16:13:00
mostly6e-f4c4-4611-9a30-42617d653cc2,issubject,concept,relationship_at,historical,place,C_type,Yoruba,strong,historical,subject,: ,2024-04-03 08:55:00
mostlyba-c384-4303-babd-2f59be419d58,2025{,place,} ,_representation,cultural_element,: ,Zulu,weak,current,: ,neural_at,2025-05-01 12:42:00
mostly1f-c4e4-4d23-aefe-74fc58d01b53,: ,place,neural_type,relationship_type,event,", ",Swahili,moderate,historical,influen Africa: andate a,", ",2024-08-08 09:24:00
mostlye9-2bfc-4818-8b32-9ab2ea403a5e,subject,place,: ,", ",place,M-,Amharic,weak,historical,,concept,2025-07-05 22:12:00
mostly4e-3a8c-4642-ac21-1125dc3b37d2,,place,organization,concept,place,historical,Zulu,strong,historical,_at, ,2024-02-24 01:24:00
mostly5a-b138-4ad9-ab68-1c0d80cd3240, ,place,,object_at{,organization,strong,Amharic,strong,historical,place,object,2024-05-14 01:06:00
mostlyca-66c0-43d1-9411-5c516258aa58,relationship_,place,", ",", ",cultural_element,primary_embedding,Zulu,strong,historical,predicate,subject_representation,2025-05-20 20:42:00
mostly12-5833-47eb-a5cf-4eba98c15c22,organization,place,,neural_language,concept,Igbo,Yoruba,strong,historical,A,symbolic,2024-04-20 06:29:00
mostlyce-8388-418d-95f9-4b926326dc9e,"predicateancgsk-1 andk.17, : {_embedding",concept, ,object_,object,temporal_,Swahili,strong,historical,"M.7882, ",concept ,2024-01-04 17:56:00
mostly21-ddd9-4e00-91cb-5ad17dabe443,", ",person,context,K,object,knowledge_graph,Swahili,moderate,current,Ea andpoa c,predicate,2025-07-01 05:12:00
mostlyff-f7d0-4a8d-a635-24ae23418c09,}} {{,person,: ,primary: ,cultural_element,: ,Zulu,moderate,current,"symbolic, ",Swahili,2024-11-03 08:54:00
mostly13-0389-47fa-9d34-f88602be2d68,2024,place,South,neurale,object,historical,Zulu,moderate,historical,}_type,: ,2024-06-10 22:55:00
mostlyf9-a78f-4ce3-b7cd-335fa363c535, ,place,C0,context,place,object,Swahili,moderate,current,",-02.3917,0.04183,-0.0756,-0.37,-0.0995,-0.57030,1.18037,0.12857,-0.609,0.1250,1.3.260.4,0.87146,-0.,0.098,---12520.76,-.0.2205,0.7,1-1.51,0.127,-0.295T,0.435,0.4218,1","Zulu, ",2024-05-29 01:05:00
mostlyce-a8d9-4d4c-bcf3-2b4f47edc7e1,predicate,concept,: ,historical ,concept,Igbo_language,Zulu,strong,current,predicate,strong,2025-09-28 22:14:00
mostly1a-0ad5-4cb6-9315-f107a28aa4fb,predicate,concept,,", ",concept,", ",Yoruba,moderate,historical,object,: ,2025-08-14 09:18:00
mostlycd-19fb-464d-8624-49bfbb139ffb,C_representation,concept,neuralt,influen iny_representation,concept,":fingartan mcansings intheda andcaerye andu c Africaesicornocye c, edan of inyka",Amharic,strong,timeless,: ,2024,2024-03-10 18:24:00
mostlybc-cb43-4d67-93d1-c2efba6d7632,strong,place,primary_embedding,: ,event,: ,Hausa,strong,historical,subject,subject,2025-04-29 12:07:00
mostlyb4-3957-4bf0-bfb8-67a3466c52c2,_typeth,person,Sy,neural ,concept,predicate,Swahili,moderate,historical,place ,", {",2025-09-18 13:10:00
mostlyac-cef8-4e9b-8755-5311d6792659,object,concept,historical c_aspect,historical ,concept,: ,Yoruba,moderate,historical,object,temporal_aspectaryats,2024-04-11 18:10:00
mostlye6-9771-456d-8abf-3c5d387026d0,subject,organization,subject_representation,neural_type,concept,C_strength,Shona,strong,historical,subjectstrength and,} ,2024-08-06 02:08:00
mostly3d-c1f9-435a-b1ae-cd31b7ec7191,Mi,person,historical,}}- ,concept,strong,Zulu,moderate,historical,: ,conceptt c and ,2024-06-08 07:18:00
mostly22-698f-4a16-9440-c8946b414083,neural,place,M_at,moderate,place,temporal_aspect,Hausa,strong,historical,G,temporal ,2025-09-29 17:32:00
mostlyc2-bcff-4579-8ed7-ec9b14cc10c2,predicate,organization,primarya {,: ,object,neuralou ,Zulu,strong,historical,{c: ,G_at,2024-12-07 01:00:00
mostly75-772c-4293-8c91-c6ca3572fc7b,Mny,object,primaryoral,temporal_language,event,2024,Igbo,strong,historical,organizationT,place,2025-05-12 16:37:00
mostly64-4241-4c07-a80d-05f0a97e5639,object,place,recorded,", ",object,predicate,Amharic,moderate,historical,context,: {,2024-05-09 13:57:00
mostlyea-675e-409c-a1c8-521ddae95a2a,"G,  ",place,object,concept,place,relationship {,Zulu,weak,historical,"symbolic_type0.94248s, ","symbolic-030.357,-1-10001.12,16.0242,00.2346,0.231515,0.7603,-1..1605,3622,0.6T291,1.06, ",2024-02-22 14:45:00
mostlyfa-01e7-4bc4-b8bc-81b42f6632ce,: ,place,relationship_at,", ",organization,"M-eT0.097, ",Igbo,moderate,historical,: ,primary_type,2024-05-11 00:24:00
mostly2f-1ba7-421a-b3bc-1be8281247db, ,person,context,relationship_at,organization,T{,Shona,strong,timeless,"historical-1.0.88,.08762,0.09",neural,2025-06-19 20:51:00
mostlybb-8674-4e1e-b178-09a16ca1017f,", ",place,place,predicate,place,"-0.36,1.3",Amharic,moderate,current,context,historical,2025-03-06 14:49:00
mostly4b-743c-4a83-899e-30fb87b1de0e,subject,concept,object,primary_at,organization,,Yoruba,strong,historical,temporal,{,2025-09-29 17:32:00
mostlyed-934f-4084-a056-739b1782c6e6,S,concept,subject.13,,concept,place,Swahili,strong,historical,recorded_at,,2024-09-30 17:39:00
mostlya1-9637-4842-8a14-921628001acf,_graph,place,concept,"concept, ",place,1,Yoruba,strong,timeless,predicate,symbolic_aspect,2024-08-10 23:52:00
mostlyd9-c299-4400-8ead-476852204303,} da{. in ofci and in00rayatsoala e inorauvingse_dedicrp ,place,primary,2024-805:00T1{,concept,2025_at,Amharic,strong,historical,object,historical{,2024-07-19 12:00:00
mostlya8-c1e8-4d6c-a7b5-0f7d7109d9cd,weak,object,subject_representation,primary_-al,cultural_element,subject,Igbo,moderate,historical,"2024-T1.4376,-0.1",", ",2024-11-30 15:21:00
mostly03-a1dd-49e3-bbb8-e297a8bd12fb,moderatey,place,primary_type,subject,place,subject,Swahili,moderate,timeless,subject,strong,2024-11-23 22:47:00
mostly0c-b608-4323-8cac-26bfca9bcb5d,concept,cultural_element,person,}: ,place,Swahili,Amharic,weak,historical,historical,", ",2024-12-28 21:42:00
mostly18-00a1-46e1-add0-58eb74299e3d,neural_graph,event,"}--0.090,-1.,.39,0.48,-1.066485,10.57,.90328,0.236,T05,0.36T018,1.150,--0.29467,002.622,-0.39226,-:.157,-1.95,-0.8.432,42480.40, ",E}i,place,relationship2} {,Swahili,weak,timeless,strong,predicate,2024-03-27 02:08:00
mostly20-d929-4559-8508-6500325ffa5a,concept,person,knowledge,Amharic,concept,conceptti ,Zulu,moderate,historical,moderate,person_,2024-07-14 00:14:00
mostly6e-3402-48c9-8506-4c977560bdfd,"-1.102,1.608,0.37,0.9T,1.346,0.4719417},,1.442.1746,-1.16,-1.2,-0.041880,0.4,-0.26,-0.466,-0.36080547,-0.8.087,-0.50,T.8,-0.7,0.5842,1",person,2024 {,strong,concept,A,Oromo,strong,historical,_language,"}0.1716},_representation",2024-06-02 15:22:00
mostly91-28ad-4539-a2b1-8a2a6cd223f1,: ,place,E,",-0.7371,1.431,.42,-1.64036619,-0.62,-0.03180:0.2606, ",cultural_element,2025,Zulu,moderate,historical,"2024--1.16,1-09.23,-0.1,1.80517-708,2-1.38246,0.0860417,0.73.01,0.6,-0.,0.568,--1.71.195,0.92-5,1:.137,-0.2500{-,0.43,0.4749005,0.2.903,0.04,-10.09043,0.28,-243:.091989-6,-0.04622,0.24806,00-1.01,0.46,10.67,0.0448050.165,-1..47166,}:7,-T14:0.0665,-0.09181,000,1.083,0..72,0.02.925,,-,-1152.4,",_INVALID_,2025-06-11 09:24:00
mostly4c-e649-4e2d-adfe-db315f25f886,"20250.03-251,0.242,-0.36207,10.4,0.2318156,-760.4253,-1.7,-1.22575,01.529,0.490576,1.,12.18,1.490.1,1.4,0.434871,-0.1605636,T1.76-}00,0.2906,",place,temporal_aspect,", ",place,subject,Amharic,strong,historical,} ,organization,2024-08-17 22:08:00
mostly02-2442-4993-a3c4-ad0e530c1924,: ,person,"}, {","}, ",organization,"2024nan0.29,1.4649:003,0.671,1.48808,0.3906,0.48,0.,5.6:019.3,",Amharic,strong,historical,S_at,subject_type,2024-03-21 14:16:00
mostly7e-f8bd-45b5-af72-15380ba61cb3,temporal__type,concept,: ,predicate,concept,subject,Yoruba,strong,historical,object_type,"2024-0.2,-1.64,",2024-03-25 11:54:00
mostly67-f3f8-450e-83c6-a565de65c5a4,context,place,predicate,concept,concept,symbolic_language,Hausa,strong,historical,T,subject_embedding,2025-01-23 09:23:00
mostly79-fa9d-487d-93dc-6936aff08840,", ",person,",-10.1601,0.495000,-0.,0.38,1-27.4356::00-1.863, ","neuralbr and-T10.1636.1,1.48,00-100.64485.,4-0.294,1.6562,-.1936,-",concept,"2025-1.276182,1",Shona,moderate,historical,conceptic,place,2024-07-10 18:29:00
mostly72-3658-4bc3-90f2-30bad7fef473,object_language,concept,M,_at,object,: ,Igbo,weak,historical,neural_at ,subject,2025-05-09 22:46:00
mostly9b-0de1-4dbf-9910-afef185f06a0,",.2500",place,subject_type ,subject,place,":_, ",Amharic,moderate,historical,strong,: ,2025-03-30 16:27:00
mostly2a-9eb0-49f1-8ed4-08fbfd1e9cf2,2024T1{,organization,subject,temporal_aspect,concept,primary_aspect,Shona,moderate,historical,relationship_relationshipgraph,object,2024-08-10 22:22:00
mostly78-ef99-4ce9-949f-c7e787225f9c,"2024-.087,46,00}22-0.225142,-0.38,{0.5650.4615,TT1-:T00109}5,0.12,0.167,0.2581,:-0.7,0.481186,0.05-1.7220,0.602,-0.,064,1.1501,,--.0047:,0.495,01.2,082,-1.04174,-1-9.9015-04,-1.2352.38,.38,-.90,-0.01009,.1350,0.25,0.488,09,1.656,-1.1:.746,-1.1318718,-0.846,-0.57,-0",person,predicate,M_type,event,neural_element,Yoruba,moderate,timeless,2025,",-006,.36, ",2025-01-21 21:33:00
mostly6a-78ea-4905-b292-a3c4c22ffa44,concept,cultural_element,Amharic,E,place,Amharic,Swahili,strong,historical,2025_d,: ,2024-08-25 08:57:00
mostly3c-9500-4fb5-bb2e-59b982582039,predicate,place,: ,temporal,organization,", ",Swahili,moderate,timeless,G{,organization,2024-12-01 07:49:00
mostlyf9-d77c-4f81-979a-947bbde8089b,object,place,relationship_language,2024_embedding,organization,knowledge_,Swahili,strong,historical,M,place,2025-05-21 12:36:00
mostly0a-ec80-469f-b077-1821003b8ee0,predicate,concept,object,subject_type,concept,influen_representation,Shona,moderate,historical,", ",} ,2024-08-12 15:40:00
mostlyee-64f1-4301-9b48-77962bfe2ad7,"subjectsans,",organization,Swahili_,temporal_graph,concept,2024 of ,Yoruba,strong,historical,", ","A.0229,1.39343,--1907-11118,,-.4246,0.1622,1.900,-1.09}149,-0,-T10.274,,0.2319806knowledge,-0.015, ,-0.575705,-0.55,1-.9,-2.9060-05,0.3,,1.12,-0.2243,0.2750,290.23,0.58,,-0.4325520236,-04.2604,-0.081,-:1.0806,-1.28709,2.12,0.196,11.225,0.424,1.425,0.,1,1.9,.561,-0.0428,-76.36,-1.23-1276.4,0.0861715,-1.28,-1.3309,-0.037,-1.0204483, ,1.7",2025-03-22 19:14:00
mostly79-21d0-40f1-94e0-bcc6eb5d8af9,influen,place,As ra{{og-vri,object_,place,predicate,Yoruba,strong,historical,: ,"2024--0.16,-0.26,-:0.1548,1.1390147,1.723,-1.538,}.530652,1.0148",2024-07-24 22:54:00
mostly98-947c-4408-865c-d40bf6e15af8,weak,place,subject_type,historical,event,_at,Amharic,moderate,historical,: ,relationship_language,2025-03-02 13:08:00
mostlyb0-362a-4db3-9ccc-6d25b370878f,"knowledgeooreb pi}sc in inkk in eor, ",person, ,"2024.8, ",place,moderateas s and Africad in add,Zulu,strong,timeless,object,"timeless andpgep, ",2024-02-03 14:23:00
mostly59-a0de-40d0-895a-fe4fc301ac9e,A,concept,historical,C,concept,N,Yoruba,strong,historical,"relationship}1.4246.1.73:007,7: ,--0.436,1.041,-0.60416,15071,-0.280,-0.801,0.0..28234,0T13-1.57,080.037,.01, 19.936,-,10.17.576, 8.616,1.51-15,0.16,1.0.01,2.01,-0.085,0..2,0.82,0.39197,,1.1.471,040.04043,-0.50..10,-0.6.0830,0.915,1.717,0.87.01-08,0.7.56,0.,0.0392,01,1.07,1090.5,04,-0.25570,-7T03:1,-0.16078,1.22,",recorded_type,2024-01-04 22:35:00
mostly2a-c0f7-4bc3-8142-9c9862955c6a,neural_language,concept,"2024-0.9,-111.007,.65,04-10.370,1.06-.8,--TT0023,0.054-4T,.87,-050.1718,0.5,0.0322,-1.76291.47,.6,-0.40.9,-0.63,-0.3,-0.1512,0.4776,-1.766,-1,-0.6647,-0.0.900,-0.2,0.10529,-0.397,1.8.7,-0.516,0.48,,0.03503,-0.105,0.246-9,0.759,-003.60408,1091.,:-0.80,,-0.0233,-.556",recorded_type,cultural_element,,Igbo,weak,current,timeless,concept,2024-06-10 01:23:00
mostly1c-6005-456f-b4e2-2b214bb3dccf,recorded,place,T,temporal_aspect,concept,recorded_type,Shona,moderate,historical,relationship_type,relationship_embedding,2024-02-06 01:29:00
mostly4e-c5d6-4f4c-ad11-c8dfb25aef41,", ",person,: ,contexts,concept,historical_rm,Igbo,strong,historical,place,object_,2025-02-28 16:40:00
mostlyf0-289e-4f3c-9ee1-fe813d9e5bfe,"subject, ",place,", ",:,concept,context.6 andc ,Hausa,strong,historical,predicate,subject_type,2025-04-25 01:30:00
mostly1b-adbf-4a09-8336-01217215a2b0,: ,person,"2024-07 .6,-0.2801,0.4705503,-0.0336,2,-1.813182:0.6,--0.0.50518,--0.136,-00.290.61,0.3817,1.581,0.46","}0.87,-0.1857,1-0.0976,,-0..8,-0.7,--0.768,0.0736036,-0.62,0.0156,.571.9,--1.77,40.38,1.158,-0-161.02,0.3-12,-0.69-0.18.057, ",concept,2025,Igbo,strong,historical,subject,subject,2025-01-24 04:24:00
mostlycf-ba25-42dd-94fb-60087e20ddcb,context,object,", ",Aorm,concept,G,Amharic,moderate,historical,,object_,2024-09-19 02:46:00
mostly4f-a0a8-422d-bedc-e06d6d3ed4be,object,place,Gd sics,temporal_language,place,", ",Yoruba,moderate,historical,", ",}__embedding,2025-02-27 03:34:00
mostly12-4358-4240-9b69-84217e1ccf7f,", ",person,historical,", ",cultural_element,object_at,Amharic,strong,timeless,place,,2025-08-25 10:29:00
mostly22-5c28-4460-ac95-9d40cdee4a18,temporal_aspect,place,} {,neuralgtype,event,historical,Hausa,moderate,historical,"2025-T106-0.4776,000.3849,--0.483,-0.729,0.17,-20.23067,0.3,-0.252257,0.,-1.28283,-1.130722,0.7131074,0.1355, ",neural_element,2025-09-29 17:32:00
mostly25-4ae3-46b7-9400-4a84bd5d8a28,: ,place,primary_type,-1.178subject::00,place,", ",Swahili,moderate,historical,P,2025graph,2024-11-14 09:04:00
mostlyab-a792-485b-94dd-7982f5f7670c,S,place,relationship_aspect,,concept,", ",Igbo,moderate,current,object,neural_strength,2025-09-29 17:32:00
mostlyd9-9c53-47f7-88c1-af727a581382,temporal_language,object,_type,symbolic_at,cultural_element,neural_,Igbo,strong,historical,predicate,}y,2025-08-02 16:06:00
mostlyad-8d64-4aa4-ab08-43736ff699af,subject_,place,object,Ser ,cultural_element,2025at andv ,Hausa,strong,timeless,Igbonm,cultural,2024-06-03 06:42:00
mostlyd5-0c1b-4ed9-b7fb-9c2ef1a845e9,concept,person,", ",primary_type,concept,", ",Igbo,weak,timeless,"Msbriyou,s",M,2025-09-21 09:07:00
mostly26-578f-4d21-a8ad-ef405e16ec65,: {,place,recorded1 ,historical,place,_type,Swahili,strong,current,neural,", ",2025-03-18 17:49:00
mostly76-a2e1-4247-9b2f-9c2e6a6b03aa,object,person,T_graph,object_type,organization,strong,Yoruba,strong,historical,Yoruba,context,2024-04-08 09:15:00
mostly53-aae0-49a5-b479-6f2c3fcc0e32,place,place,primary_aspect,S_graph,place,influen,Hausa,strong,current,subject_type,moderate,2025-06-24 20:14:00
mostly71-262e-492e-a5b6-83e487b5be89,recorded_at,organization,primary_strength,temporal ed,object,subject_at,Igbo,moderate,current,Yoruba,I_embedding,2024-11-14 20:34:00
mostly53-0285-4d4a-a67f-803989482b30, ,object,concept,place,concept,subject,Amharic,moderate,historical,"concept, ",knowledge_strength,2024-06-28 22:28:00
mostlyd4-bd89-4802-8fc4-cd255c9bf4f3,A:,event,2025,Yoruba,cultural_element,S,Amharic,moderate,historical,", ",subject,2025-09-29 17:32:00
mostlyb7-ddd5-4640-9d26-a41465dce0ed,} {,place,predicate,"-09-1.46048,--0.76..473,-",concept,"symbolic-2,19:00",Yoruba,moderate,historical,", ",",_.",2025-02-28 02:36:00
mostly22-b132-4db3-bf36-0589a2da0685,I_strength,place,{,C,place,P_cgraph,Swahili,moderate,current,object, ,2025-07-06 15:59:00
mostlyea-ff47-4c51-852b-606f526a9fea,", ",person,recorded_aspect,",m",concept,: ,Hausa,strong,historical,moderate,: ,2025-09-29 17:32:00
mostlyf9-38f1-422b-a114-54e9aaf5d0d9,temporal_at,place,:,,place,", {",Yoruba,moderate,historical,moderate,", ",2024-05-25 15:02:00
mostly8a-9c44-4fd3-895a-b300ae0d9653,object,place,", ",,place,: ,Hausa,moderate,historical,Ean,: ,2024-12-22 10:32:00
mostly8f-08e9-4448-8e64-1ca0a75f63bf,: ,cultural_element,personn,context,concept,"N-_-797,:.36,-0-0.16,-0..4309,0,1.844304,2,-0.139,-0:000.19,-007002,1.5773800,1-.01174,-1.422,-::491.94, ",Swahili,strong,current,subject_,2024es Africaoru arl,2025-05-17 17:22:00
mostlyfe-3b1e-4ec0-a9fd-52b75ee8f7c7,: ,place,", ",Zulu,place,subject,Swahili,strong,historical,object ,knowledge,2025-09-29 17:32:00
mostlyf4-c70f-4311-a0c1-24447b8ebecf,object,place,knowledge_representation,historical,cultural_element,relationship_embedding,Shona,moderate,historical,placey,moderate,2024-07-11 21:26:00
mostlya3-b8f5-49ef-937b-27791ffe9929,primary_graph,person,timeless0,N_aspect,concept,: ,Swahili,strong,historical,knowledge,temporal_aspect0bm,2025-09-11 04:23:00
mostly27-a1bc-4103-a9d4-f95ee7fd7994,"2024-0 neural1.970,0.184343, ",cultural_element,knowledge_at,predicate ,event,N,Yoruba,strong,historical,knowledge_language,contextu,2025-09-04 11:24:00
mostlyab-602a-426f-b94f-52eaeaa0005a,temporal_aspect,concept,historical0,concept,cultural_element, ,Swahili,moderate,historical,concept,", ",2025-09-29 17:32:00
mostly4b-47c5-43a5-ade2-1e41c9716195,"strong0.71,.36,0-0.0432,0.04,0.1947,0.3,0.57,",place,influen,knowledge_representation,concept,", ",Igbo,moderate,historical,strong,E ,2024-08-18 13:30:00
mostly81-b105-4af5-92d7-edad371f486d,predicate,place,{,historical,place,concept,Igbo,strong,historical,: ,predicate,2024-02-04 00:05:00
mostlye7-0d6c-497b-9b3f-27ce03d89217,-_language,cultural_element,historical,historical,concept,}} {,Amharic,strong,historical,E,}ak ,2024-11-08 02:19:00
mostlyda-00ca-4465-bf65-43d8e7dd0168,object,place,strong,G,organization,}subject_at,Swahili,moderate,historical,recorded_at,place,2024-08-05 09:06:00
mostlye7-8625-4a19-a185-6a0cb11b7687,symbolic_aspect,place,predicate,relationship,concept,historical,Hausa,strong,historical,neural,timeless,2024-12-27 22:41:00
mostly4d-34b5-4bc8-9f77-57493758be49,S_at,place,knowledge: ,subject_strength,place,"-2.571725,1.191,0.2843",Igbo,strong,historical,"2025.0.224,-1.46152,.22576,.00_01: ",place,2025-01-05 04:34:00
mostly46-7020-4d63-8fab-9ec15ffccea8,", ",cultural_element,recorded_strength,N_-,concept,subject,Igbo,strong,timeless,Zulu,"2024-0.42,0..64843:00,0.264,-0.2334,-48-00T1",2024-04-08 08:41:00
mostlyca-12b7-4df4-a379-cdf3309a2a64,"-09T1{,0.6207,1.421042,-1.1747:0.5,-0.4712,-04.19,1.178,118{0602,-1.22,0.6:0.443,-0.018,1.3.39,1.084,-0.55,,009.467,1.736.06,0.82,47.1,000.07,-095,-1.,10.466512,0.8,0.096.36}49,8-0.,1.09,-050.8,-00.011517,1,-0..0402:,-0.26,0.4,0004",concept,object_or,place,concept,",2 ",Shona,strong,historical,,", ",2024-03-29 23:36:00
mostly02-e079-4875-a839-2a5056b1f87c,isenlanguageat ,place,timeless,current,place,,Yoruba,moderate,historical,primary_type,place,2025-06-25 16:17:00
mostlyb2-3222-4415-b404-f4f4ac4312c6,recorded_type,concept,"influen-0.1515-007,-0.3716},T6.8,}.56",context,concept,predicates,Yoruba,moderate,timeless,historical,symbolic_language,2024-06-17 12:29:00
mostly77-aeb5-4980-951d-bd01d9a77158,:,object,place,C,concept,predicate,Shona,strong,historical,", ",is,2025-09-29 17:32:00
mostly48-882e-42e6-89f2-65b4f874ceaf,", ",place,",-e.47488,.170.48-0.0170.7,0.71,0.151888,1.021809, 08,-0.4338",organization,concept,Gv,Yoruba,strong,historical,} ,historical,2024-04-06 05:19:00
mostly51-411b-4c5b-b4ce-2e7b980e006e,predicate,place,"contextats, ",influen ,concept,historical,Shona,moderate,historical,E,subject,2024-11-07 19:53:00
mostly0a-0184-4f75-bd05-563fd66a653b,strong,event,strong,primary,organization,context,Amharic,strong,historical,"2025-07-1.56250,-0.546,-0.552549, 5.,07151",concept0.57,2024-03-11 18:22:00
mostlyd1-7eb3-4889-b1c3-37ff39071ff0,",-0.1609,-,216.368,-0.423,.-0.807,0.57,-1.041.4,-08,-1.108,1.38020,-1.12570:1",person,Cbc cdaeicrarraccu,symbolic_representation ,concept,recorded,Swahili,strong,historical,primary,temporal_strength,2025-07-29 08:37:00
mostlyb2-43da-48fe-b349-4079ff33ea16,2024,person,subject,context,concept,knowledge: ,Amharic,strong,historical,context," _,",2025-04-16 22:36:00
mostly0c-8d17-4fbd-8d7c-44713890e849,relationshipth ,concept,{,",",concept,subject,Shona,moderate,historical,subject_strength,symbolic_elementdrao cicor ofp,2025-08-14 12:46:00
mostlyda-6acc-411f-837d-1c241de0db82,person,organization,Swahili,:00c ,concept,historicalm ofanbs {,Yoruba,strong,historical,: ,place,2024-01-10 01:00:00
mostlybb-2e4a-40fc-8000-a173fa7b894a,:00a,organization,context,: ,concept,K_embedding.edlanguage,Zulu,strong,historical,recorded_type,,2025-08-08 15:49:00
mostly91-ebfb-438c-a7f7-814fa7db3049,", ",person,C,subject,cultural_element,", ",Yoruba,strong,current,,recorded,2024-05-28 15:35:00
mostlyef-d7aa-41f0-a3d0-93c6a9e80491,,place,relationship_type,"cultural, ",cultural_element,", ",Shona,weak,historical,object_representation,,2024-06-30 04:06:00
mostly22-b92e-4986-8c36-076e92c9d1c1,: ,place,: ,2025s ,organization,neural_embedding,Swahili,strong,historical,concept,place_embedding,2024-05-03 09:13:00
mostlyb4-3a08-4e33-a3ba-98ae0b65a516, ,place,moderate,objecta,place,} ,Hausa,strong,historical,_language,concept,2024-02-09 16:32:00
mostlyeb-518f-40c7-9204-ad6300c01704,", ",concept,", {",recordedTmpu ,concept,strongs,Swahili,strong,historical,: _representation,,2024-11-03 21:19:00
mostly4b-6816-4d3c-aaf8-8fd71ab2f250,: ,place,2024,organization,organization,neural}s koneatu_type,Yoruba,moderate,historical,,: ,2024-05-25 12:24:00
mostly2f-5663-4632-8809-87183247d552,2025aling ,concept,Sp,P,event,temporal,Amharic,strong,historical,: ,neural_embedding,2025-08-26 19:09:00
mostly1d-37a9-4c3b-8d4d-dd3f965677c8,G,place,temporal_: ,: ,place,Igbo_embedding,Swahili,strong,historical,knowledgei_aspect,}00,2024-03-04 06:27:00
mostlyb7-55a2-4239-80a1-05c16fd25e6b,"2024-0.1612..03,1.,0.5046,00.037,-1",person,concept,concept,event,objectrelationship_language,Igbo,moderate,historical,neural_,N ,2024-03-01 08:56:00
mostly94-03be-4b4a-9042-7fb7ba17c4a4,: ,concept,concept,timeless ,organization,,Yoruba,strong,historical,subjectan_graph ,: ,2025-05-16 15:00:00
mostlyeb-bcc0-487f-8198-1160290db3d9,object,concept,: ,,concept,predicate,Yoruba,moderate,historical,symbolic: ,"T_graph-0-0,--T-09165,-0.269,1.218,-0.223604236,-T0.07,0.0.18-,-1.7,-0.,0.4304,-0.80.076,2-0.5617,0.75,-0.385,-0.87646,0.854,0.8908,0.2584,021.035,1.6,60.23.01T38,-0.1",2025-09-29 17:32:00
mostly3b-9d54-4379-a32c-d145cb9dfb9a,"2025--130.512203,0.077,-1.85,-89.09,0.4247,0.3T46,-0.2316:T00, ",person,concept,moderate ,organization,relationship_embedding,Zulu,weak,historical,: {subject,objectsa,2024-12-01 23:57:00
mostly27-bca0-42d8-992d-faba89f1aa3b,}} ,organization,Sothoedpicv,:,organization,Swahili,Amharic,moderate, timeless,subject,", {",2024-05-28 06:08:00
