id,ethical_domain,primary_language,scenario_type,description,stakeholders,ethical_tension,cultural_framework,resolution,principle_demonstrated,location,symbolic_logic,wisdom_teaching,neural_embedding,recorded_at
mostlyfd-c34d-4a78-b9cc-1a735bb31c86,ubuntu,Shona,community_decision,"Ilinys mdi kuios,i ne and,.anaọwa a",: ,justice_logic,: ,wisdom_teaching,", ",} ,A,"--0.26173,-,0.3,-",scenario_logic,2025-09-25 10:59:00
mostlyd0-b0dc-495a-bad0-1ca7e184aa21,justice,Swahili,conflict_resolution,community a and v na:m,} ,W,2025__type,: ,cultural_teaching,resolution,{_:f,justice-TT na: ,,2024-07-26 16:56:00
mostly00-0053-4333-a286-8bc987361e1e,empathy,Hausa,modern_ethics,respect_at,neural__embedding,Nstakeholders kg,:,-0.,recorded_logic,S_domain,Ie nae,"empathy---0tension.1762,6104,0.74,-0.,",2024_,2025-06-17 19:33:00
mostlybe-008e-4ee3-840e-5ab1943cbf40,ubuntu,Yoruba,intergenerational,", a",", ",I,", ",", {",symbolic_:,neural nainl min kh,principle__framework,description}_logic,", ",2024-03-22 13:36:00
mostly3b-1f3c-4451-8ad0-79b12bf06dbc,respect,Yoruba,community_decision,: {,Ku_: ,description,primary_framework,U_language,"location-1.406}, ","H.9 na, e,1.19412.6,-.9",: {,: ,ethical_teaching,2024-09-21 00:06:00
mostly38-d676-4349-807f-12d0c6046f4b,fairness,Swahili,community_decision,description,Ndị ,", ",} ,wisdom__decision,", ",description,scenario_demonstratedframework,resolution ,: ,2024-08-24 10:43:00
mostly31-23aa-4fbf-84e3-0aac3c162378,empathy,Swahili,intergenerational,O {{,"primary,-0.194,-28-0.15,-0.6,,-.7-071706,1.55,0.2714.15,",: {,cultural_,"wisdomin_type1.:00, ",cultural_demonstrated,primary_at,: ,wisdom,: ,2025-03-24 08:49:00
mostly37-47b2-41b5-a91e-cc931652a1f2,fairness,Shona,moral_dilemma,: ,: ,scenarioi,wisdom00,: ,locationtype,modern_ a,"resolutionu-0.1,0,03-0.483,0.329,0.6417, ",: ,description,2024-07-26 17:40:00
mostlybc-9c59-447c-aea7-4e0ffa9294e5,empathy,Swahili,intergenerational,G_type,: {,", {",C,resolution,primary_demonstratedembedding,: ,ethical_domain,}: ,"2024-0615.599,0.357,0.11.09,006.172",2024-08-02 00:24:00
mostly46-c325-4078-823d-212eae6a8b0a,empathy,Oromo,moral_dilemma,}}  ,recorded_type,resolution,,cultural_framework,"2025-T.356,-0.06-,0.9,-.35.908,-0.",ethical_language,Shona:1,} ,modern_language,2025-04-26 14:14:00
mostly9a-cd75-441c-a621-43111429766c,empathy,Hausa,traditional_justice,,M_: ,: ,neuraltype,U_at,cultural_o,"-1..601,-0.70.19,0.9,,-0.5:1.47T15}o23,_language",symbolick_at,", ",S ,2024-02-17 03:32:00
mostlyd0-33bf-4771-b95f-5fd2b6585272,community,Swahili,intergenerational,ethical_teaching na,W ,",",primary_tension,"intergenerationald., ",wisdom_demonstrated,description,ethics,neural_at,"T0..09,28,0.7,0...2,0.4,0..72622 63625",2024-01-08 17:23:00
mostlyd7-5640-470a-93a9-5340c83b64d5,integrity,Oromo,intergenerational,stakeholders_at,: ,Ku wa ya,", ",ethics ,ethics,,cultural_,ethical_tension,} ,2024-01-25 00:08:00
mostly9f-97c1-47e6-8774-3d66e98aa725,community,Amharic,modern_ethics,resolution,M,ubuntu,justice,2025m_ ,: ,intergenerational_embedding,W,neural_frameworkembedding,ubuntua,2024-04-30 01:25:00
mostlya5-4409-4efc-a57f-bab5aab948d0,responsibility,Swahili,intergenerational,:b,scenario_teaching-,ethical yac,symbolic_embedding,neural,: ,respectdomain,scenario_ethics,wisdom_teaching,primary,2025-09-25 10:59:00
mostly6e-5933-4091-8c6f-0b4c428aa388,justice,Oromo,conflict_resolution,Cm,scenariosymbolic yaan,wisdom_at,: ,neural_,symbolic_at,stakeholders,: ,wisdom_at,resolution ,2025-07-06 14:38:00
mostly9b-139e-4400-8fbd-aef6d4e3dcf0,empathy,Shona,intergenerational,community_framework,empathy,symbolic_language,symbolic_logic,scenario_at,"-008.258267,-0.3,1.34151.1518-0.06,,000,0.23.86,-10,0.5943,0.17,0.5,0.41243,-208-0.",traditional a,K1.,"wisdomT,,0.,1.9-274,-0.,0.5128,0,0.48,094",integrity{,2024-02-06 04:23:00
mostly88-f706-4dcd-9971-91a9266ebc70,responsibility,Amharic,moral_dilemma,}}1 {,justice_logic,A,: ,"I00,- na,-0.13055, n-",N,2024-.0712}:00,stakeholders,", ",ethical_demonstrated,2025-07-03 06:50:00
mostly62-92bf-45f8-a727-fad7a53b45e0,respect,Yoruba,moral_dilemma,primary,location-i,K-01_.,,resolution,: ,ethical: ,cultural_,} {,primary_domain,2025-06-21 07:26:00
mostly66-0136-4970-869b-e74c28b7f2f6,ubuntu,Swahili,traditional_justice,recorded,symbolic,ubuntu,: b,K_ ,locationethics1. na,_demonstratedtype,"principle, ",: ,: ,2024-01-08 17:23:00
mostlyf3-c2f6-442c-af82-ef2e8565b732,empathy,Igbo,intergenerational,,A_teaching,scenario_type,"Kik, ","Hc, ku",", ",_logic,primary-03: ,: ,}_domain,2025-05-10 17:08:00
mostlybe-e757-4586-ac79-f79fb5da1c56,integrity,Igbo,modern_ethics,integrity,,A_at,: ,,"_,09",principle,:u m,"H.i ya k, ",_demonstrated,2024-02-15 06:32:00
mostly2f-3234-45dc-b21f-11994d2dfb23,respect,Swahili,traditional_justice,empathy.,:,neural_: ,: ,U,"2024-0.543,07",Shona,,", ",stakeholders,2025-08-12 00:12:00
mostly6a-7589-42d1-bc69-b69421931c8c,responsibility,Zulu,intergenerational,,primary_domain,intergenerational_domain,cultural_at,W-0.,: ,neural_framework,symbolic_00,recorded_teaching,"scenarioou,.5",2024-04-03 14:06:00
mostly69-912f-43de-9b84-1b6c309e951a,ubuntu,Oromo,community_decision,}T: ,: ,} ,recorded ,scenario_,"_,-1.521.4-90.1414,-.9025,1.602, ","intergenerational, ak",ubuntu_frameworkark: ,neural,resolution,2024-02-22 00:50:00
mostly8d-0a72-43ec-b8f0-ab1f5a053e7e,community,Oromo,moral_dilemma,principle_dilemma,,", ","-2025-03,-0.1447217,0.9",", ",", ",K{,location,primary_language,- ,2025-01-08 10:26:00
mostlyd1-8729-4d6d-acb4-4a501c678135,empathy,Igbo,intergenerational,:e ,cultural_demonstrated,ethics,", ",ethical__domain,: ,"2024-05,1.619,_506 106,-0.T28,0.08,0.98_,-0.316,0.1292,, ",: ,ethics,wisdom_at,2025-05-18 19:50:00
mostly19-385e-43af-b506-e98b0db660e1,community,Swahili,intergenerational,: ,ethical__embedding,S,_embeddingT,: ,_at,resolution,"-, ","2024-1.9.380.08109T,09,0.84",symbolic_teaching,2024-11-26 01:29:00
mostly78-6ac0-435f-a459-b301017c8a07,ubuntu,Amharic,traditional_justice,Gop,E_demonstrated,K ,"principlee,-0.612,-080.2703,-0.,014748.9,1.07,--0.186420.,270.91.,0.82",neural__type: ,2025,location:.,ethics,ethical_logic,ethical_logic,2024-09-01 05:24:00
mostlya5-d5e9-4696-8421-65abbdafe6b0,integrity,Zulu,modern_ethics,description,wisdom_demonstrated,stakeholders: ,H,{,", ",resolution,ethical_tension,"scenario, ",} ,2025-01-01 10:46:00
mostlyff-fd45-4bfb-80cb-d00107c05ccb,justice,Yoruba,traditional_justice,ethics,symbolic_,primary_justice,,principle_at,scenario,,,neural_,"ethicalo, ",2024-08-28 21:34:00
mostly8f-431b-42d4-9aad-aad72843ca0f,justice,Amharic,traditional_justice,primary_tension,: ,symbolic,primary_atein,community_type,", ",2025-113 ,: ,: ,007,2024-06-20 17:18:00
mostly3f-3b28-468e-8ba6-aa0b4bbc5a70,integrity,Oromo,modern_ethics,", ",ethics,primary_,",0.62,.3,-0.449,0.26,-1.9,-0.173,90}0090.07,11041800,0.719",resolution,wisdom_type,culturalethics,"-0.3.,204.,0.809,-0.3,1., at",location,"community-050.202.6,-0.1.4T7, ",2025-05-26 10:16:00
mostly33-9103-49f6-ab3c-59378209166c,community,Zulu,community_decision,ubuntu{,C,"Matytinu na nau v naaaa, s u o kanatwa mu","}}-.00.17, ",neural: ,-0.,ethical_in,symbolic_framework,", ",ethicalT na_ and00,2024-04-09 03:16:00
mostly17-cc54-4e90-9674-09c63bb0177a,community,Igbo,intergenerational,ethical_tension,scenario,2024_framework,: {,", ",wisdom_language,scenario_framework,", ",justiceat,", ",2024-04-01 08:35:00
mostly7f-2836-478e-aaf9-639cd50687d5,ubuntu,Zulu,moral_dilemma,"ethical__,_language{",wisdom ,Tg ,description} ya,Kcultural_,: ,primary_,stakeholders ,,resolution,2024-05-03 03:08:00
mostly3f-f689-4e56-9a82-0446cc722c00,empathy,Yoruba,conflict_resolution,wisdom_at,primary_teaching-_logic,M_type,location,"2024-0.5436,-0.072,34304,0.11.0520.29,,-0.181.45,0.7,70.T16-,004,-.1828,-0.7:-044431.90",ethical_teaching,principle,ethical_embedding,symbolic,cultural_ethics,2025-02-03 10:49:00
mostly0e-2f2e-49a6-b5d5-50ad70de3991,fairness,Hausa,traditional_justice,ethical_at,wisdom_at,", ",-T17: ,principle_ ,neural_domain,K,2024,: ,} ,2025-04-28 16:36:00
mostlyac-b5d9-4987-b5ce-a30b0f137bbc,community,Shona,community_decision,neural_framework,primary,,: ,,ethical,primary_-103,"2025-TT,-10 m17,-205,-0..43,00-1812,-2.05215,-0.-1.56, ",: ,neural_language,2025-06-24 00:20:00
mostly54-0f8f-43f6-9463-d252eae243a8,fairness,Swahili,community_decision,"Eost, ",ethical_demonstrated,recorded_,: ,modern ,K_inlim,principle_framework,recorded_demonstrated,description {,ethical_-,2024-02-23 04:00:00
mostlyf6-8c24-4b87-b7c7-81575aa8ccdd,community,Yoruba,moral_dilemma,}: {,{,: ,_teaching,}_frameworktype,neural_2,_at,K- ,_demonstrated,", ",2024-11-20 04:38:00
mostly32-da5d-477a-878e-b3ddf21780e1,justice,Yoruba,traditional_justice,",}",U,{_at,wisdom_language,}neural{,stakeholders,"wisdom_embedding,-",resolution,principle_teaching,,2025-02-28 02:43:00
mostly64-1294-49ef-8420-6abebbfeb06a,integrity,Zulu,modern_ethics,: ,"2024-0.7250.,0.727,1,-1.026-030,0.121,-02.1,-1.03,0.249.020.089,0.",neural_type,"cultural,2d",M,description,primaryethical,K,ethics,neural_embedding,2024-05-08 20:43:00
mostly32-a896-4a16-8ea3-39f7a02e79fd,respect,Amharic,community_decision,symbolic_demonstrated,ethics,symbolic_type,2024wisdom,Ki_framework,symbolic_embedding,ethical_2,"Abarwaen, awọn,inb","-0.19,0.3, ",_teaching,2024-08-19 03:48:00
mostly6d-9906-4966-8bcc-fd8abe1413b0,justice,Shona,traditional_justice, {,"0.155,0.06,4,10..030.191902.,  ya.147,",,: ,,ethicalm,symbolic_,"principle_, ",:demonstrated,ethics,2024-07-03 10:48:00
mostly39-c7e8-48ef-b539-b7e390c88b3b,respect,Oromo,intergenerational,respectan,"description and and ei nateni.amdọsan- wag e n, muarziwa i",wisdom_embedding,symbolic__logic,"justicesymbolicanaon-,0.04024,-0.28-1.3,1 ",Ndị,}00a ,wisdom_domain,"neural0.,03-0.1.35, na","-type--0..8,,1.T08 ",2024-11-01 13:38:00
mostly42-2d72-4714-b177-1debecb5c473,respect,Amharic,traditional_justice,neural ,_,description,ethics,Ndị_:,principlelogic,M,cultural_domain,", Nigeria",ethical_framework,2024-08-05 04:01:00
mostlyb5-a2cb-40aa-8e9f-9f9dd28b9226,ubuntu,Shona,conflict_resolution,description,", ",2024--.1T719: ,- ,respect_,ethical ,"-T0009-3,} ",description_teaching,modern_u,ethical_language,2024-08-05 18:32:00
mostlyf0-a44b-4a16-8ffa-89b78a754e7c,justice,Igbo,modern_ethics,W_demonstrated,A,: {,", ",}} ,neural_embedding,: ,", ",", ",cultural:}_ ,2025-01-01 06:18:00
mostly9a-8e3b-41e3-a984-da76dc5b5714,justice,Igbo,traditional_justice,_teaching,principle_type,empathy_0,: ,: ,ethical_domain,description,:: {alethics,W_,2025,2025-05-20 15:40:00
mostlya2-a519-4b88-aba2-ad80f1ff1a0b,justice,Amharic,modern_ethics,resolution,":-0.8T,-1.68,204,2",K,principle_logic,", ",: ,neural_logic,}: ,: culturalframeworkdlpclation,: ,2024-06-18 10:12:00
mostly00-a3a4-46b2-a935-79e524de4d87,respect,Shona,modern_ethics,"2024,-0.",: ,wisdom_domain{,,neural_logic,: ,ethical_tension,__framework,,ethics,2024-06-23 18:40:00
mostly3c-4fea-4290-aa89-5fb64fe8f841,ubuntu,Amharic,traditional_justice,location,cultural_,H,"2025-T19,002",M,,,empathy,ethics na m.,"principle., o",2024-08-20 15:22:00
mostly68-3d92-4b68-9796-20f92274a4f0,respect,Amharic,modern_ethics,wisdom ,symbolic_type,: ,primary_at,", ",}} ,"-1-6TT0811.03,-, ",2024-09,"culturalbd waan, ",Ku,2024-01-16 10:27:00
mostlye1-795a-4504-b6c2-4949f3f595d0,empathy,Amharic,community_decision,ethical_domain,primary_at,", ",recorded,_demonstrated,: {,symbolic,",--0.126,T8",principle-ethical_,{,2024-10-03 12:52:00
mostly27-7b31-4456-aaca-cbf484d27ee7,empathy,Shona,modern_ethics,"Kanr,1.408156}, ",principlelanguage,wisdom_at,description,", ",", ",cultural_teaching,M_logic,{,location,2024-11-04 16:39:00
mostlyf1-4484-4d3e-90e2-2032b02e35b4,justice,Yoruba,traditional_justice,cultural_at,", ", ,justice,recorded_demonstrated,W,",_ ",primary__embedding,_domain,communityat,2025-07-17 04:33:00
mostly50-a594-4abf-b60b-15e5ce9c9623,community,Hausa,intergenerational, at,},H,,}} ,primary__teaching,H_demonstrated,{,: ,K,2025-09-10 09:35:00
mostlya9-c18a-4c8a-9252-b323b3f72a14,community,Shona,modern_ethics,ethical_at,ethical_language,cultural_framework,respect{,_teaching,:-.,stakeholders ,justice,scenario_type,--,2025-08-29 22:16:00
mostly2f-c20a-4df9-928e-cde9149b331c,integrity,Yoruba,conflict_resolution,symbolic_tension,I,: ,", ",Oromo ,2024wa, ,wisdom,primary_languagetension,cultural,2024-02-21 23:52:00
mostly3b-b67f-4e16-a85f-6783b2c02d80,responsibility,Shona,community_decision,: ,}  ,{,recorded_teaching ,}} {,U ,symbolic_language,,ethical_language,W,2025-06-16 11:32:00
mostlya2-187f-46a6-a4dd-9d57fafafcee,empathy,Amharic,conflict_resolution,"traditionalkl_, ",I man,primary,_type,", ",: ,ethical,stakeholdersT1_teachings,primary_at,: ,2024-04-15 14:05:00
mostly22-9b6f-499c-9fe9-c9fe64990279,justice,Swahili,traditional_justice,symbolic_framework,ethical_teaching,-type,wisdom_,}_language,2024,"neural_,0.26,-0-",: ,description,cultural_,2025-09-25 10:59:00
mostlyc2-7b71-468f-a737-d53d7a220919,respect,Igbo,intergenerational,ethical ,A,: ,", ",ethical_type,: ,"recorded_teaching-.2203,-0.,0.050830.1902, ",: ,}neural,: ,2025-09-25 10:59:00
mostly20-5b36-4088-b4e9-4cd36bd17c48,integrity,Swahili,traditional_justice,} ,primary_framework,"N1.wa6-0.3,,-0.6.15,--.60,-:00T49-1507",,: ,empathy,00,_domain,traditional ku waọhes ms ,Ndị,2024-10-01 17:33:00
mostly69-b111-4ea3-af32-b7544641c62e,community,Oromo,intergenerational,description,"2024-5_0.5,0..97,.05,1.9,2.047-1.184,,10045,-0..5, ",cultural_teachingin,: ,recorded,symbolic_domain,community_T,justice,H ,"traditional, ",2025-07-16 02:26:00
mostly4c-3363-422d-9eb7-0f9cace1855e,justice,Amharic,modern_ethics,,neural_decision ,"S,0.26.28,-0.15024.705,1.09,-1.T227,0.,212340.1,-0.1243,0.635,-0.5T7.4,0.15.474,-0.62.7-,0,0.148.,1.4,-11.8067,0.019-0.15.08013,-0..8,-1.8,,-0.8.199,",resolution,wisdom_teaching,: ,wisdom_domain,resolution,scenario_domain,A,2025-03-19 13:04:00
mostly1e-81dc-4ad5-863c-a5d55463b88b,responsibility,Igbo,community_decision,primary_tensionat,"Addis na,b ",stakeholders,neural_language,symbolic- ,intergenerational and ear ,community,stakeholders,primary_type,principle_domain na,2024-04-02 14:42:00
mostlyb9-6777-452a-863f-b20744eaf6de,community,Yoruba,moral_dilemma,E.17- ,location_,"cultural, {","symbolic_demonstrated0, 0.",H,", {",wisdom_at,: ,traditional_tension,:m ,2024-05-16 04:08:00
mostly1f-5b60-4ed3-b61b-30a9988e7ee0,empathy,Swahili,intergenerational,Ndị_ata,wisdom_teaching,: ,,resolution,A,recorded_language,", ",neural_teaching,ethical_framework,2024-08-23 00:59:00
mostlydb-7ec0-45cd-9680-a183f43673ae,empathy,Swahili,moral_dilemma, ,primary_demonstrated,modern_at,}{,: ,"cultural., ","-0.1822,0.22-075,.1,-0.81.091203",N nal ku_logicọ kor,principle{,resolution ,2025-09-19 06:33:00
mostly35-9672-4d28-b1c4-aa380ec73e7e,ubuntu,Yoruba,community_decision,scenario,", ",stakeholders,ethical_,description,stakeholders,respectat,resolution,2024_tension,description,2024-04-03 10:28:00
mostlyfe-af93-4c9c-b9d5-60899e542387,integrity,Amharic,conflict_resolution,stakeholders,:00,location,"A mkaku,f us and,am ku",,,"justice:, ",", ",ethical_:,", ",2024-06-12 09:21:00
mostlye7-2977-4470-8701-d7585a07c12e,respect,Yoruba,conflict_resolution,symbolic, ,A,scenario,2024{,culturaltension,: ,T na- kuwa-} varananaanurifte sins,cultural_embedding,",_ar",2024-03-30 16:01:00
mostlybe-6e3b-498b-a561-2ee7771653d8,ubuntu,Amharic,traditional_justice,", ",,W_domain,: ,} {,", ",_tension,resolution,cultural_ and,description,2025-08-02 05:52:00
mostly75-0580-4404-a81f-a80ef01951da,integrity,Yoruba,intergenerational,"M ya kua namọvenaak na,1 yalt ",neural ,N:,scenario_at,: ,respect,principle_, ,U__,symbolicframework,2025-02-26 19:23:00
mostly94-6ac6-4b17-85b8-065fa6d5b836,integrity,Igbo,conflict_resolution,}an aana,ethical_at,", ",principle_at,"symbolic0d0.25,-.95,.293615,-0.3.1.28,0..T.1461,,,0.4827,","}m0.16,.17T8.7-19,02T,--25} ",location,ethics,", ",stakeholders,2024-05-30 03:48:00
mostly1a-bfd8-4417-aedf-d065c9105b99,ubuntu,Zulu,traditional_justice,description,"symboliccultural_,",M_embedding,ethical_tension,", ",", ",stakeholders,: ,_demonstrated,: ,2025-09-01 15:34:00
mostlyb8-145f-4824-b2cb-17cc87dd9708,fairness,Swahili,traditional_justice,", ",S ,A_type,ubuntu,location,-0.44,recordedlanguage,culturallanguage,ethics,: ,2024-04-14 00:45:00
mostly04-d319-4569-bae8-074f329bd43d,respect,Zulu,traditional_justice,"K wa, ",wisdom__tension,Kstakeholders,location_tension,location,neural_}-.,", ",neural_logic,location,: ,2025-08-03 10:27:00
mostlya3-b7ea-4c34-aaa9-6c90367c7776,empathy,Shona,moral_dilemma,U ethical,H mjan,location,principle,wisdom_embedding,description,O_demonstrated,ethical_ ya,description,:_type,2024-07-13 07:11:00
mostlyf8-8560-44f0-a6ac-7c53267fff29,justice,Oromo,community_decision,neural_justice,"principledemonstrated, ",Al,principlelanguage,",  ",", ",scenario_type,,2024neural_domain,recorded_Tteaching,2025-06-26 06:08:00
mostlyd2-4fb4-4177-98ef-0a31883d2571,respect,Igbo,intergenerational,description},ethical_language,: ,"Kubtalans,-",ethical_,-,-,ethical_framework,"0.06,",location,2025-07-27 23:17:00
mostly52-0342-43ee-bb3d-545eae0055d6,integrity,Oromo,intergenerational,: ,ethical_domain,,S_d,wisdom_teachingtension,: ,,location,neural_,recorded_framework,2024-07-14 01:24:00
mostly22-12a6-44c8-a9ce-a685281167dc,empathy,Yoruba,moral_dilemma,"modern_-0.3, ",", ",recorded_at,"N,-0.09,",:_00,location,stakeholders,,stakeholders,"Ndị, ",2025-08-31 00:49:00
mostlyc2-03e0-4c12-9bfd-86ad2a71f0cc,community,Oromo,community_decision,symbolic_embedding,modern,primary_,"M,e","Kana,1-07,3",,: ,symbolic_: ,: and.,empathy,2025-08-02 15:11:00
mostly10-c4a7-4c81-9f3c-b4b833375a49,ubuntu,Hausa,community_decision,"ethics, ",ethical_domain,wisdom_teaching,----0208T}-11}: ,", ",empathy,cultural_demonstrated, ,"-ethical.:39,0,-1.9",scenario_,2024-03-15 10:47:00
mostly10-0a07-409e-a910-282d91e00345,empathy,Igbo,modern_ethics,,primary ,"Oinji, egleowo madj yadọ,o- ui,1way mars nak na na h",E_teaching,: ,2025_,cultural,neural_domain,"ethical_, m",} ,2025-02-18 00:05:00
mostly62-db28-4385-8674-c6babd425bf6,empathy,Oromo,community_decision,O_demonstrated,N,empathy.,wisdom_at,traditional,: ,integrity,"OmT e malun, andaaaaa a, i cs, o",location,K,2025-03-08 08:46:00
mostly66-2881-449f-a599-2abbbc90e81b,fairness,Swahili,moral_dilemma,scenario: and,Ndị,,N,{T,principle_logic,justice,principle ,: and,: ,2024-08-29 00:17:00
mostlyaf-fc27-4d99-b5bb-a2dc4d1fe553,empathy,Hausa,conflict_resolution, ,: ,: ,primary_teaching,U: ,"-.0476472,-0.92,09001,-0.7,-0.31.33-1",C_embedding,description_logic,scenario_language,recorded,2024-07-28 05:36:00
mostly74-d7cf-4ea0-a297-27039792844c,respect,Oromo,traditional_justice,ethical_ ,"O_, ",H_logic,,: ,Om.,description,ethical,scenario_,: ,2025-06-08 16:41:00
mostlyf6-25b6-44f5-9e20-56f2a90ecfa1,justice,Yoruba,moral_dilemma,}__ ,principle_teaching,scenario,principle_tension,: ,: ,scenario,2024TTa,description,", ",2025-04-11 23:22:00
mostlya8-4624-4128-9797-a45ee4049dee,ubuntu,Yoruba,intergenerational,symbolic_,2025- ,", ",2024ar,cultural_framework,", ",scenario_at,scenario,,ethical_teaching ,2024-05-08 10:54:00
mostly32-243b-435e-82a5-b6d6a8ebd62f,fairness,Zulu,conflict_resolution,-,K,: ,: {,", ",: ,location,wisdom_tension,resolution,,2024-04-26 11:50:00
mostly10-9659-4e4a-ba23-3403edd591f9,respect,Igbo,modern_ethics,_at,"N, ",K,:00,symbolic,"recorded-02,.T580.,-0380.,-152,0.8227-09,0.80.28,0..3602_3",cultural_at,"-stakeholders:b.8,-0.10306,0,T.17,0.3,43",2024_type,principle_framework,2025-09-25 10:59:00
mostlyc7-8fc4-4a64-859b-40445d3809b1,community,Igbo,traditional_justice,: ,location_f,integrity,ethics_},"resolutiona,, ya",- ,ethical_at,primary_domain,description,"principle_logicT:1.,0.6,-059.9,",2025-03-03 14:46:00
mostlya3-b926-4a2e-bff7-d5b77785d144,integrity,Igbo,intergenerational,scenario_ tension,Kuwawa,"}_,",: ,: ,primary_-,community_type,", ",principlecultural: ,N_frameworkaratgini bgf,2025-03-23 15:50:00
mostly7f-896b-46a3-aa66-330ce0b73d40,ubuntu,Shona,intergenerational,} ,"Ku, ",culturalcultural_tension,modern_language,W,U,description,"I:}.3, ",ethicsatoinfar,: ,2024-02-25 12:41:00
mostly07-8353-4d17-8897-24fc62ccac79,integrity,Amharic,conflict_resolution,: ,"-0.3-611.80.2215,0.807,1.40319, ",scenario_,resolution,", ",cultural_{,"wisdom, ",:00,resolution: ,"ethics-.25702,-0.4,1.96,.-08,0.12,-0.2,-1.0808, ",2025-02-16 11:52:00
mostly92-857c-4538-af30-b4b919a4b509,community,Igbo,conflict_resolution,primary_teaching,: ,"Hwa,-",primary_demonstrated,A_:,2024_domain,2024framework,"-0.485702,-0.264,-,-01,12-01 m.2,-1..19,-0",cultural,recorded_domain,2024-03-18 11:18:00
mostlyfa-6e28-41db-ba66-d697256f10ae,empathy,Yoruba,moral_dilemma,ethical_embedding,cultural_framework,symbolic_domain,I,ethical_at,stakeholders,: {,description,justice_,: ,2024-07-16 06:48:00
mostlyd4-9468-4e95-a8b0-d1e9899f9d61,justice,Oromo,intergenerational,-,principle_at,: ,: ,empathy,neural_,A_framework, {cultural_languagelogic,W,", ",2025-06-11 18:16:00
mostly73-5e0d-489a-b886-6e6f21c5211a,community,Igbo,traditional_justice,scenario_tension,}} {,A,primaryo_framework,"primary-0.1789,0.6-.026",primary: ,stakeholders,description-.,"resolution, ",A_,2025-07-13 00:55:00
mostlyc7-444c-4daf-b3e6-9c0ce6781186,integrity,Shona,moral_dilemma,2025-0.4819: {,"2025-1.52-,","2025-0.59}.4, na,.-9826.","-020203TT7-0.9,0.13848,,0.48.171159,1.17,1.9,1.73506, ",ethical_domain,,recorded: ,description,location_at,} ,2024-05-13 12:03:00
mostly44-1bf3-4e3c-b15f-dc4923b63100,community,Oromo,modern_ethics,community_type,stakeholders,"H,0.0853}",,ethical_language,ethics,stakeholders,_teaching,wisdom_demonstrated,: ,2025-08-17 12:16:00
mostly74-e643-46de-94bf-352fa0299096,respect,Igbo,community_decision,", ",cultural_framework,: ,wisdom_tension,integrity_embedding,locationan,ethical_teachings,,", ",N,2024-01-11 12:20:00
mostly1a-aea2-4238-842d-cb024064c990,justice,Amharic,modern_ethics,",0.270.T43, ",U,neural_teaching,principleethical_typei00,S andg,recorded_type,primary_language,traditionalo_demonstrated,primary {,community_type,2024-06-20 03:10:00
mostly62-0f59-4c54-b103-d9206f1e5631,ubuntu,Igbo,traditional_justice,wisdom,"-1.0543113,0.18_-0.05","K, ",U naa e,"stakeholders.3,: ",ethical_embedding,modern00,recorded,,Shona,2024-07-27 04:26:00
mostlye1-062c-41b9-95ac-8622a68ae84e,ubuntu,Swahili,traditional_justice,_tension.,description,cultural_tension,2024,neural_logic,-1 ,neural_demonstrated,H-.4926,", ethical_demonstrated","symbolic_location1in-0.2,2",2024-08-07 10:49:00
mostly1b-d406-406c-a16c-13110c71df10,integrity,Igbo,modern_ethics,stakeholders,resolution,{{: ,",-0.880.468.15,0044306,0.18-900.1443,1",primary_at,symbolic_tension,description,communitye a,,ethical,2025-02-19 23:21:00
mostlyd3-3468-48e6-a498-b6e3afadbd1d,empathy,Yoruba,traditional_justice,}m,", ",":,-0.7891, ndị2",scenario_type,", :",traditional_logic,W00,", ",ethics,ethical_framework,2024-05-01 08:47:00
mostly04-c010-47cc-bec1-b477f1c8290b,empathy,Swahili,conflict_resolution,: ,"ethical_-type0.T919, ",description,N-,"description-0.082,-050.7214,0..170025,-0.71821..12, ",wisdom_at,principle,U: ,:language,description,2025-07-03 11:46:00
mostlye6-93b4-40b9-80a9-04630f6f7c1b,ubuntu,Swahili,community_decision,"2025-1.1602:000.1819,-0122-.2,-0761.59836,003.",S_domain,A,neural_1.,"-.08-02.641,-0.713 0.49816,0-T,0.0297,-02.251.945,-0.T.7,-04,-1..303-8:00,-0.60,0.48.59060060616,-2.13-0.815-0610.9,-0-0.943, ","2024-e--20030.,-0.563,0.59,19476",cultural_teaching,primary_embedding,neural__embedding,ethical_type,2025-04-30 13:34:00
mostly0e-9216-4861-bde6-396c15b92e8b,integrity,Shona,modern_ethics,culturalaapbs ya na mi mum nahm ,description,recorded_logic,neural_embedding,wisdom_,_,A,description,"U0b,o, ",location,2025-06-25 12:29:00
mostly05-38a1-4686-be2a-30704e4b9acf,integrity,Shona,conflict_resolution,ethical_tension,A,neural- ,ethics,", ",-0.1615 ,: ,,", ",", ",2024-04-23 13:36:00
mostlyac-36c3-4fc1-add6-d77e1b86fd86,fairness,Amharic,intergenerational,H,2025 ,: ,E,2024_embedding,principle_domaina,scenario_logic00,resolutionu,symbolic,,2024-11-19 15:37:00
mostly49-5073-4065-9f0e-f92ab68828ee,community,Amharic,traditional_justice,description,symbolic,A_ and,U,2024-: ,,ethical_framework,modern--T.230.,ethics,_logic,2025-05-26 03:47:00
mostly59-e2df-40e8-8844-622acbe8b628,justice,Shona,modern_ethics,ethical_domain,community,cultural_domain,",- ya",,: ,W,,: ,ethics,2025-01-15 02:45:00
