id,age_months,primary_language,experience_type,description,caregiver_interaction,words_or_sounds,emotional_tone,location,symbolic_logic,cultural_significance,neural_embedding,recorded_at
mostly40-8e9c-408b-ad7e-dc854a918255,11,Shona,taste, {,description,A_at,curious,recorded_interaction,If ,TT,If_sounds,2025-09-28 18:06:00
mostly00-0955-41e4-8b5c-7b30e269c382,14,Oromo,motor,: {,:00,caregiver_interaction,comforted,S and d b s tooral,symbolic_language,Caregiver.,emotional_logicinteraction,2025-06-30 22:30:00
mostly89-fdc4-4da5-8685-a720a9b5f825,6,Swahili,tactile,2025 ,emotional_tone,recorded_at,curious,", ikr, {",“_ c,"caregiver, ","tactile:1.46,-1.",2024-12-31 13:13:00
mostly87-e798-4090-a9bf-372da392e528,22,Hausa,smell,caregiver_,"Kameer r,ed in slalingeserane,.",: ,calm,neural_at,: ,If,", “u.",2025-05-14 08:12:00
mostly7e-645a-4035-b5c0-645bf2da2523,20,Yoruba,auditory,"Singkesanc, ", {,Ifor_type,joyful,,caregiverorm”ar0.,caregiver_at,S_type,2024-12-29 06:24:00
mostlyf3-bd75-4fc7-bf39-922fd04241b9,7,Shona,tactile,Caregiver1.,emotional,symbolic_significance,curious,"“If m, thenp td with then b.",“,symbolic__sounds,infancy,2024-10-20 04:14:00
mostly2f-939f-4064-bb25-78b8a1ac03d1,5,Amharic,social,", ",symbolic_type,infancy,curious,", ",Infant.,,"If, ",2024-06-07 06:29:00
mostly5e-4eb5-4105-98c7-de9a6cfb80c4,8,Swahili,social,experience_, {,Caregiver_f ,joyful,",_",", ","Kps, ",tactile,2025-03-02 14:34:00
mostlyc4-6123-4b11-b9fc-7a8701738cd2,22,Shona,motor,auditory,primary_or_embedding,: ,playful,2025p {,} ,primary_or_language,words_logic,2024-11-02 08:59:00
mostly04-0ad4-426a-9871-71ccb36181a2,11,Hausa,tactile,": ,“_sounds",neural_logic,experience_logic,comforted,auditory,cultural_,T_language,experience_at,2024-08-04 23:49:00
mostly8f-9132-4cbc-9e28-a929bb9fbe8d,7,Shona,social,", ",joyful,If ,secure,"emotionalT0.05,-0..75,-1..36090.9",Hausa_tone,description,"Caregiver, ",2024-09-11 12:35:00
mostly86-e282-478d-b326-f2876e2d99eb,2,Hausa,visual,age_,primary_,"Yoruba cp,inguan ",curious,,K,"caregiverap-0.0214,1,-0.5,0.1301, ",", ",2025-07-28 18:00:00
mostly57-0646-4b0c-ae82-7842c29ca336,9,Yoruba,tactile,words_interaction,: {,If_sounds bedk sere._,calm,"“-u f bessa p apued with, thene” ",2025.,,cultural_,2024-07-18 06:29:00
mostly6f-8339-40d9-9d8c-7ca43838004e,18,Swahili,social,age_sounds,location ,playful,secure,P,Hausa,", ",recorded_type,2024-05-08 11:39:00
mostly6c-6ddb-4f86-bb71-2201a94f20be,11,Hausa,motor,location,caregiver_tone,curious,playful,: ,_type,neural_at,", ",2025-09-28 18:06:00
mostlybf-1fcc-4fb9-a6c1-c6409b3c5437,20,Yoruba,smell,"If to isese, ",: ,description,calm,secure,"2024--0.0.38,1",joyful,primary_embedding,2025-08-06 22:27:00
mostlydc-1960-4088-9f7c-d3485883b183,8,Swahili,motor,", ",2024,", ",playful,If,descriptions to tos.18,neural_},locationesm“ m p p.,2025-03-11 23:45:00
mostly66-2346-43fe-afe8-bf4ad48d7ac6,11,Hausa,visual,symbolic_months,T,"caregiver-0.073,-.",secure, ,S: ,recorded_embedding,L_or_sounds ,2024-03-19 00:42:00
mostly99-478c-4e98-b057-c41848fb9069,13,Yoruba,social,infancy,“ ,If“-uaan to ,surprised,", ",,"2024---0., ",", ",2024-01-04 02:41:00
mostly66-be5b-4edb-b706-07409b2d2385,14,Oromo,language,infancy,playful,neural_type,curious,", ",symbolic_,recorded_,", ",2025-04-05 03:06:00
mostlyb8-e3c6-4428-a9db-906d39dadda9,7,Shona,visual,neural ,infancy,"O-0.318,0.29, ",curious,", ",T ,symbolic_embedding, ,2024-05-15 19:56:00
mostly42-afad-43fc-b608-45b6f1d67a4c,7,Shona,visual,: -1,:tone,symbolictone_ed,playful,neural} ,c,neural} ,,2024-09-18 17:05:00
mostly6e-1434-4954-aced-3ecd86da3ff7,5,Oromo,motor,O,"joyful, ",recorded ,joyful,", ",caregiver_language,"emotionalc,es bm.",", {",2024-08-18 14:26:00
mostly56-ca4c-41ae-822c-4fbab6cd3be6,16,Yoruba,smell,}_logic,age_language,caregiver_months,curious,experience,O,:,experience ,2024-01-13 13:49:00
mostly33-c7fb-410a-a876-77bac4e05749,13,Igbo,language,experience_language,description,",-0.9288,0.",playful,", ",: ,: ,If_interaction,2024-11-07 23:59:00
mostly85-ea5e-4301-b949-c08713f1c076,15,Oromo,taste,: ,R and andingeran p.,“a and.,curious,} {,experience ,: ,"Sdh_ h{a:-talk,-1.",2025-08-16 19:56:00
mostly41-821e-470c-b5ea-6f6ffb196d68,0,Oromo,taste,primary_sounds,-0.023-,emotional_},playful,", ",experience“,: {,primary_months: ,2024-05-17 16:02:00
mostly64-b998-41b6-9bfd-8eb711f538e9,14,Oromo,social,: ,: ,caregiverdescription andfp c andedese.,playful,infancy_type,words ,"Cedimanedesded to f and with inshing, ",: ,2025-07-17 15:29:00
mostly9c-6bf1-443b-bf53-b4a37ac22e7c,24,Igbo,motor,Yoruba ,: ,motor,joyful,", ",infancylanguage,symbolic_sounds,S,2025-02-28 23:23:00
mostlyb0-3104-4b1c-acce-d1ca56a49fc7,11,Hausa,language,“,emotional_tone,F_at,secure,Oes toerrhing,PIfe br withi aingaer,", ",“,2024-02-06 19:46:00
mostlyd9-aac5-4fa7-ab58-e7f97632224b,22,Zulu,language,experience ,age__type {,infancy,secure,_interaction,", tone",caregiver_significance,words_interaction,2024-01-11 07:01:00
mostly6f-fb97-467a-896f-91f9249f79a8,9,Yoruba,motor,S ,cultural,If_tone,playful,_sounds,: ,,description,2024-09-20 06:58:00
mostly4c-7106-47e9-8bcf-f3e58b132f98,22,Igbo,tactile,neural_months,"experience, ",} ,curious,neural__language,"2024--1.3,10.5,-0.055,01.12,-000, thenT38,-0.5707,1.8,08-0.14",Early ,descriptionees and f bed toy.,2024-05-07 05:45:00
mostly32-0040-4b61-947d-f75566a82b10,9,Igbo,language,}.T.,", ",“,curious,cultural_months,-,", ",- ,2025-09-18 19:39:00
mostly82-c5ee-4ef3-bdf3-d92ccb6c4a79,22,Zulu,language,secure,Hausa,", ",joyful,primary_months, ,words2025embedding “un,- _,2025-06-18 08:52:00
mostly25-0582-41fd-92fc-ebe0d1dc38b6,0,Hausa,language,2025_or_months,Yoruba,,curious,"“m0.57-0.57,-0.58.219,07.",location,experience_months,", ",2024-07-17 11:26:00
mostly8b-c334-42af-89d4-ada1bafc5aa7,22,Hausa,auditory,auditoryorT_,O,"Ifaaltse,u.",secure,2025 ,recorded_or ,experience_type,c_logic,2024-09-14 01:52:00
mostly76-004c-4c8d-914b-5e5250135609,2,Zulu,auditory,words_or_{,", ",caregiver_sounds,surprised,auditory,infancy,"If.08,232,-0.93822,-0.2813,-0..",},2024-12-12 06:11:00
mostly6a-37a6-4973-bc45-9e59e5298bb7,2,Yoruba,language,", ",, ,curious,cultural_If,"“omom,- language: ",", ",neural_,2025-07-28 13:16:00
mostly76-2f85-49a8-9ee6-1009ec01bd7d,14,Igbo,visual,"T,car.",},R ,secure,E,,caregiver_type,: ,2024-07-26 19:34:00
mostly94-73d4-4382-b929-bc1e29ef0538,6,Yoruba,visual,Swahili,Infant:po b.,“rs.,surprised,description,neural ,", ","age_embedding0, ",2025-04-18 13:05:00
mostlyec-9ef3-40f1-8352-05d60dec9cda,16,Oromo,social,"P,-0.2,00.,1.145,-.06.22,-0.0.",", ","If Iky p, toingbing.",playful,", {",", ",cultural_type,: ,2024-11-01 05:47:00
mostlybd-21f1-4d70-ad78-c556e0df0a2d,15,Amharic,social,", ",symbolic_language,If_interaction ,secure,K ,", ",cultural_months,C_months,2025-03-10 19:04:00
mostly08-c884-4f49-a016-16eeb0769ba6,20,Yoruba,tactile,If{,words_at,caregiverc: {,calm,locationd,infancy,primary_type,cultural_months,2025-07-13 08:59:00
mostly27-e6a2-4150-9466-fd29409f477a,12,Swahili,auditory,words__language,secure,: _,joyful,Ifit drts.,recordedlogic: ,Caregiver_tone,"2025-07,-6,7.062,1.0.570.187,0.52,1.9046,.,-0.04718-.07,0.77,02.3,100,-20.08,1.1,0.292827-2,-.02357179,0.3., ",2025-06-07 23:34:00
mostlye2-18ac-4d5d-804d-eaace9f574cc,14,Oromo,smell,words_{,",_",caregiver_or-:,curious,} ,2025 ,2024”,experience_embedding,2025-04-06 03:17:00
mostly99-8902-4780-9fdc-de82f52c4a04,24,Hausa,taste,", ",Rleeda.,: ,joyful,},2025,recorded_,If,2024-10-28 23:20:00
mostlyef-8940-44b0-be5e-a9df087a1acb,7,Shona,smell,recorded_at,,description,calm,motor_ ,", ",",T",“emotional_”,2024-08-14 02:13:00
mostly83-825a-436b-a5c9-85edb8d1d4ed,11,Hausa,auditory,-414} ,"-.0.17,0.13,-0.488591-,-1..55,1.02,-85947-1.7624,-1.1702.3",playful,playful,O,If,_embedding,}_embedding,2024-03-12 19:40:00
mostly0a-8725-4c75-80d8-9c64e324e4d9,15,Igbo,social,description,recorded,2024m: ,playful,: ,caregiver_type,symbolic_sounds,:,2025-08-17 10:09:00
mostly69-f1d4-4665-ac7b-b199ad5ff965,11,Hausa,auditory,age_soundslanguage,,cultural_experience,calm,age_months,: ,symbolic_interaction_interaction,tactile ,2025-03-21 09:05:00
mostlyda-488b-475d-b805-e774e48c91e1,5,Swahili,tactile,infancy,: ,caregiver,curious,A,“avoe toeeanes.,: ,: ,2025-09-28 18:06:00
mostlydf-ee93-4992-a48c-8983536e5831,1,Shona,tactile,ages_tone,",e ",location,secure,location,: ,primaryprimary_logic,: ,2024-07-17 04:32:00
mostly91-d0b5-42c6-a3b5-3313f6830f44,14,Amharic,motor,E,} ,,playful,infancy,caregiver: ,experience_interaction,infancy,2024-12-12 17:19:00
mostlydf-6939-4703-b4b0-86e50dfe0e99,9,Yoruba,smell,recorded_tone,", ",: ,secure,description,age_tone,symbolic_interaction,: ,2024-12-01 21:39:00
mostlyc7-bdfb-4f8e-b81a-64886a516615,16,Igbo,smell,"“m withalatsking bbs,”0.19,0.12,-028.9596,0..3, ",age,description,curious,"-0.92, then.15-172, ",“_months,“Aed dwes withesal.,cultural_,2024-08-29 00:17:00
mostlyea-65b4-4a2d-8998-6fbcd96f62b7,4,Hausa,language,symbolic_typed,}_significance,: ,playful,"Infant, ",experience_tone,Ou,"neural”0.0596,15.26,-0.707,0.319,007,-1.208-28-0.07,1.0433,-0.05031.4230919 and7,0.615,-0.18.6",2024-01-07 18:45:00
mostly1a-6088-41e3-9739-724ee3d2532e,1,Yoruba,tactile,experience,"tactile, ",experience,comforted,symbolic: ,location,P,age_language,2024-11-30 21:16:00
mostly1e-15c1-4fb0-b90e-70083ca53ab5,2,Hausa,smell,age_interaction,cultural_at,If_months,joyful,Caregiver_type,: ,} ,"2024ageo, ",2024-03-13 08:29:00
mostly3d-d079-4067-ac42-202333df232e,24,Hausa,language,", ",“,", ",joyful,recorded_tone,age__soundsage{,:00, ,2025-03-21 05:39:00
mostlydf-ce16-49d9-8f96-95d3eff9bc90,2,Yoruba,tactile,primary_significance,"experience, ",Infant-css with thenes canl,curious,caregiver_type,: ,",1",Yoruba,2024-10-28 16:14:00
mostly12-ab9e-42f7-9d57-ef05a05fe798,12,Igbo,social,: ,A_significance,Ifesyoesk andfb m f to andedaor. ,curious,caregiver_logic,emotional_tone,Caregiver_embedding,T: {,2024-10-17 23:37:00
mostly8c-3dbf-47d4-b9fe-fb7b4b421a64,18,Swahili,motor,},location,words_language,joyful,T ,", ",Fsignificance,"descriptionk, ",2025-02-04 23:39:00
mostly64-729d-41c1-915e-bab9c46c7345,14,Igbo,language,neurallocation, ,:,joyful,experience_at,: , ,location,2025-06-02 07:05:00
mostly4a-dc27-4311-9969-be5d5a832e12,0,Swahili,auditory,E,"Ifi, ",wordsage ,calm,},2024,“,symbolic}caregivera,2025-09-28 18:06:00
mostly11-694e-4acb-a588-ffccd14215d9,7,Shona,language,: ,"P, ",description {,secure,emotional_tone: months,"If:s, ese and ",:,caregiver_months,2025-05-20 00:05:00
mostlyb6-1ef2-4e08-b929-76e39ae2fde6,16,Shona,social,experience_interaction,", ",age_at,playful,", ",recordedemotionalm_tone,neural,", ",2024-09-12 10:09:00
mostlye0-fe7e-4277-8b3a-648c0339a52d,12,Amharic,auditory,Caregiver_at,age_at,symbolic_months,comforted,: ,age_months,}{_sounds,"}-.16,-0.69,0.723",2024-09-13 23:45:00
mostly76-2d70-4d4e-901b-580128bb6e35,16,Shona,social,recorded_or_,{ing,“- and sfr-0.025,playful,infancy b,symbolic_,: ,"-0.188,52304.07248,0.12,-0.1823",2024-12-19 01:20:00
mostly4a-3b17-41b0-8a49-9a116208084b,7,Shona,taste,: ,experience_,}_at,surprised,description,cultural_tone,: ,experience_type,2024-09-03 20:38:00
mostly3c-7b4b-4f17-b67d-810ecdd934a7,23,Igbo,taste,,secure,experience_months,surprised,",_",auditory_sounds,} s.,emotionalmonthsoro,2024-02-04 01:34:00
mostlycb-25c8-4d3d-a744-c90ddb0c750e,16,Shona,taste,", {",“emotional_sounds:,Caregiver_sounds,joyful,neural_,", ",symbolic_type,age_months,2024-03-14 03:59:00
mostly1d-9426-4043-bcf2-53214888d126,3,Hausa,visual,", ",,emotional_language,curious,infancy,: ,caregiver_,If_tone,2025-09-10 13:13:00
mostlyf8-cb02-4b24-9d8a-c2b0e3b0cc46,11,Hausa,smell,", ",", ",":-02850..58,1.383,022,0.,1.0,-5.38,-80, orsymbolic",calm,recorded ,primary_language,L_-,", ",2024-10-14 20:52:00
mostly9c-faed-4e63-8f93-b7b78d28ecfa,10,Yoruba,motor,age ,", ","O,",playful,"K”sle sd”icing toa,” ",cultural,neural_,2024 .,2024-01-23 02:59:00
mostlyb4-222f-44dd-89fb-1c3c8ff09cea,20,Yoruba,visual,} ,_,: {,curious,caregiver_logic,{,", ",“a,2025-06-15 16:02:00
mostlyfe-94bc-4e5b-b6af-d94ba67539cb,12,Igbo,taste,", ",,: ,curious,":,00",- “emotionalm,location p,N,2025-06-21 08:42:00
mostly45-fe24-4102-879f-08b34280f6bb,20,Yoruba,language,curious,}_interaction,“language,joyful,Otone,S,curious,description,2025-09-28 18:06:00
mostly74-4bff-4bdc-b27c-7dc0708bacdc,14,Amharic,language,infancy,“,", ",secure,description,infancy,"words0.594,8108,-0.03416,-1.02020,-0.816,-0.890,_15_:305,70.36,0..,0.040815 118,-0.0591,-200.7713,--0.0724,-0.2627,-0.02",: ,2025-03-28 17:37:00
mostlyb1-0f55-4eea-a3fd-16af09718734,23,Swahili,social,"Sm0.6,0i.04,0.5.36},-0.615",recorded_months ,age_If,comforted,caregiver_type,symbolic_significance,: ,neural_embedding,2025-04-04 10:08:00
mostly0c-984b-41f3-b9cc-e2248d9d07b9,18,Swahili,social,Ro {,age,"Infant, ",secure,caregiverinteraction,symbolic:00,experience_embedding,: ,2024-02-21 11:59:00
mostlyc3-2370-44cc-85a9-b161596c1188,15,Oromo,taste,}: {,recorded_sounds,L_at,joyful,neural_logic,recorded-19T-1.,", ",neural_tone,2024-05-02 17:57:00
mostlyd2-6e43-4cdd-902b-ae6f0ce84f04,24,Hausa,auditory,age_months,} ,infancy,curious,neural_at,"Ifedp”aresty toanr,a-u.","If.,-04-08,0.T.2,0.160,-0.530,0.9327,,1.3-,-0.082753-022426,-0.0.07,0..50808,-0.407",description,2025-06-02 07:10:00
mostly05-bc4f-40c1-84fc-fb7d2f75e1ef,0,Zulu,social,"2024,-0.15,",Caregiver ,", ",calm,}{,cultural_interaction,caregiver ,location,2024-03-01 20:43:00
mostlydb-41c1-4002-8484-19903c9981a4,15,Hausa,social,"}}embedding0.4,--0.274.7}59,--0..0507,-0.0310,0.02,-0.07-0.07,1.5533,0.591859,-091T080557,-0.48298,-0.829:,1.18187-,0.18-12,-1.0.24.0T031, ",words,description,secure,neural_logic,location,infancy ,symbolic_-:00,2025-02-01 19:24:00
mostly10-2a12-420e-8f7f-d4aa0a737c67,18,Swahili,taste,: {,,-,comforted,", ",location,: ,C,2024-01-30 12:46:00
mostly7c-352c-4b1b-a4c0-4640be2cceed,18,Swahili,taste,F,,2024- {,secure,", ",,If ,age_type,2024-06-28 16:13:00
mostly1f-c82a-4017-9547-19be81b7280a,15,Hausa,motor,", ",_ {,,playful,caregiver_interaction,recordeds.,",",: ,2024-11-29 23:49:00
mostlycc-2442-4a1a-b9f7-b5c888597deb,8,Swahili,smell,} {,"O, ","2024-241.,-0.39180,0.",playful,"emotional:at, ",symbolic: {,description,primary_ores,2024-04-13 08:28:00
mostlyea-90a7-4a9f-a0e5-0e0078d0b889,7,Shona,tactile,}_sounds,: ,recorded_sounds,curious,: ,description,location,age,2024-09-14 03:44:00
mostly85-5415-4ad4-a202-a675899d3e58,9,Igbo,motor,age_logic,_,"Ifudp singsal thes,, thenol withs, in and, then",playful,,}_or,“ ,: {,2024-01-06 02:42:00
mostlyc8-37bc-42a8-a0b9-fdaf9fcd8e69,15,Yoruba,auditory,“om t”.,: ,age ,secure,"-, ",recorded_months,description_tone,"2024.8,-0.12050.47746, ",2025-06-19 07:41:00
mostly47-94b3-4998-9ad3-7d8a0336ea3c,3,Amharic,visual,_tone,", ",: “_significance,secure,recorded_language,: ,}}_or,{,2024-01-30 03:16:00
mostlyd0-0b86-47fb-8b87-5eaceef61a21,24,Hausa,language,{,primary- {,", ",curious,caregiver_,"Cs, ",:  ,description,2024-02-04 08:13:00
mostly09-70f1-47f3-ba42-1b50fec10542,18,Swahili,visual,"IfTanm bf,ing {",primary_sounds,"Infantsopts, and ",calm,-_sounds,description,Yoruba,: ,2024-03-13 23:06:00
mostlye9-6b97-4f0d-85a4-559c128e3c02,18,Yoruba,taste,emotional_sounds,_or: ,", ",surprised,experience_type,location,Igbo_,:_5,2025-03-15 05:19:00
mostly53-31f8-4c93-91ab-3116cc5733f0,1,Yoruba,tactile,"“, {",Ninteractioning g f.,words_months,calm,age0.,", ","primary, {","F, ",2024-05-18 13:42:00
mostly55-73eb-4b75-8924-27d8c05f5bec,12,Zulu,taste,_tone,"Eomam, ",words_tone,surprised,If} ,neural ,", {",words. ,2024-05-01 22:54:00
mostly86-8ba8-48a7-8658-a4313dc4478b,6,Amharic,motor,“ m,experience_months,curious,secure,words__embedding,",1.",:,“,2024-08-20 18:01:00
mostlyf1-7073-4663-b5a7-4cb8e06a95c8,5,Igbo,social,secure,age_at,If_ ,curious,: ,", ",", ",", ",2024-04-03 21:14:00
mostly38-3d5a-4886-a20e-98ec220fdfba,0,Hausa,auditory,emotional_tone,primary_,experience,calm,F,O,description,: ,2025-08-04 14:36:00
mostly90-2679-40e6-a1f6-661121be66b4,1,Yoruba,tactile,", ",2025{,E_language,secure,: ,age_type,descriptionor,words,2025-03-10 21:17:00
mostlyee-cd40-4883-be95-0509264cdf72,22,Igbo,taste,Infant,words_interactionlanguage,: ,joyful,experience_interaction,E,_months,experience ,2025-05-10 22:16:00
mostlyad-f779-4b68-b7d3-23c3df246f87,16,Hausa,taste,agecultural_at,: ,words_at,curious,"If.7ing, ",2025,infancy,", ",2025-09-28 18:06:00
mostly35-4c8a-4b5b-84ff-fe6ea1b29344,2,Hausa,smell,cardl,“Tiu h andd toen.,words,curious,}} andb and ,tactile_,}months,neural_months,2025-01-28 13:29:00
mostly17-2f2b-4c69-b0ab-caec5fb71428,11,Hausa,taste,joyful,description,cultural,curious,,_tone,,“sesanearpe.,2025-07-24 22:42:00
mostly2d-9e55-4b20-a94b-b8b60bc4b98a,24,Hausa,auditory,words_type,If.,,curious,: {,,"c0.09130,-0.9829151702,0.5815,0-5059,1.392,-1.5460,1.2847,031",infancy,2025-04-26 22:24:00
mostly73-2c65-421b-b77a-028f27a56fe1,0,Amharic,auditory,", ",cultural,-,calm,primary,caregiver ,neural_interaction,", ",2024-11-20 09:06:00
mostly18-213b-4717-b43b-1a9ee64279cc,16,Shona,language,E ande andt ins with ,: ,} ,secure,,age_type,recorded_type,: ,2024-07-15 18:22:00
mostlyb6-f7e5-4013-b91b-35f5cc4f2df3,18,Shona,taste,_significance,", ",neural_atlanguage_ andr_,surprised,_type,age_months,experience,If_at,2024-01-17 12:30:00
mostlyca-5299-4538-9ebb-f0e75447564e,22,Hausa,social,description,_,description,secure,Ifing,: ,: ,emotional_interaction,2024-08-10 22:42:00
mostly70-c02a-4a6e-875b-96da59a6e65d,11,Amharic,tactile,T,joyful,Ifed,curious,O ,", ",infancy,: ,2024-09-09 18:17:00
mostly02-ef8d-43a8-9615-1a867081ad53,2,Oromo,taste,caregiver_interaction,},",T",surprised,description,recorded_type,“ay.,: ,2024-02-29 21:42:00
mostly1d-ab8e-44d2-a97f-1bcdbb15dacb,2,Zulu,tactile,"Ifo, ",age_uor,age_logic,curious,} ,age_type,"-06.02.17112,1.315288,0.1857,1.8,-0.089,-0.",cultural_type,2025-08-28 10:56:00
mostly1d-198b-49bb-a078-47b3d7bab569,4,Shona,language,}emotional ,infancy,:sounds1.,playful,: ,emotional_tone,}_months,: ,2025-04-20 23:20:00
mostlyc4-d599-4c8e-b105-a58075421208,22,Zulu,taste,"2024-1.4170923, ",C,playful,curious,primary_months,curious,cultural_embedding,: ,2025-09-28 18:06:00
mostly34-917a-43f0-bad6-8e744d5770bf,3,Hausa,auditory,primary_,cultural_,words_type_sounds00,secure,"“_,: ",} ,",_type",",_soundslanguage",2024-07-03 03:42:00
mostly91-402c-437b-9bd2-29b2f13a376a,18,Amharic,motor,neural_embeddingor_u,primary_sounds,experience_type,secure,location,", ",descriptiontone,age-0.,2025-04-12 05:28:00
mostlyda-66d5-4fd5-ae4a-dddf0ba69d31,14,Amharic,motor,age_type,"neural,---.070108-1.02,-1.502080,-0.77,0.67,1.3,08.55114,-1.811385",“_.,joyful,Caregiver00,"O ,{type",: ,C,2024-01-08 18:10:00
mostly2a-6d0b-47f7-8af1-ea5dc7af8d88,15,Oromo,motor,primary_embedding,words_language,location,playful,infancy{embedding,age {, ,"emotional,0-0.366113,--0.8,-.59",2024-07-11 22:37:00
mostlyc0-c43d-4a9c-9de2-3aa22c91ac3b,6,Igbo,motor,experience_or_0,"recorded_interaction,",experience.,joyful,infancy,: ,words_ ,Ifesa a withsi andere.,2024-08-28 18:23:00
mostly81-634b-4344-a693-3d67955f2cc3,18,Shona,auditory,words_language,Swahili0.,recorded_logic,secure,: {,",",: ,cultural_,2025-06-04 01:38:00
mostly86-9911-471c-9974-fafc238f1d40,24,Zulu,smell,If_,symbolic {,,curious,", ",S,curious,C ,2025-03-11 03:23:00
mostly2e-ac91-488f-b5b1-8d11333057cc,11,Hausa,language,: ,: {,description,joyful,experience,"joyful,0.209,-0.4703,-.0.602,1.051512,05,-1.3,0.0.6,-0.056138,030,-0.6532,-0.25:.-7.030085,0.3133,0.,10609,10.5758",neural_embedding,} ,2025-08-12 08:38:00
mostlyf2-ac19-4179-b830-bdba3d8de853,5,Zulu,taste,}-12} ,"words_}, ","emotionalNing hta a”.}, ",playful,description_kr.,Ptone,"neural, ",symbolica.,2024-08-28 20:30:00
mostlyfe-5fc5-4ec0-b753-c7fc5e932a4b,13,Igbo,taste,primary_tone,description,age_,surprised,,C,cing,caregiver ,2024-04-15 03:10:00
mostly50-ac6b-4288-b3ef-694ca902f8d1,7,Shona,social,locationu f ,location,: ,curious,Caregiver,cultural_logic,words_languagelogic,recorded_months,2025-07-02 02:48:00
mostly69-6f1f-4730-94c8-7b60056d9fa7,3,Hausa,motor,words_or_at,age_type,}_sounds,joyful,cultural_or_orsounds,“,neural_sounds,recorded_language,2025-05-15 15:16:00
mostlya2-692f-4073-8c7d-cd44613bf0c2,13,Oromo,visual,curious,", ","S, ",calm,“_interaction,recorded,} ,recorded_months,2024-06-30 07:17:00
mostlyc7-2b23-4876-aa4d-4f2a2d0b2701,24,Hausa,taste,primary_type,auditory_interaction,Hausa,playful,: ,“bor.,: ,“description,2024-09-17 10:52:00
mostlye1-0196-4eaf-8bd9-3e0baa0a81f4,7,Shona,tactile,Ttype“u b with”,", ",: ,playful,"2024 ing, ",", ","experienceIf, ",curious ,2024-06-14 06:22:00
mostly42-0c40-4eeb-97cb-dc4e2aad05cf,18,Swahili,visual,emotional,experience,", ",secure,age_logic,ageIf p in m andlee.,P,", ",2025-09-28 18:06:00
mostlye9-7b8b-4deb-b5ac-a27d324b3695,7,Shona,language,", ",description,words {,playful,“,: ,neural_,cultural,2024-07-20 08:14:00
mostlyde-c12f-426d-a964-3d7aaf0c28d8,18,Swahili,visual,age ,caregiver_at,location,curious,: {,"Swahili,0.59,11.1213240, ing1.03,-0.99,-0.",emotional_typemonths,S,2024-06-20 16:42:00
mostly0d-7ee1-4c17-a58b-e9234c24365b,23,Shona,language,20250,experience_months,", ",playful,: ,age_type,: {,2024---11,2024-02-02 09:12:00
mostly59-5d67-41ee-afea-c82aed333973,18,Swahili,auditory,cultural__type,"Cedfboro, in0.",S,calm,caregiver_at,Rserints d.,symbolic_toneat,experience: ,2024-07-03 23:42:00
mostly18-c2b3-408a-8787-8dc8657f5552,10,Zulu,taste,“”,2024,: {,surprised,"O, ",", ",words_orlanguage,recorded_embeddingage {,2025-02-09 06:27:00
mostly6e-8016-436c-9045-edb12baa20c8,10,Igbo,tactile,"}-10, ",experience_,symbolic_: ,curious,T07: {,symbolic_primaryat:00,“_language,Eemotionaltone,2024-08-13 17:32:00
mostly7c-b0d8-4de9-a2c5-1147791a074b,1,Yoruba,motor,“,: {,: ,joyful,Yorubacing.,emotional,", b1.0540,,9-0.-,-0.4728,-0,-0.050334,-0..57.0, then38-080.8,0.06-21.",S,2025-06-15 13:40:00
mostly7c-4dc9-4776-a3fe-e475aefd4bf1,8,Swahili,language,descriptionT,", ",", ",joyful,age_months,"“recorded_,0.16, ",Caregiver ,"primaryor_, ",2025-06-09 08:53:00
mostlye7-38c8-4a95-aab3-c8203db889c8,14,Hausa,language,neural_months,: ,descriptionmonths,curious,emotional_language,", ","c, ",cultural_logic,2024-03-07 09:30:00
mostlydd-bd8a-43d6-92f0-f70195d9a521,14,Igbo,motor,If,recorded_interaction,} ,joyful,If.,": es pp,: ",age_,cultural ,2025-04-28 13:49:00
mostlye8-e2d6-4a8e-a748-7d6e45d787e6,11,Amharic,smell,wordsneural_orsoundsd,"2024-,0.4446,0,0.","Etone bingddrerin, s.",secure,E,E,2024--3-237,neural_sounds ,2024-08-17 19:37:00
mostly63-d65b-4b1b-9f86-41d4910194b0,8,Swahili,auditory,caregiver ,infancy,descriptionl,joyful, If t_logic,Singf,location,: ,2024-03-30 14:23:00
mostly75-876c-4fc5-a399-4b8ab28a0df7,11,Hausa,motor,recordedemotional: ,"Caregiver, thenh ged.",Fagehc- sicar.,joyful,playful,: ,: ,description,2025-01-18 20:10:00
mostly1e-15ae-4a0e-82f7-db9b0b565eee,24,Yoruba,motor,", ",primary_months,symbolic_sounds,joyful,2024s.,C,"cultural“ees,s.","emotional-s}.,",2024-06-17 07:46:00
mostly11-365c-4c03-94d3-6deed46dca7e,5,Hausa,motor,: ,", ",If,secure,", ","Infantu ci andeser and f m, ",joyful,: ,2024-09-24 12:48:00
mostly97-7ac1-4419-9f6c-d3749bb4e79c,4,Igbo,visual,:00,: ,recorded_tone,calm,experience_words,“ort barep ands.,: ,}age_,2024-08-25 13:37:00
mostlyd4-63ef-482c-8cd4-b732629c0b5c,11,Igbo,language,location,: ,“pbs-tu withse.18d.,secure,2024om08} ,age_months,So anda fe f ”,2025or_type,2024-03-15 17:52:00
