id,age_years,primary_language,domain,description,problem_solved,approach_taken,collaboration,impact,expertise_demonstrated,location,symbolic_logic,wisdom_shared,neural_embedding,recorded_at
mostly58-4123-417a-af0a-c8244c0ac293,53,Shona,technology,innovation,expertiseb,O,Inlogic,", ",innovation,A,age_,domainor,: ,2024-08-18 18:34:00
mostly88-17dc-4129-a742-6efe1893b2ea,49,Amharic,entrepreneurship,symbolic_shared,:00,expertise_,collaboration,Sored by,leadership,}approach_at,location,2024--0.,", ",2024-08-03 22:38:00
mostlybd-9a25-4c6c-8b61-1047ab3e5f7d,43,Igbo,education,"adulthoodshared,",", ",approach_demonstrated,expertise {,neural,technical_skill,description,: ,: ,approach_demonstrated,2025-01-16 12:21:00
mostly6f-2721-4a71-9c1f-81fdddaffe2f,42,Hausa,education,", ",primary_logic,: ,F_taken,neural,empathy,2025_years,", {","Ar, ",} ,2024-10-24 14:01:00
mostlyfe-5611-4321-b8ce-abfa641b5493,24,Igbo,agriculture,wisdom,: ,collaboration,-0.29,", {",leadership,wisdom,Amharic,_languageedat,expertise_taken,2024-04-10 23:41:00
mostlyb1-15c9-40a9-9303-325c6e03310d,37,Amharic,governance,}M,leadership_demonstrated,symbolic_embedding,: ,Cat--0.0.03,leadership,", ",impact {,: ,: ,2025-08-15 10:28:00
mostly8a-b8b7-4b14-8587-c6620c963c9a,27,Amharic,healthcare,"recorded_p, ",age_years,innovation,"primaryexpertise_taken_,",", ",resilience,problem_demonstrated,", ",2025: ,", ",2024-02-06 11:46:00
mostlybe-41f6-4d52-b3b2-e822ff35bfbe,60,Hausa,governance,", ",adulthood,: ,description,wisdom0.,strategic_thinking,problem_years,: ,collaboration,", ",2025-08-11 03:46:00
mostly43-5349-4186-b11b-b6605e4ad5aa,54,Amharic,agriculture,O withat fac,: ,D with,S ,technology,innovation,": ,a",location_,adulthood,2025solved,2025-02-01 10:20:00
mostlyc6-db7c-4cd4-8708-5f1ee7f76ba9,39,Amharic,healthcare,--1.,If,", ",", ",age_years,leadership,"neuralAn, ",primary_: ,"L-, ","Pee, 4a, Ethiopia",2025-07-21 11:35:00
mostly2c-f7bb-4d99-b148-f2fd05d4afe0,44,Zulu,governance,", ",: ,If,recorded_shared,If{,leadership,2025,problem_embedding,neural_at,primary_embedding,2025-06-19 01:29:00
mostlyfa-ead4-4c4f-aacc-9eeec9eef8ba,58,Yoruba,agriculture,"Amharic10T1.}11.84,0., and060.",", ",location,} ,neural_impact,leadership,},M_solvedat,P ,", ",2025-02-06 18:46:00
mostly4e-5d04-4cfb-9d7c-ce13efd76e29,29,Zulu,entrepreneurship,2025-,"S.6,1 ",problem_- ,age_language,"approach, ",innovation,- ,2025-02-08.5251.,,O ,2025-04-04 17:33:00
mostly67-3a04-4ba5-bb6b-6e3d0e049035,52,Swahili,entrepreneurship,leadership,} ,expertise_solved,"innovation_ in-,-0 to0.08,0.8,0.",", ",vision,recorded_taken,description_shared,symbolic_at,},2025-03-11 09:17:00
mostlyb7-f03f-4de9-819b-4192437fa947,34,Swahili,technology,: ,", ",,", ",primary_taken,strategic_thinking,C,impact00,"technology:, ",: ,2025-05-07 16:31:00
mostly67-ba7a-4c64-9a99-922ce590c1c6,41,Shona,governance,",: {",2024 ,2024 ,S, ,technical_skill,"neural_,",L,", ",recorded,2024-02-19 14:00:00
mostly03-11a5-4fa8-bd01-2c96b1e69317,32,Zulu,healthcare,adulthoodarsolved{,adulthood,", ",symbolic_embedding0y,", ",technical_skill,recorded_shared,neural_logic,recorded___solved,", 6",2025-07-25 14:54:00
mostly5c-1079-4e56-b2fe-b80a8edfd8ca,26,Swahili,education,", ","recorded_languageartaken, ",wisdom_at,:00,wisdom_years,empathy,recorded_logic,: ,wisdom_solved,: ,2024-11-20 02:21:00
mostly75-b093-4fdc-8d66-610323cc3edb,29,Amharic,technology,{,: ,} ,: ,collaboration 3b_grs for in thelttc foran,technical_skill,technology,Piter with.,: ,adulthood,2025-09-14 13:19:00
mostlyf5-89be-4fb0-a4e0-924d580e6cb0,28,Shona,governance,technical m}} ,"L 3 mers-, {",S,"impact, ",}__p,technical_skill,location,A ,collaboration,recorded_language,2024-06-08 17:37:00
mostlye1-cbc1-456d-880e-37ebd91f9727,47,Hausa,technology,: ,problem_embedding,collaboration,C_,Worked,resilience,: ,adulthood,recorded ,", ",2025-05-31 20:30:00
mostly8c-9398-4289-95ba-402ab7943d74,61,Yoruba,leadership,", ",Sat,recorded_years: 5,: ,wisdomat,innovation,symbolic,problem_taken,,leadershipning_bed ,2024-04-27 17:13:00
mostly18-984d-4d0f-9e9d-1ff487e0ce59,50,Yoruba,education,neural,primary,,neural , ,leadership,impact,", ",problem withn4 ming anditer.,", ",2025-01-27 22:33:00
mostlyb1-d485-44cd-bac5-c69e222588c6,35,Igbo,governance,adulthood,", ",wisdom,", ",: ,strategic_thinking,approach_embedding,problem_logic,expertise_years,_thinking,2024-10-03 00:16:00
mostlyd8-cd27-48aa-bc19-5bbe639161ba,45,Swahili,technology,adulthood,problem_demonstrated,technology ,problem_solved,location,resilience,: ,Ag salnes.,P wither fee p-1..,", ",2024-09-16 19:03:00
mostly21-5925-4983-9c86-1949248bcd6f,45,Amharic,innovation,: ,} D,impact,O_at,neural,technical_skill,: ,", ",leadership,,2024-06-26 02:53:00
mostly65-ecd3-43c0-81e1-2194fe307e07,31,Shona,healthcare,"-0.0406, ",domain,2025_at,}_shared,Amharic,leadership,O ,primary_shared,neural-embedding5,"collaborationa, ",2025-04-26 13:15:00
mostly2c-5483-439d-85ff-40fa71868388,57,Oromo,education,symbolic_logicar ,"Dor in,0.",":, ",", ",collaboration,strategic_thinking,", ",location,approach_at,A,2025-09-27 12:51:00
mostlya8-2ba1-4977-9ec4-961393c7c349,31,Shona,entrepreneurship,neural_embedding,: ,,If,recorded 3,leadership,domain,", ",wisdomar_language,recorded_solved,2024-04-13 15:08:00
mostly3d-bbe4-4f83-b8b9-eb70956be92e,46,Amharic,healthcare,impact,adulthood,,Worked ,approach ,strategic_thinking,C {,neural_embedding,problem_language,F_logic,2025-04-09 04:33:00
mostly42-bd57-48d2-8848-211d93bca57d,45,Yoruba,agriculture,collaboration,neural_logic,2025ageTs,"R0 andc,_",impact,technical_skill,", ",: ,problem_at,primary n{,2024-10-08 10:52:00
mostly15-6dd1-4c6d-8b82-224e89be6fe0,36,Hausa,innovation,neural ,0,P,2025es_shared,adulthood,vision,2025,"C-t andes, with",symbolic,A,2024-03-17 13:15:00
mostlye4-fa40-4705-9329-54343aa16583,35,Hausa,governance,"2025.58,-.. _,02",: ,_language:.,collaboration,wisdomC1.,vision,Amharic,Worked-01,expertise_logic,Worked,2025-03-25 14:21:00
mostly7f-c521-431e-bfcc-243cab1cd3c2,34,Amharic,governance,R_years,: {, ,adulthood,collaborationlogic{,leadership,impact,adulthood,Mc,primary_thinking,2024-02-04 12:22:00
mostlyf8-382f-4ab4-b463-0552c200127a,58,Amharic,education,domainor: {,:1 ,: ,",-0.09.",D_language,vision,collaboration{,neural ,wisdom-,Sede;,2025-09-11 23:54:00
mostly0d-2c2a-4035-a899-9298199945bc,58,Hausa,education,", ",: ,: ,2024- {collaboration,,leadership,_embeddingat,description,: {,Ift withal for ,2025-09-04 17:11:00
mostlybd-e290-43da-9426-57c69cfb6a8b,28,Hausa,healthcare,{,A,"Average, ",problem_shared,approach_taken,empathy,expertiseed_years,: ,", ",location,2025-04-01 10:45:00
mostly55-f844-42aa-b26e-c51697a5a50a,60,Amharic,agriculture,", ",primary_taken,: {,expertise_taken,"neural_-taken0.9, 3",empathy,description{,approach_demonstrated,description,adulthood,2025-09-27 12:51:00
mostlye0-0b4c-48ab-b803-ed86e7f42a28,28,Igbo,entrepreneurship,", ",technology ,:}},domain,impact_shareders;i_:1,strategic_thinking,: ,: ,impact,"Amharic-,0-18._._embeddingat08",2025-02-17 01:03:00
mostlyed-1466-4411-b56b-870ce7b5215e,35,Oromo,leadership,adulthood_embedding,description,description,"symbolicr, ",wisdom_demonstrated,innovation,adulthood ,",-06.",Pedsers% ,problem_taken,2025-03-06 15:51:00
mostly91-5897-4ce5-977d-31afce3d62f2,42,Swahili,healthcare,collaboration,wisdom_.,:,: _language,: ,vision,", ",age_logic,wisdom ,primary_logic,2025-08-19 02:33:00
mostlyf3-cb01-4f1b-86f7-3fdc453110c7,41,Swahili,entrepreneurship,S,"Pe,00", ,problem_language,-1,strategic_thinking,: ,primary,0.35,,2024-04-11 01:00:00
mostly47-b66b-4d52-b39a-dcd7811c7db7,63,Swahili,healthcare,neural_years,,wisdom ,location,: ,leadership,", ",problem ,In,,2024-10-04 14:12:00
mostly4d-0877-46d6-b31e-c49b7f599a54,45,Zulu,education,", ",neural_D,: ,recorded ,,empathy,approach_taken,A and,"recordedeers,_embedding.",age_shared,2024-12-18 20:04:00
mostly99-2700-4d39-b6c3-7b3b466b3514,60,Igbo,governance,age_shared,"age, ",adulthood,A,wisdom,leadership,", ",D1..,recorded,: ,2025-09-27 12:51:00
mostly64-bd8a-42ea-a265-a8e673cb8812,39,Zulu,technology,innovation,approach_logic,", ",Ssebalaresi.,Swahili_at,technical_skill,: {,Workedor_at,: ,20250.,2025-01-13 16:33:00
mostlyfa-c33f-4206-92d5-b4d3d54bc744,34,Shona,agriculture,: ,"recorded_,",approach_solved,-T: ,Sre ander.,empathy,",0.-18}0.16",adulthood,approach,} with,2024-02-23 14:32:00
mostly3f-b9b9-484a-a7a5-f33cb9cecccc,26,Amharic,education,", ",domain, ,problem_logic,"-0.73,0.9.",innovation,location,Pe ,expertise_logic,innovation,2025-02-06 09:47:00
mostlydb-88b0-4f35-a944-b576719a6273,50,Yoruba,agriculture,"2024-0.20}19, ",", ","A, ",recordedage-0_at,: ,strategic_thinking,symbolic_taken,Average, ,,2025-06-04 17:48:00
mostlyc5-4cf8-4a42-90d5-444ed4e6912c,42,Amharic,technology,location,strategic ,primary__taken,: ,age_: ,technical_skill,problem_solved{,technical2,P,problem_,2024-04-19 22:17:00
mostlycc-e3a0-4e0e-a465-862a1036ba47,48,Zulu,leadership,: ,problem_demonstrated,} with is cm,2025_taken,C_language ,leadership,impact,:.,: ,: ,2025-01-23 05:32:00
mostlybf-2a8f-4219-9acf-49f5157d8d3b,54,Swahili,technology,", ",M,expertise_years,wisdom_,: ,strategic_thinking,", ",,}age_years,"2024--030.4.3,0.24,0.66, ",2025-03-04 13:43:00
mostlye9-2768-410c-b2e4-ee40dd6b2c82,42,Swahili,education,: , {,domainer0.,", ",expertise_at,strategic_thinking,A,", ",neural_embedding,0 ,2024-04-13 00:36:00
mostlye4-4453-4ef5-9c41-a12b30ba7659,33,Igbo,innovation,neural_,"Worked, ",}_taken,-0.,: ,leadership,: ,M ,}- ,adulthood with%.-0.,2025-03-19 06:54:00
mostlybe-4ade-4279-ab97-50cc8bd59359,39,Shona,education,"}0.56,01-0.2-1, ",collaboration,approach_taken,approach_language,collaboration,innovation,", ",: ,recorded_taken,: ,2025-02-10 06:48:00
mostlyf9-a4e1-4847-b54f-7788d105ab92,55,Oromo,entrepreneurship,,: ,collaboration,:e-.,strategic,vision,age_1: ,A: ,}__logic,S,2025-01-28 08:09:00
mostly25-72b3-4359-b0a0-7d1ac43443f4,61,Amharic,governance,impact,: {,"M arp pedses to andss.er  with-ed withc- a,%.",A.,",.",strategic_thinking,"U-u,02.",symbolic_at,:_language,: ,2025-09-27 12:51:00
mostly8e-4a0c-4146-afd2-2b931aab84f7,27,Amharic,healthcare,domain,", ",impact,adulthood,symbolic_logic,empathy,"20250., Nigeria080.",wisdom,:.5,: ,2024-02-04 00:58:00
mostly33-b035-48d9-a284-0cc0924811a6,29,Shona,agriculture,In,2025_er,_embedding,: ,primary_e_language,leadership,domain,St,S in,", ",2025-03-30 04:44:00
mostly71-8aaa-463e-9423-406f0c57ac07,51,Swahili,education,} ,: { withitataat,location,"S, ",:} ,empathy,agedescription,collaboration,If,expertise_years.,2025-06-20 16:39:00
mostlyfd-2029-46c2-a655-a2aa7c1bc4eb,35,Shona,agriculture,: ,expertise,C,impact,"Ific, ",innovation,domain,: ,}_M,problem_demonstrated,2025-05-08 07:33:00
mostly93-f1a0-4738-949b-223a5150394e,44,Amharic,governance,symbolic_logic,: ,AT {,", ",: ,innovation,",1-03 ",impact,", ",2024,2024-02-06 21:28:00
mostly35-334a-4e79-b63c-fd4320033e60,59,Shona,innovation,"primary, ",: ,", ",symbolic,: ,technical_skill,wisdom_at,descriptions,wisdom,age_taken,2024-02-03 09:18:00
mostly7c-4926-47e5-ac35-7eef90edb856,29,Yoruba,governance,"20241.7,.17,- and.","leadership,  s_language",symbolic_solved,location ,primary_T:- ,innovation,recorded ,C,adulthood,primary_language_embedding,2025-04-16 01:21:00
mostlyda-5712-41cd-8e98-3abcb848d710,45,Igbo,innovation,: ,,2025: ,symbolic_demonstrated,impact,leadership,impact,: ,2024_embedding,location,2024-04-04 01:05:00
mostly70-115e-46c2-b586-f8427fb09f6f,43,Zulu,agriculture,", {",", ",recorded_at,}at and c.,M,strategic_thinking,expertise_domain,If_demonstrated_shared,neurallocation,F,2024-09-11 02:19:00
mostlye6-5847-4234-a78c-b870f63ea331,50,Hausa,governance,", ","}}}}2}0.43, {",description,}ed ,}demonstrated {,leadership,} ,", ",", ",: ,2024-11-16 21:45:00
mostly29-5757-454a-9017-cd3696b05ed3,58,Yoruba,governance,", ",: ,: ,If,"2025, Ethiopia,0.",technical_skill,symbolic: ,expertise,impact,", ",2024-01-04 00:19:00
mostlyb3-3db3-410f-9ac3-4cbb1c423fba,39,Amharic,entrepreneurship,impact_sharedat,: ,: ,: ,symbolic_logic,leadership,", ",innovation,Amharic,wisdom_years{,2025-08-24 00:43:00
mostly2c-c1f3-4900-984d-82dedc0642ac,64,Igbo,governance,S,wisdom_embedding,", ",description_demonstrated,technical.,leadership,recorded,,recordedsolved,: ,2025-03-15 20:04:00
mostly23-042f-4689-9cbc-3938b48d7720,54,Zulu,governance,"-02-17235,1.9,-0.5,1.3558 and2,801064.",", ",symbolic_taken,Amharic,symbolic_taken ,empathy,", ","2024-0,,:00",}} ,2025_embedding,2025-09-27 12:51:00
mostlybd-684b-499a-8c87-308a647b8c89,40,Zulu,governance,C,problem_skill,domain,,},vision,", ",age_taken,: ,2025_atcl:00,2025-05-28 15:19:00
mostly9d-8c19-48c3-8580-4862d4ca5435,60,Amharic,governance,expertise ,Worked},leadership ,"2024, ",leadership,strategic_thinking,2025,age_logicat,", ",: ,2025-08-19 22:32:00
mostlya4-5ff2-4f21-be75-fdb00023d2f8,31,Yoruba,education,M.,description ,Average,: ,", ",innovation,Psolved,", ",", ",: ,2025-01-06 13:20:00
mostlyc8-9f58-4ea8-9183-b7ef6898df2f,29,Shona,agriculture,",",adulthood,wisdom,primary,age_shared,leadership,location,recordedS-.,age: ,", ",2024-08-01 14:08:00
mostly53-e233-4c19-9171-afb62ec719dd,35,Zulu,healthcare,location,S_at,: ,: {,wisdom__M4shared ,innovation,A,Worked,recorded-_years,innovationsolved,2025-09-23 22:21:00
mostlydc-ba3e-44a7-9ccd-3237accb849f,36,Amharic,healthcare,impact,"-,0.",C_embedding,symbolic_logic,", ",leadership,: {,} ,description,neural,2025-07-09 07:19:00
mostlyf7-e24c-4b78-b4a0-6460169c4472,64,Oromo,entrepreneurship,wisdomproblem ,primary_language,: ,primary_shared,: ,strategic_thinking,", ",", ",: ,: ,2024-10-03 01:11:00
mostly5c-c5d0-444a-abce-cd7519b80ccc,48,Zulu,governance,},: ,primary_demonstrated,U.,primary1.,technical_skill,If,",  ","Re for%ges,00",neural_embedding,2024-09-29 12:32:00
mostly77-87d1-4c4b-bd20-70abdea85722,33,Oromo,healthcare,2024: ,", ",recorded,",_solved",age_yearseat,resilience,: ,symbolic_years,", {",wisdom_solved,2025-01-06 17:13:00
mostlya5-8741-4994-a8a7-69798bbbf52c,45,Shona,education,,"domain._-0.:, ",domain,":age, ",wisdom_,vision,If,approach_,domain,: ,2025-04-24 01:57:00
mostly1d-5306-4c08-b0c7-d423d179f2ec,33,Hausa,entrepreneurship,: ,innovation,--_ ,primary_,R,empathy,0%.,expertise_demonstrated,wisdomat,,2025-03-05 10:03:00
mostlyf1-c62a-4c2a-9c8b-d006a9694be5,45,Shona,technology,problem_demonstratedsolved,P:n,Averagesolved,: ,Fp: ,leadership,location,impact,: ,L,2025-04-02 19:13:00
mostly6e-6666-41d1-b92e-97d6f6003384,52,Yoruba,innovation,", ",", 4",", ",wisdom_embedding,}_demonstrated,resilience,: ,R1-0.,symbolic_{,", ",2024-11-09 03:10:00
mostlyd1-36bf-4ac9-a869-1c95d9b216ad,60,Hausa,healthcare,adulthood,A,neural,: ,domain,leadership,Averagehedes.,M ,", ",adulthood_shared,2025-08-25 12:51:00
mostly28-080e-486d-b97b-0c0814ab9f18,44,Shona,governance,collaboration,- ,age_,}demonstratedi ,: ,technical_skill,C},location,: ,-rea: ,2025-04-23 07:26:00
mostly06-5971-4502-867e-1514a7f4c9f1,65,Igbo,innovation,2025: ,domain,: ,symbolic_demonstrated,primary_demonstrated,resilience,collaboration ,2025_ , ,location,2024-12-09 05:58:00
mostly99-7ff0-4d85-9153-0004c194cc8c,35,Oromo,entrepreneurship,", ",description,primary_years,leadership,", {",empathy,symbolic_S,Amharic,approach_solved,Worked_embedding,2025-04-16 01:32:00
mostly1f-d6b9-4b2c-80a4-e8c7e4b38c8d,36,Oromo,leadership,description,"primary,_C",impact,approach_embedding,expertise_demonstrated,technical_skill,"2025, Nigeria",A ,collaboration,}_at,2024-05-03 12:38:00
mostlyc3-3089-4555-9ea8-f39ae9ee6c3b,36,Swahili,technology,domain,adulthood,expertise_taken,2024 ,adulthood,leadership,recorded,recorded_skill,: ,problem_logic,2024-01-07 09:47:00
mostlyab-44bc-47f9-b111-da33e6e7dfa0,41,Yoruba,agriculture,collaboration,description,",",}_at,: ,technical_skill,"-0.0318.8 and35,.",:00 with,description,C_logic,2024-03-04 15:39:00
mostlya8-7a2c-45bc-81c3-c9c08dedc2ed,58,Oromo,agriculture,problem_expertise,", ",symbolic{,", ",strategic,innovation,", ",:} ,": 23T,-0.0.428,-0.18,0.946,-6 {",approach00_,2024-10-12 07:06:00
mostlyc9-904d-4f25-b3e3-c58cf6a8d065,52,Yoruba,healthcare,: ,-0.,", ",impact,approach_logic,innovation,}_,recorded_logic ,location,technical ,2025-08-03 13:29:00
mostly90-662c-42c3-ab42-a626ae96f67b,27,Igbo,governance,A ,"Ueent s,0.","P: ,0, {",innovation with.,age_years,technical_skill,R,,If p,"20241}, ",2024-01-25 13:33:00
mostly6e-1b6f-4a89-82b9-228b9a8f31f2,39,Zulu,healthcare,domain,: ,}}_} {,} ,A,strategic_thinking,location,D,description ,S_atrit_,2024-02-02 23:54:00
mostlycf-eae3-41ba-9ee3-f2cb3bd0574f,44,Hausa,leadership,description,: ,U,", ",", ",strategic_thinking,M_solved,neural_demonstrated,U.,impact.,2024-06-19 03:38:00
mostly0c-adaf-4ad1-9bbb-437bf4ff6b3a,37,Zulu,leadership,,Worked_,age_solved,innovation,: ,leadership,adulthood,: ,}_years_at,: ,2025-03-09 11:09:00
mostlyfe-1cd1-4e3c-aaa4-ce23a9baa396,38,Yoruba,education,impact,neural,F_at,}D,expertise ,empathy,"Amharic, ",L mpn_feered.{,", ",expertise_,2024-10-19 05:24:00
mostlyb4-e1bd-4a3f-a4eb-e7198367bb1c,38,Hausa,education,impact0.,expertise_demonstrated,"M, ",technology,impact,technical_skill,In,"Uau, {",", ",approach1_embedding-b0.,2025-08-08 20:54:00
mostly8d-35a1-4b58-b82e-b83229162689,60,Swahili,technology,} ,L_demonstrated,impact,", ",: ,strategic_thinking,", ",collaboration, ,A,2025-05-16 14:36:00
mostlyd5-0c33-415b-b72b-2cfc2371882f,37,Amharic,education,problem_shared,R withes; barc the aed s% the.,age ,P,: ,leadership,: ,wisdom,S,age_years,2024-04-18 00:18:00
mostly49-ebe9-4683-a4fe-81147fcb9643,51,Shona,governance,collaboration,: ,impact_logic,neural_shared,"2024, ",vision,: ,:-1}0.,"technology withst;it%e,ers.",: 3709s in21.,2025-01-27 14:15:00
mostlye6-24b7-4243-8795-159c229c4c83,64,Oromo,leadership,A ,: ,: ,description,,strategic_thinking,", ",age_language,0} ,,2024-04-19 10:04:00
mostlyec-d107-4595-b35b-c712ac702079,45,Shona,education,: ,domain,expertise_years_shared,domain{,O,strategic_thinking,: {,collaboration,,location,2024-01-04 00:19:00
mostly00-8824-467c-ad45-7879f5bddbfb,47,Swahili,governance,age_at,: ,wisdom,}_embeddingsolved,wisdom,leadership,recorded_age,", ",location,collaboration,2025-09-12 07:11:00
mostly08-1f41-4eec-bcd6-06dafe751d96,34,Hausa,governance,A ,: ,Average,", ",Partneredar00,resilience,expertise with,description,leadership,age_at,2024-07-29 07:57:00
mostlye3-3ba2-4975-99ee-750083885020,48,Amharic,innovation,recorded_at,S,description,age_,"_-0.2, ",strategic_thinking,problemlocation,approach_p andpiic and.,: ,_logic,2025-09-23 22:29:00
mostlydb-3d32-4e06-9a9d-7da1ba489e84,34,Hausa,leadership,: ,recorded_language,,neural00,location,leadership,domain,collaboration,domain,neural1.,2025-03-28 22:28:00
mostly3e-80a1-4ad0-8774-cc013987ce27,27,Shona,education,expertise,recorded_: ,location,: ,S in-s and a ped totero,resilience,age-1.-2.,problem_language,", ",Metcar-a: Nigeria for am,2025-03-28 14:48:00
mostly0f-39a1-47aa-b0b3-f8ae8f41faac,48,Igbo,governance,impact,_language,age_logic,: ,:age ,technical_skill,2024_language,M , ,R,2024-07-23 12:06:00
mostly02-08ba-4bcf-986c-9f604c87f82d,36,Shona,innovation,"location, ",: ,impact,S,problem-0.,empathy,domain,: ,"Ceer ce,-,1, =",",_demonstrated:",2024-05-15 12:15:00
mostly4e-1cbf-4cd1-aa9e-fe5ee694ccb6,52,Shona,technology,: {,description,wisdom_embedding,domain,"Myears--based.80.8, ",leadership,: ,", ",problem_demonstrated,", ",2024-02-24 13:43:00
mostlyb1-ee3a-482d-b406-424af369fd9c,63,Swahili,healthcare,", ",strategic_at,F,Worked_language,: {,vision,A-0.,"2024-0.18151,.",M,", ",2025-07-10 15:38:00
mostly67-397c-4b59-8746-48b649c09e0c,55,Amharic,technology,symbolic: _D,neural_solved,", ",} ,recorded_,technical_skill,2024 withser:00.,"wisdom, ",: ,", ",2024-10-19 07:36:00
mostly59-973c-4ac3-80d7-415ed33b244e,47,Amharic,healthcare,",",", ",age_thinking,adulthood,location,empathy,", ",collaboration,,C ,2025-07-26 09:43:00
mostly81-3c83-4ec2-875a-b244c7555136,50,Igbo,technology,", ",wisdom_years,approach_language,-0.915,}- with,leadership,neuraln ,strategic,location,":_logic:e, ",2025-02-26 22:43:00
mostlydf-3622-4f15-a1a5-a0aef3ca8470,22,Swahili,governance,symbolic__solved,: ,Partnered--1.00,R,recorded,innovation,,M,expertise_demonstrated,S,2025-09-24 16:45:00
mostly3b-ee55-4d72-8e9f-dd24d48481cb,24,Swahili,technology,:: ,"D_a, andni foralor t andaaliti; s",: {,"neuralat_demonstrateddemonstrated,",expertise_embedding,technical_skill,"-05-T174-T11,18",",1, ",impact,recorded_years8,2024-07-01 14:10:00
mostly99-9b3c-4bde-8a0c-5ac15101d8d6,32,Hausa,agriculture,", ",: ,domain,age_logic,} ,strategic_thinking,"C-, ",symbolicat{,}_er,domain,2024-10-04 16:11:00
mostly74-5252-444a-95ed-ca32f0230ff5,26,Amharic,innovation,}_collaboration,Ifredes.,neural_embedding,2024 and,problem_solved,strategic_thinking,"leadershiped,",approach_years,age,: ,2025-03-05 12:30:00
mostlycd-a2da-4d9b-a04f-976ae00cc7f4,60,Igbo,entrepreneurship,- with--0.064.,",",: ,Amharic,", ",vision,", ",neural_demonstrated,: ,location,2024-07-18 11:32:00
mostly55-583e-4144-98d9-7ced54be7621,41,Amharic,technology,expertise_logic,", ",symbolic_logic,age_,impact{,leadership,: ,impact,",_shared",domain,2025-09-17 23:20:00
mostlyd7-f875-4380-aeba-4609085f4e51,35,Hausa,education,approach_at,impact,primary_symbolicyears,: ,Amharic,empathy,: ,,If,adulthood,2025-08-12 23:46:00
mostly91-97fa-48ee-8605-9977b7038913,22,Zulu,healthcare,}_taken,P_,:impact,: ,"-0-0,-0;02607,, ",empathy,technology,wisdom_demonstrated,",age_embedding",age__:,2025-09-27 12:51:00
mostlyc8-16f0-43e3-ae0e-c707243bb9a2,52,Swahili,technology,adulthood_logic,", ",primary,", 4T00",", ",resilience,S ,age_,expertise0.8,technology,2024-02-17 14:01:00
mostlya7-b874-4fc5-80d2-9e388f76e6ad,45,Yoruba,governance,S,: ,: ,symbolic,B,resilience,domain,innovation,technology,expertise_years,2024-07-07 19:51:00
mostlyc5-2fe9-41a6-a94f-82d0c492b0df,62,Zulu,education,description,: ,recorded_embedding,adulthood,wisdom ,leadership,wisdom_taken,location,} ,: ,2024-01-11 21:52:00
mostly39-3685-4355-9491-23fec78b08d9,23,Swahili,entrepreneurship,: ,age_at,impact,: {,A_,strategic_thinking,,"domain_languageorar, Ethiopia",", ",neural_demonstrated,2024-03-01 01:14:00
mostly7f-536b-4084-8426-7b3441024db9,52,Igbo,governance,approach_demonstrated,}_shared,: ,L ,recorded__at,leadership,wisdom_skill,", ",H,}_shared,2024-02-04 10:35:00
mostly86-6045-4729-928e-5b1c402b16fa,52,Swahili,education,", ",Partnered,location, {,expertise_taken,empathy,2025_years,S,", ",: {,2025-06-01 07:13:00
mostly85-3e97-401e-89ff-447fa655f656,42,Swahili,healthcare,M,approach_taken,",_skill",description,impact,leadership,wisdom_solved,collaboration,collaboration,collaboration,2025-08-31 07:09:00
mostly81-f9bb-4781-a823-083844c5e694,39,Swahili,entrepreneurship,", ",A,: ,: ,recorded_logic,leadership,2024_taken,: ,A,neural_embeddingr,2025-06-14 03:38:00
mostly9a-9611-48b3-90b2-4ac8ea9b8d39,34,Amharic,technology,", ",domain,: ,impact,domain,vision,", ",: ,: , ,2024-03-18 22:20:00
mostly74-4ea1-40f6-bd9c-a8c2ed7149de,35,Swahili,technology,{,symbolic_shared,primary_shared,2025_logic,approach_at,leadership,: ,}_language,domain,approach,2024-02-02 08:09:00
mostly78-36b3-48e6-ba4f-76a74aab902d,29,Zulu,technology,problem_demonstrated,"primary, ",In,", ",C-1.,innovation,location,location,"problem,: ",approach_embedding,2025-09-27 12:51:00
mostly0c-d84f-4650-8414-c07617063af6,32,Oromo,agriculture,M}it,: ,"San, ",Ced.,"_languagepa,-1.",leadership,: ,expertise,- ,", ",2025-07-12 05:37:00
mostly5e-056a-4822-805d-a2b1c8ccfe97,34,Yoruba,technology,domainlogic,age_logic,adulthood,":0.4,1.",_years,leadership,symbolic_language,: {,_shared ,-0..,2024-03-13 22:06:00
mostly21-37e8-4106-b821-993915170d99,36,Zulu,education,":-0.0523,.43,-0T.741,19 and4,00821,.6,-.,-.1,07-1.2905-0,1., ",", ",", {",neural_embedding,}_solved,empathy,Worked,recorded0,", ",wisdom_taken,2024-08-22 09:00:00
mostly39-f199-4474-b1fb-80e3a84b1201,61,Igbo,technology,age,expertise ,: ,,"P-, Nigeria",empathy,: ,M{at;ertsation;e withs., ,technology ,2024-05-01 14:40:00
mostly59-8260-4a8d-ae79-e4d024834e14,48,Igbo,education,domain,2024or,-0: ,S,domain,innovation,:,wisdomP_skill,leadership,: ,2025-04-18 02:09:00
mostlyd1-41ff-4d28-aed3-183399818747,34,Amharic,technology,"neural-0.,24 ",M with bu- ml inc awes fing.,problem,If,impact,technical_skill,technical,U.,: ,R,2025-05-27 20:35:00
