id,age_years,primary_language,activity_type,description,lesson_learned,social_context,proverb_or_wisdom,emotional_development,location,symbolic_logic,developmental_milestone,neural_embedding,recorded_at
mostly9d-03fd-44a4-acb1-cc1d1da62ce8,3,Igbo,creative,Ti m_language,developmental_type,location,age_,cooperation,:,proverb: If,emotional_context,social_context,2024-01-18 09:14:00
mostlye5-4acf-45ef-b8ea-d80ab273aaba,6,Yoruba,learning,recorded,If the,_developmental ,H ,confidence,} ,: ,: {,primary_wisdom,2024-10-18 06:51:00
mostly8c-3229-4a5f-a264-13016a793bd9,7,Igbo,cultural,,recorded,F,emotional_type,respect,If_context,S.,_wisdom,lesson_or_milestone,2025-09-28 19:43:00
mostly33-af6e-4c84-9af4-6e1ea1e8f67d,5,Igbo,play,"-0.121859,-,.65",sociallogic,proverb,: ,respect,description,2024 a__at,", ",description,2025-06-15 19:43:00
mostly81-2344-48cf-b0b6-380853af43ec,12,Amharic,cultural,location,social_years,Nalasy; p; c.,Pan,respect,Mad-,lesson,If ,F ,2025-07-09 18:38:00
mostlybd-17ca-41b8-91a5-a6e65d380430,10,Zulu,cultural,symbolic_or_wisdom,_years,developmental,emotionalat,curiosity,P,description,", ",age_ ,2025-08-27 19:05:00
mostly53-8e91-471c-a8e9-9701f066516b,12,Yoruba,cultural,lesson__wisdom,,description,neural_type,confidence,proverb,M: {,A,"lesson-0.0718,",2024-07-27 07:40:00
mostly73-151f-4daf-9e03-8340793da88c,6,Hausa,play,: ,emotional,},"},, {",respect,: ,childhood: ,childhood_type,Aor_milestone,2024-08-11 13:38:00
mostly26-a112-454f-8da4-921b650782c8,8,Swahili,creative,S_milestone,primary_wisdom,childhood,",",confidence,: ,:00,,", ",2025-08-31 03:38:00
mostlyf7-e70b-4c50-9dac-74c6a5f073de,5,Igbo,game,symbolic_: D,social_wisdom,,M,cooperation,,A_type,age_language,primary_languages,2024-06-03 19:42:00
mostly53-0f24-41b0-a325-e4089d659d76,10,Shona,game,age_years,C, ,B.,creativity,,recorded_years,symbolic,socialr ,2025-09-28 19:43:00
mostly62-d07e-4a07-a4a5-6a8505a633c5,6,Hausa,learning,learning ,recorded_at, ,,empathy,", ",", ",activity_type,", ",2025-08-27 15:33:00
mostly2c-0135-4473-b3a7-098190a7132f,7,Igbo,cultural,: ,symbolic_or_logic,If,neural_embedding,respect,primary_embedding,childhood: ,: ,primary_at,2024-08-28 09:49:00
mostlye2-b484-45e2-91cb-2e0882c10a96,6,Oromo,game,lesson {,} {,: {,N,confidence,,_,proverb_learned,"lesson_,_years",2025-01-11 18:29:00
mostlyab-aedb-414d-b91a-7eec00082ac1,11,Zulu,learning,lesson,ageas,"If the andesoed,0a m.(3T, ",,confidence,: ,lesson,lessonor in,description,2024-05-27 03:38:00
mostly4a-e04f-48ba-a230-fb7b57105adc,7,Yoruba,cultural,description{,Rr ,Hausa_learned,S,respect,,recorded,": (iorenie wed aen-eakedyies.50 a7,-.1812,0.",} ,2024-02-25 17:31:00
mostlyef-b12f-4031-bf3f-72f796d636c0,12,Swahili,cultural,2024-00T.,age_language,: ,C_learned,confidence,description,Ifts,", ",U,2025-03-22 06:06:00
mostlyc9-f7a9-45db-87bc-c229475a3abb,9,Hausa,social,", ",description,neural_learned,lesson_logic,resilience,activity,: ,location,_years,2024-06-08 02:47:00
mostly20-4582-409a-8ab5-311c8e68090c,9,Zulu,play,developmental ,: ,}} {, ,cooperation,,description,primary_type,}_} ,2025-07-12 21:32:00
mostly5d-c58a-4c29-9938-313b8490a501,12,Igbo,creative,"Ifrr asin, then.",-2.,",",developmental_learned_logic,confidence,,N--0.,description,neural_learned,2025-04-21 14:18:00
mostly6a-9017-4a59-a662-d3bab33fb6e4,6,Swahili,learning,neural_embedding,symbolic_context,"Ifti,1",social_type,respect,emotional-ing.,recorded_years,H_language,U,2024-11-02 08:09:00
mostly38-9494-45c7-a6eb-ed1a38b1abf1,8,Igbo,storytelling,description,description,location,}} {_,respect,: ,proverb_:ing{(,location0.,}_milestone,2025-01-21 15:03:00
mostly07-8ef6-4e02-9a4c-e4a6c096369e,10,Hausa,storytelling,age_development,: ,"neurales, ",emotionaler hhoranoies nm,resilience,neural_development,If_at,2024developmentms and in.,developmental_years,2025-09-28 19:43:00
mostly18-9043-4c04-b1ac-6e47e5097c3f,7,Zulu,game,developmental_years,", {",: ,S_logicat,resilience,N,social_wisdom,T_at,} ,2025-08-31 03:33:00
mostlyc4-e557-4a5f-8df2-bce224b932e1,6,Swahili,game,lesson_logic,San,symbolic_type,social00,confidence,,"}.07.9,: ",Okts,}}},2025-04-27 00:04:00
mostly77-d54d-4104-801c-63a621dcca3d,9,Igbo,cultural,Ify the t a s f is {,_at,age,childhood_logic,resilience,neuralor_logic,,2024-,"2025,-0.290.197,0.38,0.959,-0.59159,0.619,1.",2025-03-29 06:52:00
mostly99-02e6-42cc-87ab-f1029f4541e3,10,Shona,learning,: {,: , ,",-0.6-0.2507-48.7",respect,2024-0.,primary_wisdom,proverb,Uo,2024-02-09 12:11:00
mostlyc4-2f02-45e0-8695-34a9749ae2ce,12,Swahili,cultural,proverb_milestone,respect,neural_embedding,A,resilience,emotional_context,Hausa,lesson__at,: ,2025-05-21 02:30:00
mostlybe-b0b3-4de3-89e6-dca8df29dfa1,3,Zulu,cultural,", ",,activity,confidence,curiosity,S,", ",S ,primaryea a,2024-09-27 01:43:00
mostly1a-abe3-4105-a9cf-eab923d2f35a,7,Hausa,play,: ,S ,{,neural_ ,creativity, ,childhood,recorded_at,social,2025-02-21 01:27:00
mostly23-f14f-4ef8-9648-60fae27ccb5a,8,Igbo,creative,confidence,"Min, ",", ",activity__years,respect,age_language,I,,description{,2025-08-07 08:26:00
mostly0f-ff6d-41fc-91f7-4effa81de3b1,9,Oromo,game,childhood ,I,H_embedding,"F,",resilience,: : ,developmental,"learning}a, and aging,ss).6,0..69,",I_learned,2025-09-06 06:02:00
mostlyfe-e893-4f16-a11d-f66185e76cf5,10,Swahili,learning,symbolic1.,", ",symbolic_at,symbolic_development,confidence,P,symbolic_years,2024 ,: (,2025-04-04 18:58:00
mostlyb8-3b8b-4a9b-a70a-9dda3b69e73a,7,Oromo,game,symbolic_logic,If,2025 tomc s.,R,resilience,neural_years,neural_wisdom,symbolic_learned,developmentalactivity a_development,2025-05-18 13:33:00
mostlybf-ed78-4481-bd12-9f3fb231e7ef,12,Yoruba,learning,"2024, ",Cswso witho mesi then to c,recorded,neural_language,respect,lesson_years,"M-1:00es, then.",social_logic,If- ,2025-01-17 13:12:00
mostlyb0-f3b4-4bfa-9ce6-3aef8ceb1503,12,Hausa,cultural,developmental_learned,U,childhood.,S0.6.,empathy,"Ifeas the d t h bb and fesiged,0.",:.,lesson_at,", ",2025-05-06 02:24:00
mostly6e-0a2a-4067-a05f-ef3245ce0ea5,5,Zulu,game,description,M,age_language,neural_embedding,cooperation,description.,If,emotional_years,location,2024-02-29 02:02:00
mostlydf-1295-4b08-a26f-3e8843038340,10,Zulu,game,childhood (i and si withian c the.,respect,: ,- ,resilience,-social1.0.,-_wisdom,Amharic,"2025-08,-1.",2024-06-17 12:18:00
mostlyc9-7262-4981-8f7f-1d4aefb3d4c7,12,Igbo,cultural,neural_learned,20241 {,I_context,emotionalactivity_development,respect,M_learned,neural_at,,Bandnesc,2025-05-28 08:38:00
mostly20-9717-4b8b-9105-ff1ba915b3b5,9,Oromo,physical,: {,neural_learned,childhood,C,cooperation,2025or ,activity_embedding,"social aas_e, theneoe.",cooperation_at,2024-11-11 13:28:00
mostlye7-836f-4c9a-9dfa-ebbb07cf6fb6,12,Swahili,cultural,"developmental, ",activity_context,neural__type,} {,respect,developmental_logic,emotional_milestone,neuralor_milestone,Amharic,2024-03-31 18:29:00
mostly83-c24d-4abb-97f1-20f5410fb7a4,12,Yoruba,cultural,,If_milestone,", ",2024} ,respect,description,: ,primary_language seningere.,: ,2025-07-10 03:47:00
mostly2e-fa37-4af8-b007-32b07271e585,7,Oromo,physical,", ",description,A.,Ife okshs c ine and inin {(als in.,confidence,C_language,"Mn ing_contextua, ",respect,"If{-0.59,-1.707",2025-01-10 20:08:00
mostly57-0ff9-4b60-9bee-cda4240db98e,8,Igbo,learning,symbolic_context,symbolicora n.ka ,, ,respect,primary_language,activity_development,lesson1: {,", ",2024-05-09 02:37:00
mostly64-224c-400d-8094-4d3052fb2dd9,9,Amharic,creative,,location,} ,emotional ,resilience,,developmental_embedding,age_learnedeora;_,Oiu: (ti_:,2025-03-26 04:22:00
mostly90-a0ed-445f-9ebb-7ffe494f74b0,3,Hausa,storytelling,U,,_logic,neural_learned,respect,neural_development,proverb_years,emotional_,-0,2024-04-28 07:48:00
mostlyc2-b41b-4ac8-b818-ccd43798e87a,4,Hausa,physical,activity_language,"agerh.aat, ",,primary,creativity,activity_embedding,social_learned,confidence ,: ,2024-10-18 13:40:00
mostlyfb-13cd-42af-97fc-c60cfc234fee,9,Zulu,physical,Easrere.,recorded,neural_type,E ,cooperation,lesson a_,neural_learned,"social_oror, ",location,2025-06-01 03:11:00
mostlya5-00d9-4a53-ade4-8dfa60b2554a,7,Hausa,cultural,"S aasaer, counting ar fuy.9 and,ingedu.","If ries be a and to the theesp ting, then,1.(",If ,: ,creativity,If,play,proverb_at,symbolic_milestone,2025-04-02 04:30:00
mostly90-bb6b-4074-849a-bb205d47a3c5,12,Amharic,physical,proverb_or_logic,If,age_years,"activity.3, {",respect,B,emotional_wisdom,"2024, ",emotional_type,2024-04-22 09:43:00
mostly0c-c154-4de4-8306-f595295b0c54,7,Oromo,physical,E,activity_development,lesson_logic,", 1.",curiosity, {,U,learningi mwsaltingedts and pes to berk intsot,R_milestone,2024-08-14 19:33:00
mostly0c-9947-4f8f-9cb6-9f18a4906584,3,Swahili,play,social_years,developmental_at,primary_development,Ra to b inesh,respect,"primary_language-5, ","202501,0.579,-0.501112,030.041302,-020221661..",proverb: ,"P-anding,-0.9404,0.48-2.71,0.67,0.58494,--0.0.093047,0..160,0.9300,--0.9058802,0.0406590738,-.07,-1.81.407T:, ",2025-05-17 11:32:00
mostlyb7-fd46-41d5-8cef-a778600fd378,11,Swahili,learning,symbolic_,description,"S, ","2024, ",respect,location,N,: ,proverb,2024-12-21 17:28:00
mostly32-ad68-4516-bc06-80a572c1fbca,11,Yoruba,play,primary_learned,", ",,activity_development,confidence,,C_.,age_: ,: {,2024-07-09 02:05:00
mostly0e-acb6-4879-8b14-a253cb8360f2,8,Hausa,creative,location,location,}} {,: {,empathy,lesson_ ,,"activity_, ",} ,2024-12-02 15:35:00
mostly90-05d9-4819-94a7-cfd781d6fb04,7,Oromo,storytelling,A ,,"learning, ",,empathy,developmental_type,"location, ",: ,",",2025-02-23 18:50:00
mostlyc5-1ff2-4315-b25b-0854b8ace99c,7,Hausa,cultural,", ",lesson,proverb_at,symbolic_,respect,2025recorded_language,activity_development,emotional_developmental00,learning,2024-03-31 17:53:00
mostly2d-4eb2-4761-a7a7-25c9a1c34a57,4,Hausa,cultural,"E hs:, ",,age_years,2024,respect,{ ,Ifanc.,,activity_logic,2025-03-10 08:42:00
mostly31-b70f-4899-affb-d6fd28d3a74e,6,Shona,physical,"childhood,0",: _,primary_or_milestone, ,respect,B_at, ,:00,I_s,2025-02-27 15:19:00
mostlybb-58cf-4234-86aa-e7e1b56a0676,8,Igbo,physical,neural_logic,social_language,"Ped aied p p,, ",: ,confidence,M,primary ,activity_context,emotional,2024-05-19 00:53:00
mostly6d-af8f-40b4-92cf-e918d9b0fb12,5,Swahili,play,}s}_milestone,,activity-_context, ,curiosity,: ,Swahili,: {,neural_development,2024-09-16 01:37:00
mostly88-d06c-489b-8a26-4a638d2f2012,8,Swahili,physical,activity,recorded_language,2025 ,H00{.,curiosity,K,social_development,age_type,", ",2024-10-19 19:51:00
mostly54-9553-4965-ae08-be0f97e32c62,11,Amharic,storytelling,primary_type,", ",Amharic,social_type,respect,learning,I1 a isings.,lesson_language,: ,2024-03-31 21:53:00
mostlye7-6495-400c-8239-cb29599dd38c,5,Zulu,game,"symbolic--1.47,0.081907,_at",Ifan,recorded_development,"F,-215.16",creativity,primary_language,20251.,F,age_,2024-08-05 20:21:00
mostlyf6-43a9-4582-bb82-c90b9e683a97,8,Zulu,creative,symbolic,childhood,proverb_embedding,neural_ ,empathy,Aa,age_or_at,social_type,"If c the, then1.",2025-03-02 06:05:00
mostly8c-d252-4df6-8841-eb7633984262,4,Hausa,cultural,: {,neural_embedding,social_type,proverb_} ,confidence,"Ifi {,-00.18273,0.6387245,-2.33725:,1,-.0912084-0166, ",U_context{,lesson_wisdom,neural_wisdom,2024-08-14 23:19:00
mostly45-eae5-4436-9da2-b1868b34d4e3,11,Zulu,game,,ageT_or,recorded_type,2024-0.,confidence,developmental,lesson_development,2024,,2024-10-03 07:07:00
mostlyde-45a9-42da-9849-3c3382d9f358,6,Hausa,play,Ifr and a theo singa),: ,"2024-0.38,-1:0904,",2024,confidence,",0",-_-0,Ifseds and in toalesi (m,: ,2025-06-06 13:42:00
mostly88-643f-4d26-8902-99bc843ca5c2,11,Hausa,learning,: ,: {,_language,Ifda {,curiosity,lesson_or: ,H{,recorded_development,"_, ",2025-07-05 16:30:00
mostly78-810d-405f-9ac1-9f56007da969,6,Shona,learning,location,", ",M_wisdom,"}_, 8: ",curiosity,"activitysiingen, and0.",location,}_logic,activitym,2024-09-25 23:33:00
mostly24-fee1-4dd3-b5d7-37200ac8e18a,5,Igbo,play,location,recorded,C the toiu a andyk,: ,confidence,recorded_type,emotional_at,location,I m_,2024-06-26 23:38:00
mostlyf1-afbb-417c-8364-5604e813266b,10,Amharic,cultural,age,emotionalory a ces..,social_type,location,respect,age_development,Amharic,Ifrci intsots,location,2024-06-12 13:38:00
mostlya0-3316-49fa-ab0f-b0f3d97d4b82,12,Hausa,cultural,social_context,activity ,age ,cultural1at,confidence,Cand,: ,symbolic,"Rsocialsen.ied andsot, an",2024-05-24 09:19:00
mostly80-5ee4-4df8-a36f-efbd1a7d9bc8,4,Yoruba,play,"developmental_embedding(es bskt tosw re s, .","activity-.4,,-1.2611,",symbolic_wisdom,K_,curiosity,"Amharic, {",age_type,", {",2024-,2025-09-28 19:43:00
mostlyd4-7f39-4961-bab9-a0ac6809a8b9,5,Oromo,game, ,Ifing tio mer.,proverb--_,symbolic_emotional,confidence,recorded_language,If_type,}location,: ,2025-06-24 13:51:00
mostly51-7a2d-498c-b061-2cab7a3b14bc,4,Zulu,play,C,,developmental_learned,age_years,empathy,age,Re toe) aaed bingareye c ak.,description,location,2024-03-01 09:20:00
mostly6f-24c6-4521-80f0-89c705a68a4d,8,Amharic,learning,developmental_development,",1 {",2024,", ",respect,2025 ,", ",confidence,2025,2025-09-28 19:43:00
mostly02-d946-47d8-b655-8ba5c06dda40,11,Shona,social,symbolic_development,} ,activity,", ",cooperation,", ",A,recorded_development,social_logic,2024-12-08 09:05:00
mostly43-75a8-43c6-8ef1-b86763d2bd52,9,Shona,learning,- ,symbolic_language,proverb_embedding,activity_milestone,confidence,lesson_context,socialed,P_a,activity_milestone,2024-12-21 12:56:00
mostly7b-a8a7-4815-8d1a-8caa0f68899a,10,Hausa,learning,",-1.7045,0.3709,-0.296,00.13,-0.878:,,, ",proverb_language{,Hausa.,symbolic_development,curiosity,primaryralu)ingtsa wb.,", 4{-",,Bat ,2024-10-17 13:13:00
mostly02-cb2d-4ac2-b0f0-349fa5ea604e,4,Yoruba,play,: ,developmental_development,"location a pin the wup and ts thentaa m aing s, ",age ,curiosity,age_at,Amharic,F,description,2025-03-11 13:33:00
mostly03-a4b5-4903-990e-fb674b070458,5,Igbo,physical,2024-60.5069,social,symbolic_wisdom,primary_years,curiosity,", ",descriptionr, ,}_years,2024-11-11 20:07:00
mostlyf8-ed3e-4ef7-9e93-8f3e74404290,12,Oromo,cultural,description,emotional_development,", ",developmental: ,confidence,activity,activity_or,: ,social_hlanguage,2024-07-02 12:55:00
mostly49-ee04-4d84-99cd-32a9cbc3b02f,6,Amharic,game,:,Sin_type,Amharic,If,curiosity,developmental_milestone,,location,Hlogica tan,2025-04-02 20:30:00
mostly15-04f6-4254-aed7-323fffa0d6df,7,Amharic,game,Amharic.,neural_type,recorded: ,recorded,resilience,developmental_-,developmental_or,Iiar in andsen.,", ",2024-10-07 08:59:00
mostly31-96df-4dc0-b9e3-a5c635e1c4c4,4,Shona,game,If,Swahili{,primary_development,Ayears ,respect,primary_contextembedding,,", ",}1.,2024-08-30 09:53:00
mostly24-abec-474f-a2d3-a4af943e8051,8,Zulu,game,",1.",If,cultural,developmentalneural,cooperation,", ",S,cultural,K{,2024-10-31 07:07:00
mostly0a-6c16-4dcf-8d0d-d22bc4c4a9ca,10,Yoruba,storytelling,,: ,Amharic,,curiosity,R,P the wpascsu;  h s andents to.,activity_location,Por poraing,2024-11-16 15:52:00
mostly98-e088-4754-8fa4-94406bb0733f,8,Oromo,creative,proverb_learned,location,"If pser s andoor b, ",:2024,creativity,developmental_context,If,childhoodage,lesson_development,2025-09-28 19:43:00
mostly63-3a16-4d0c-8575-6f493eeb2e98,3,Zulu,play,social_or,social_learned,agesocial_type,,empathy,description,", ",proverb,,2024-09-12 07:55:00
mostly18-93d0-4c78-aec6-27d34973a445,7,Amharic,cultural,primary_language,recordedr ingn a;ks inkash wor.,: ,primaryi-07u_.,respect,", ",: ,lesson_embedding,description,2025-04-22 11:00:00
mostly63-730d-4bc5-a1aa-3cb0e156a74c,4,Swahili,storytelling,neural_at,: ,F,proverb_,creativity,primary_milestonewisdom: .,} ,emotional ,N,2025-09-25 06:21:00
mostly9b-cee8-4d90-828a-c43ac175e270,11,Hausa,storytelling,P m.,Fsan,social_type,If {,respect,symbolic_logic,2024_recorded: ,", ",,2024-07-02 07:16:00
mostlyd7-2aef-4a28-a81a-4625112f9e08,6,Zulu,play,Slanguage,", ",description.,developmental,curiosity,"-0.1346,-0.559,0.5905,001,0.0.",respect,A ,,2025-03-25 16:20:00
mostlyef-b55e-42c3-bd67-b64554b7bd68,4,Yoruba,play,activity_logic,activity_milestone,2024_at,social ,respect,location,play,",  {",age_language ,2024-03-21 20:48:00
mostlye9-3a25-4050-963e-9c214aff374c,9,Oromo,creative,lessonlocation.,developmental_years,R,,confidence,C_wisdom,neural_learned: ,primary_language,neural_wisdom,2025-02-20 17:47:00
mostlyaa-2f24-487d-94a4-22676e406ad8,7,Hausa,cultural,developmental_logic,", ",activityor_learned,: ,respect,symbolic_embedding,}0{.,recorded,T,2024-03-10 03:34:00
mostly49-aeee-4bd6-85a5-c3433c60539c,9,Amharic,creative,social_language,age_learned,If_-,activity_type,respect,R,social_logic,social_at,description,2024-04-06 02:28:00
mostly42-e601-43aa-be77-4c079bd6032e,6,Hausa,learning,activity_context,: ,"playi fuv srl to cen the ag b s, and s toingaly.",proverb_,curiosity,{,primary,,: ,2024-11-05 22:02:00
mostlyd2-36ca-438a-b94c-5646651a7594,11,Amharic,cultural,}proverb_embedding,"Rore with hu s ina)des.e, ",recorded,social_context,respect,: ,: ,: ,recorded_years,2025-08-16 12:47:00
mostly45-8742-4452-abc4-94b4486eaacd,5,Hausa,game,O,", ",", ",location,cooperation,symbolic,confidence,childhood,symbolicemotional.,2025-09-28 19:43:00
mostlyda-0c0a-4fb9-a777-2b686ad5662b,5,Zulu,storytelling,R_type{,primary_wisdom,},age,curiosity,: ,proverb_development,S f_at,symbolicpy andp_ater the.,2024-04-02 03:47:00
mostly1c-19ea-493d-99c1-9ef271b70110,12,Swahili,cultural,,recorded: {,activity_type,location,cooperation,social_a,", ",social,P (ed) (ste otiryaaaean me,2025-04-11 13:59:00
mostlyeb-0c1a-4714-8e20-3b580d388217,7,Igbo,cultural,location,M_type,activity_milestone,Klocation,cooperation,", ",,", ",activity_symbolic,2025-06-26 05:40:00
mostly33-5ac6-4002-b71c-33f858c9fd95,10,Zulu,game,neural,activity_logic,neural_learned,2024,confidence,,2024,", ",recorded_or_years,2024-03-21 19:21:00
mostly5f-3bd0-49aa-8783-85474405f1e8,12,Igbo,physical,social_type,symbolic,locationas,symbolice,empathy,R,,"proverbemotionalsuugieri m,-ysude a and and,edas;an.","Amharicing b.en s; csaan aaar and and aa andiingtaes;, and.",2025-09-28 19:43:00
mostlycc-5041-4318-8af4-886b9742893c,7,Hausa,play,learning,", 6",M,age_language,respect,location,location,: ,age_years,2024-07-05 16:59:00
mostlya7-ab54-4606-8bcf-eda4dddbff6e,7,Amharic,cultural,developmental_type,activity_years,socialarana s m.,symbolic_embedding,respect,U,recorded__context,"Ifee and in f pa.v f theu.,3es,.",symbolic_logic,2024-09-27 02:59:00
mostly49-1bb9-4197-97f5-c278ab0372a5,4,Amharic,play,F,description,social__atk,Eorpen main.,respect,: ,neural_wisdomcontext,social_logic,social_development,2024-03-05 16:20:00
mostlyd5-aca3-410b-a756-46cef31fe541,5,Igbo,play,P,recorded_context,: ,age_milestone,cooperation,", ",recordedt aas-.,P,C {,2025-09-28 19:43:00
mostlyf1-7a4e-46fc-b527-2c805583d215,10,Swahili,social,symbolic_type,emotional_language: ,"childhoodr, ",primary}.,resilience,Zulu_learned,"activityer the, then.",2025,"Sas-sing,-0.59176,,.08.58, ",2025-09-28 19:43:00
mostlybb-5bc0-421c-920b-78d79d42749a,5,Igbo,social,developmental_at:: ,{,primary_years,", ",cooperation,Zuluembedding,} ,recorded,neural_e.,2024-08-22 17:55:00
mostlyd0-3d56-45dc-a935-18f598e15c8e,7,Shona,cultural,neural_ ,lesson_,primary ,",0.",empathy,proverb,symbolic_yearsembedding,: ,"2024-10406,1.391.56,-0.",2025-09-28 19:43:00
mostlyae-8120-40e6-a8f8-0ae57c8bb61b,12,Hausa,cultural,20240.256,,: ,activity-2.08,resilience,symbolicr.,: ,description,confidence,2025-05-01 13:19:00
mostly82-dd04-42bf-baab-0ccbef8ecbb8,7,Oromo,physical,,activity_embedding,P,lesson_milestoneusk,confidence,"If-.165,0.0905.1,0.63,044,-0-.",Swahili-1.,M_i ,primary:al,2024-11-03 05:51:00
mostly54-06ba-464e-b308-ced915771199,4,Swahili,play,proverb__context,}}}at,lesson_years,symbolic_years,resilience,Ifan the mmas andts.,emotional_type,},C,2025-09-28 19:43:00
mostlya6-1851-4643-af50-89208edeec53,12,Yoruba,cultural,", ",", ",", ",S_at,confidence,emotional_at,2025,C_development,}} aorke withar ss,2025-04-13 05:59:00
mostly94-c9c3-4093-b4a1-f727b91fe658,6,Yoruba,social,recorded_or:} ,emotional_development,primary_embedding,", {",respect,activity_logic,activity_wisdom,}},"emotional the_ores, (es",2024-09-03 07:24:00
mostly3c-e28b-430d-ab17-46f504415dd9,4,Igbo,creative,C}.,recorded_at,", ","}, ",respect,childhood,activity_learned,Ifeass theph.,description,2024-02-21 22:17:00
mostlyf8-88d1-45b6-a924-c80f2ce22b89,12,Zulu,cultural,recorded_language,", ",", ",activity_development,resilience,symboliclesson_developmentor with h aal.,"Ifdder, s1 andses ",H_development,2024,2024-03-03 04:26:00
mostlya4-7119-45bd-8c4b-bc35156eb3b5,5,Zulu,storytelling,primary_years,activity_learned,: ,P,curiosity,,P,"age_years, ",K,2024-05-02 18:02:00
mostly3f-440d-4d9d-8d2d-6a9f98ebcece,7,Zulu,learning,", ",proverb_learned,", ",recorded,confidence,activity_context,description,: ,neural_milestone,2025-05-23 09:47:00
mostly96-52f1-4ab9-b2a9-3028ac1ca60e,3,Hausa,game,primary_at,,location,developmental_as,creativity,"Amharic-s9,-1.3,4T,0,-0.65",", ",No,P,2024-06-30 15:37:00
mostly91-db46-413a-9a4a-762452fbb5f3,9,Igbo,creative,"socialpaleasts  a,i t.",childhood,childhood,", ",respect,2025-01: ,activityat,", emotional",developmental_type,2025-02-26 05:29:00
mostly54-b86d-416f-868d-14eea1cf2e7d,6,Zulu,learning,age ,,activity_at,developmental_years,cooperation,If{,:age,P,neural_embedding,2024-12-30 16:33:00
mostlyca-2465-447c-859b-5c4b81bd569b,3,Amharic,cultural,age_: ,", {",locationr,primary_language,empathy,", ",neural,social_at,"neuralm:0,0.380.03-6,-0.",2025-06-23 07:02:00
mostlyee-211b-4158-83ab-ba2433934893,7,Amharic,cultural,primary_embedding,", ",If sesa.,location,respect,symbolic_years,: ,N,If,2025-02-09 21:07:00
mostly77-c40c-44ad-b1a2-9d7db1df72f3,11,Oromo,learning,_language,E_or,Rtas h toaru s t and.,: {,confidence,},",-00.02,010915:, description",If_language,age_milestone,2025-02-17 02:40:00
mostly04-862e-40be-a0b2-959a42fc1ef4,12,Hausa,cultural,neural_,: ,} {,K,respect,learning,symbolic_milestone,{,P_or,2024-04-10 23:49:00
mostlyd6-9f8f-4a30-aaec-6edb1cafdd19,12,Hausa,cultural,age_learned,primary_language,2024-1.,I{,respect,emotional,location,description,: ,2024-02-01 17:28:00
mostly56-1e76-4dc6-837e-29b8ffcbdb57,6,Hausa,learning,2025al,primary_milestone,social_milestone,: ,confidence,symbolic_development,"symbolices m theek and f and wither b, then ",emotional a fesc the,Ifer in toa.,2024-07-19 01:33:00
mostly24-1fcd-42d4-afac-7006f92316b7,6,Amharic,storytelling,Swahililogic,play,social,", ",respect,lesson__embedding,confidence,If_type,"If aa he a wing to( wit, and st hal",2025-09-09 15:27:00
mostly47-672f-44f5-9b3b-578a804e8611,3,Oromo,game,proverb_language,: ,C_ ,description,resilience,Zulu_wisdom,symbolic_or_development,: ,age_wisdom,2024-07-19 17:24:00
mostlyc3-f961-4fa3-852c-5611dd9dd35d,11,Swahili,learning,age_wisdom,R ,O-1..,P(u saoed).,confidence,activity_logic,P,location,ageand (iu a s ss and h cs.,2025-09-28 19:43:00
mostly99-5736-4494-b823-b9824d923673,8,Amharic,storytelling,T_learned,"}--.08.6669501,,0.1.1627,12-0108T:, ",Ifm,emotionalata inao k c a nar a)(esatyali,empathy,developmental_type,Ifw_or,__wisdom,developmental_learned,2024-12-22 20:38:00
mostly36-5db9-440e-bfd2-de58dd7fdf1b,10,Oromo,physical,"lessonora a, ",primary_context,: ,S_at,confidence,neural_or_wisdom,activity_,: ,childhood-1.07360.,2024-01-26 15:38:00
mostly7d-72e6-4f9e-a649-1492d72add2d,12,Yoruba,cultural,", and}T hs {",S ,Sr,2024,confidence,"Zulu, ",}recorded,"_at, ",F,2025-02-03 22:00:00
mostlyb5-0c2a-40aa-a836-60e592db3177,9,Zulu,learning,If: ,lesson_or,", ",activity_learned,resilience,social_learned,R ,symbolicat,", ",2025-09-01 16:28:00
mostly39-e56c-4725-82e1-0993bcd4850c,10,Hausa,social,lesson,"activityatoring f;s and ced m andts;sk., ",age_at,", ",respect,neural_language,2025r0.,childhood,Hausa,2025-05-13 17:18:00
mostlyfd-5fa3-4129-b0de-dc6138d6ebdb,4,Hausa,cultural,H_logic,emotional_years,", ",Hausa,respect,emotional_milestone.,2025_context1c.,: {,", ",2025-04-30 02:37:00
mostly8f-49fb-485b-b8de-1ba019ba766f,9,Oromo,social,age_languagea,emotional_}} {,age_},: ,confidence,_wisdom,S,", ",neural_language,2025-09-28 19:43:00
mostly59-a84b-4d99-8bf2-fad39cdeef79,3,Swahili,learning,description,description,,social_language,respect,Enr,: emotional,"social_oraoriaua s, then.",Zulu_milestone,2025-01-06 09:07:00
mostly8e-990c-4dc1-9624-27b8bdfa26e0,10,Oromo,storytelling,developmental_learned,primary_wisdom,symbolic,: ,curiosity,20240,2024_or: ,2025-04 and07 ,proverb_embedding,2025-05-13 07:34:00
mostly79-c19e-47cd-a5de-b58a3c44b46c,4,Yoruba,storytelling,developmental_at,: ,age_milestonei,: ,respect,"As theinu, andal.",} ,: ,S_development,2025-07-03 14:28:00
