id,primary_language,cultural_element,description,meaning_or_purpose,historical_context,modern_relevance,transmission_method,region,symbolic_representation,wisdom_encoded,neural_embedding,recorded_at
mostly4d-b18c-425c-98a5-6336f798816c,Igbo,festival,culture,neural: ,meaning_.,: ,{,primary_element,wisdom_at,M_context,To ,2025-09-20 19:39:00
mostlyea-a83f-4095-a836-e193dc090b3e,Yoruba,proverb,To ,-speaking,Zulu andedc of.,: {,transmission_context,meaning_or_language,meaning_purpose,To-speaking ,: ,2024-02-17 07:45:00
mostly6b-0ede-418a-a6dc-60bd51fc33c7,Swahili,festival,"description0.9005,0..3,0.47.6.04.6,-10.05901T9,.9 and7-0.-,0.16,, and.18",2025: ,{,C,historical_method,Hausa,,2024 {,neural_at,2024-11-27 09:23:00
mostlye0-8570-449c-a36a-e3afd834ff4c,Swahili,festival,2024 and g,cultural_element,So,recorded_at,festival,culturee,2024 ,B ,", ",2024-09-04 22:01:00
mostlybf-1f2d-4ed3-852b-1525d6aac6e9,Zulu,dance,region,"Ber Africa, ",Oraleple in ,"2024-0.21,0.08,-1.4,-0.,23167,0.283952314.07,-060.5.103",music{,festival{,transmission with_por,,"2025,-0..590539,-0.819-040.5",2024-09-01 08:04:00
mostlybc-dd99-40b2-9189-84fc3ea45a31,Yoruba,craft,"festivalinger ofi and,, ",Oral in-speakingingaed,historical_language-representation,Oral_,wisdomd, ,"Esies, ",,: ,2024-04-02 01:59:00
mostly7b-e4ba-4dfe-8673-9f9080e5fe05,Swahili,dance,R,}} {,neural_representation,primarylanguaget ,"C, and c drity andedcing and and cultural.00 and social,1.6",,symbolic.,,symboliccontext,2025-01-11 02:47:00
mostlyb7-01ee-44d5-bac6-7d294c2b7163,Hausa,craft,recorded{,neural,meaningpurpose,meaning_element,,", ",", ",", ",transmission__representation,2024-11-01 09:32:00
mostly5e-5567-4b2d-9695-42cf40bc0934,Amharic,dance,2025-T,: , ,-071,C_element,Igbo,recorded_element,"-speaking and,.",P_at,2024-06-06 22:49:00
mostly18-4c2a-40e0-a1be-90a038a78855,Hausa,dance,:,", {",cultural_representation,"2025}-64020.4.03, and0.",}culture,festival_}relevance,: ,"To inin,.",", ",2024-09-17 07:34:00
mostlyf3-7876-49f6-9cb9-d3995fc7e6d2,Swahili,folklore,: ,"M,-0.01010016,-0.333,00.63,-0.927,-2,0.729705-T23, and,03,-1.0.6,0.-01.,0.",culture,: ,} ,2024recorded: ,transmission_encodedembedding,Shonaaingann and withcannanle sociala a inering.,music,2025-08-02 23:20:00
mostly5e-1e71-4388-a7fc-f8d0e07a24db,Swahili,music,transmission_method,symbolic , ,transmission ,:,modern_relevance,"2024-0..036,-_170.",primary,symbolic.,2024-06-26 13:06:00
mostlyf8-e046-4fd7-9962-113ebc78cac0,Igbo,craft,recorded_at,Shona_element,neural_or,region, ,neural,"meaninges andslin, y",W intdm.,To,2024-06-22 08:00:00
mostly11-1f8f-4963-a679-7eba6310f54d,Swahili,craft,"--0_.71900:-1T.6,-",symbolic_representation0.,historicallanguage: ,transmission_relevance,"Yoruba Africa.,",M inai de.,", ",Pri,cultural,2025-09-20 19:39:00
mostly6a-6eb5-4dea-a9c9-37fcf4dcc38c,Shona,art,modern ,music,,neural_s.,"2024-439,-23 ","modern in_purpose:1,{80.08-0.047",", ",neural}es,primary_context,2024-10-28 11:32:00
mostly9a-e3d2-44ac-a420-bcbf9492e7ce,Hausa,craft,"primary_representationin1.7,",Igbo,primary_at_ and_encoded,modern,symbolic0.-,symbolic_,"dance,--1-.728:2,-04740.00",-1-18.,Swahili,2025-02-19 14:32:00
mostly8d-9467-4a21-8404-a1f539b89cf9,Oromo,dance,: ,cultural_encoded,Py,,modern_purpose,primary_: ,M_purpose,- ,},2024-01-04 10:20:00
mostlyce-2785-47d4-b8e0-b4577997977d,Swahili,dance,-3 {,{{,primary_or,primary_element::,Swahilies ,symbolic.,historical00,Mering_encoded andpes.,2024 ,2024-08-27 12:45:00
mostly95-8f60-4217-8e98-35ea61fc89d7,Swahili,ceremony,Shona_relevance,T-2t18,East_representation,neural_es,,"-speaking3-0.02,0611,,109-,0.6193,1.5066-8,-11.56,4-0.",2024: ,neural_encoded_,culture Africa,2024-07-20 07:34:00
mostlyd2-88c7-4c8a-bfde-04c9ebcd08e9,Hausa,folklore,symbolic,transmission_T,: ,recorded_purpose,: ,meaning__,{,", ",", ",2024-09-27 11:04:00
mostlycf-166e-4673-9f27-3c4866bfbc61,Oromo,festival,Eastin ,transmission,historical,meaning,Amharic_ and ,"To1 f,0..7011 and,5,-0.712,0.6-03-2T regions.,1.01",historical_relevance,historicalt,Sk_ ,2024-02-17 18:49:00
mostly8a-9048-49cf-8067-a7c4aaf622d7,Oromo,dance,Tor,meaning_element,Gd asp ofed p in.,neural,Igbo,transmissionat,,"recorded--.0638115486.905 and6, and.936, ",Igbo,2024-04-06 02:58:00
mostly64-3c41-45b7-be4e-51bd89317f48,Zulu,music,S: {,C ,primary_purpose,Shona,symbolic_ora,W,B,wisdom, ,2025-04-11 23:04:00
mostly94-8493-4e0f-a516-e95cb9a28628,Zulu,ceremony,primaryes c,primary_language ,: {,"-7-speaking1.81738, and156,speaking",description,: ,W0,"neural, ",primary_at,2024-06-27 13:40:00
mostlyd2-428d-4d0a-aceb-7af78a2e4201,Amharic,proverb,C,culture,transmission_context,"neuralerT-04 and gm, andesle_, and f.",: ,, ,Grecorded: {,", {",2025-04-30 02:24:00
mostly80-6da1-4a6d-bbcc-28f276fa0b75,Yoruba,craft,region_,: ,", ",cultural_relevancerelevance,"A in thes.5,, ",modern {,: ,"2024.-8,0.6,-1320.0.19630.407,170.1.59,2.0-speaking29,0019ing3",symbolic_context,2025-08-20 04:09:00
mostly32-a8fc-4d56-b172-f2ec6ccf6639,Hausa,craft,wisdom,", ",W.,wisdom_element, ,"cultural, ",,"Swahilies, ",: ,2024-03-14 20:26:00
mostly74-e7f2-4d94-b7bf-2cd345a11c97,Zulu,craft,} {,Cesyl.{,", ",cultural_element,cultural_encoded,symbolico,culturea,recorded_relevance,: ,2024-10-01 06:33:00
mostly42-b8d8-47c9-8898-5020aac539a1,Shona,craft,recorded_representation,,,Toen,Pdes,M_,primary_at,W ,}or ,2024-01-01 18:38:00
mostly48-b223-4452-a4c7-6887406dbf82,Yoruba,craft,"C in, withar and,, and and community per and, cultural s and and to-0.-03..29,0-1450.2514,-0.701490.48,-28.04,-,-1.403,-1.,1.",wisdom_element,"Southwesta and communalls the, ",S: ,: ,modern_embedding,", ",description,"historicalcontextuationits and a f and communalealmaling and ofiny and ac social.4,.",2025-02-19 23:47:00
mostly7d-5392-422d-804f-d4c1931f6c9f,Shona,ceremony,":  Africa0.5,",P: ,}}}} ,neural: ,symbolic_method,"Shonahistoricaledi-deeb, and and re music.",: ,Igbo,-,2025-05-30 04:06:00
mostly0d-8cb3-48d1-844f-f294444e1600,Amharic,festival,M_encoded,Igboen,: ,"Cer to, and social.", ,: ,: ,,neural_at,2024-04-02 02:19:00
mostly35-9148-48d6-b28b-31dbf1fa482c,Hausa,festival,wisdom_purpose,modern_encoded ,Mernin and cs: andoing b and family in in c.,M_at,R,region,: ,",}",2025,2024-05-30 07:41:00
mostly09-d4d0-4e22-8c2c-88f28c8dcd6b,Swahili,ceremony,primary_language,{,C,,region,S,", ",neural_,{,2024-09-17 16:33:00
mostly75-885d-4e5f-b835-9335de0c717b,Swahili,folklore,festival,}: ,transmission_embedding,symbolic_encoded,A,modern_relevance,"Easti,-es andesing, social wing,-bar,-050.27,0,1.0609,-1.86001,0.545-speaking092,021.-.12232,08,: ",Yoruba,primary,2024-04-18 13:04:00
mostly10-b751-4675-bf7a-fe514ecab09b,Hausa,dance,: {,: ,2025_-9,wisdom_embedding,description,transmission,dance.2 ,D,historical,2025-09-20 19:39:00
mostlyfe-ffc6-43c7-aa62-88ce82d02a21,Hausa,craft,2025,Ceed ,P.,Oral,region,transmission_purpose,",} ",recorded_purpose,Igbo ,2025-08-20 17:22:00
mostly7e-293b-465b-bcb4-ac0fa88d008d,Swahili,art,transmission_method,"description,",recorded,: ,To: ,,",-19,orembedding- ,-0.1913,-10..1225,1.","Ariests and spic, andal, p community.",primary_method,2024-12-31 04:13:00
mostly34-bcb6-4eb8-b277-8869706a3322,Yoruba,festival,", {",primary- ,C,"E,- and7,-0.3",,Yoruba_context., ,wisdom_encoded,primary2024-T-T:08: ,2024-03-01 14:37:00
mostlyf6-ec79-4e74-864d-26a68d6d78bd,Swahili,ceremony,neural.,description,Oral,}culture,"wisdom_,-008.519,1-0.250.8,-0.2148-0.",Zulu,",",recorded_at,Swahili andall.,2024-02-21 18:03:00
mostly43-df0e-4c46-b252-0c785b754ba9,Oromo,dance,2025o ,_at,Cer in.,neural}context ,description,symbolic_,cultural_embedding,symbolices,"neural_-0.05,36-0237",2024-05-01 10:09:00
mostlyb4-5272-4e5c-9794-d7162dbe1260,Swahili,dance,cultural_,cultural_language,: {,"primary, ","-1.72308,",meaning_encoded_representation,primary_element,festival,modern_purpose and,2025-04-16 23:13:00
mostly7e-11fe-44eb-8307-86c13c7f30ea,Yoruba,craft,", ",}_encoded,culture,2024__encoded,To c: ,region,"Southwestingaldf and hs, { with fesees.",music ine.,In_representation,2024-05-20 05:58:00
mostly23-446a-4427-8078-5638c5f87b6a,Zulu,ceremony,"Tods,.",wisdom_at,wisdom_:,wisdom_context,wisdom_element,E,culture,description,Amharic,2024-02-15 16:20:00
mostlydc-f82a-4c9e-b694-e40c8784f44e,Swahili,ceremony,neural_embedding,primarysymbolic_purpose,"2024transmission regions,es1.1.56","-0.1117,-0,.702903,-T00speakingor-0.",Oromo-3-T: ,"neural Africa and, and.",: ,transmission_elemented.,Swahilies.5,2024-05-28 05:28:00
mostly1b-9481-4174-85ea-575b5cd490db,Yoruba,craft,culturall,historical_,Southwest,Southwest,"2024-0.09.06.9, and,-06190.57",: ,,historical_contextrepresentation,region,2025-09-20 19:39:00
mostly83-a957-4bd5-a98a-270785416776,Igbo,festival,meaning ,recorded_relevance,2024-0.56,: ,culturalat toingo and community and cultural and communal communal.,region,2025_at,: ,:atan ofceda.,2025-09-20 19:39:00
mostlyc3-08af-49b5-9eb9-970f95e971f4,Hausa,folklore,symbolic-07-or: ,symbolic_at,description,symbolic_representation,symbolic,primary_relevance,"primary,-0.86,-1.5",culture,Togasw,2024-04-21 14:43:00
mostlyd4-b33c-4754-b06b-df20ac9771b8,Swahili,proverb,historical_representation,transmission_at,,"primary_oo, ",symbolic in-speaking ,transmission} ,"Oromo0.,-0.1,23.18,-0..4,08.106,0.,0.",In-0..,modern ines and.,2024-07-22 22:08:00
mostlyae-27ac-4c7d-b7ac-c2509bb81709,Yoruba,dance,"meaning_languageeing_ and cding and inenicf, and socialan social ofo aity-m in s,e f",Oromo,", ",symbolic_representation,: ,culture,: ,recorded_at,M:00,2024-01-14 18:58:00
mostly8c-8c9c-4d81-9c58-fe9731550882,Yoruba,craft,: ,: ,primary_at,2025 in: ses,"modernao anding and, and music.",}_} ,modern_element_purposerepresentation,Oral Africal-ing-0.,,2024-01-04 18:10:00
mostly55-b7e8-493b-a648-4a17730533dd,Oromo,festival,Igbo,neural_purpose,_relevance,"-oror68,-0.",Amharic,To ,"Cbicd sd through, ic.","202400a Africa,1e and-.","neural_0.2539T,7,, and0.",2024-05-03 11:53:00
mostly84-ce19-434c-b86b-10849c464d32,Yoruba,music,primary__method,modern_relevance,symbolic,,region_,Oromo,modern_at,P_element,In.,2025-02-17 13:21:00
mostlyad-44fb-4ff0-9167-579bf4558777,Yoruba,music,Ph,meaningcultural_representation,neural_element,historical_purpose,,To__element,Shona-09e.-03}: ,culture,cultural_context,2024-04-01 16:22:00
mostlydb-7332-4416-baaf-8df404ed60c4,Yoruba,festival,"202410119, ande0.-,,,-047.0241,-1.",Shona_encoded,"recorded-0,-107,-0",: {,transmission ,S Africa,cultural,,primary_method,2025-09-20 19:39:00
mostly1b-f915-4305-bf63-a726efa57cf6,Swahili,craft, ,neuralord community and.{,wisdom_at,primary_language,ToT ,East_encoded,Zulu,wisdom ,meaning_element,2024-02-29 09:12:00
mostly69-1b7c-4797-8d2e-1a47086d23ef,Shona,festival,"PT Africa to fy, ","symbolic-T,-10.",culture{,primary {,: ,culture-speaking,culture ,: ,: ,2025-06-21 21:29:00
mostlyc3-450b-46a4-ba74-a9d4cdab5bf8,Shona,dance,cultural_at,", ",primary_relevance: ,"M in in and community cultural.49ing,, ","-speakingc, ","wisdom--18, and.14",: {,:,culture,2025-07-02 05:53:00
mostly8d-780f-4a8f-9952-34f553fa6793,Oromo,craft,cultural_context,{,modern ,historical ,{_encoded,meaning_embedding,2024-Ta-02,recordeda,: ,2025-09-20 19:39:00
mostly93-56f2-4f20-8a92-0cdcc9bab644,Igbo,proverb,wisdom_embedding,} ,meaning_relevance,historicalencoded s in fle ofa-m:u.,}_context,modern_at,recorded_embedding,A_embedding,meaning_method,2024-03-25 03:07:00
mostly48-ab38-49c0-8e2c-819b907e6cc8,Shona,craft,: ,: ,"A toye socialu, ",Oral,: ,W, ,Igbo Africa ands andt.,description,2024-02-25 17:48:00
mostly8d-4388-4693-afd6-0d67198ed3f9,Amharic,festival,transmission_embedding,Rao socialing,recorded_-,"-0.15,1.",transmission_,{,: ,"historical_or,-.",recorded_representation,2025-08-24 05:10:00
mostlyb6-fd36-45d2-8af8-75d45ec4c952,Zulu,dance,C,W,neural: ,S ye,"Oral of, and cultural.",wisdom,R,"music_,} and and, ",,2025-09-20 19:39:00
mostly3e-ae49-449d-beb0-7cf49d0244eb,Oromo,dance,Sort_relevancey.,primary_- ,Zulu_.,recorded_ Nigeriacontext,: ,P,D,",", {,2024-05-14 04:32:00
mostlyd2-4b5e-4ee7-b11d-90b23e3b4792,Oromo,festival,"In, and and f siins:- and communityeen",: ,: ,: ,"Mps,, ",primary,"Oromoor in, and community andaliede.",symbolices,neural_encoded,2025-09-15 06:05:00
mostly61-81b8-4cd6-891b-554c0a0f6951,Oromo,art,S, ,: , {,-T:. ,", ","festival, family",regiono,C,2025-04-27 09:00:00
mostlycc-c56d-4924-8f9b-2738c841f3c3,Hausa,proverb,A .,: ,", {",region,: ,wisdom,,dance_representation,East_purposed,2024-03-31 18:46:00
mostlycf-3b8d-4bac-b9b0-575fac7624cc,Yoruba,proverb,",: ",transmission and aes.,P,"B of (,- ped and the.",: ,region,", ",meaning__or_encoded, ,2024-08-05 04:04:00
mostlyd7-e9c4-43e3-b049-ceb24b5d3f00,Yoruba,ceremony,historical_,Oral,", ",culture,_element,", ",recorded}_purpose,"-0.1.012.8,-0.180648-03231.5903502,1,-090.77030,0.563,1.2.4, and.77,1.",culture,2025-09-20 19:39:00
mostlyc0-3b48-4cb7-8adc-f1fe396c9c96,Zulu,dance,P.,description_representation,description,S ,culture,modern_element-01-T-1:00s,cultural__element,: ,} ,2025-09-20 19:39:00
mostly95-9cc9-45e5-ae56-bb12cf00948b,Zulu,dance,"recordeder.4,-07-0.663701.022914,0.9125,-019,-30.326T0.11,01,60.-1.4597}261178,0.4,87015,",C,",0.0.0786,,0.4",meaning_relevance,Amharic,Ryic,region,transmission Africac andes ees of,Shona_or_or_purpose,2024-02-29 20:01:00
mostlyc3-a4b6-4c06-b310-98e23aad774d,Shona,craft,: ,To}ing re.00,2025 ,: ,",-0.363,3172,,1.950226, ,-0.30517,-07-0.1564603-01.3,0.38.20,-6.6050.8705.3803,0.72,,--1.04 and215.19,-0.4,,0.2.",meaning__method,dance,- ,wisdom_element,2024-10-02 11:05:00
mostly82-3cd9-4cd2-a792-e0f57538a09d,Zulu,ceremony,"-,0.7,0.95",: ,C{,Meslsing and cultural s and.,M,Igbo,"Perang.38d fp, ",wisdom_,region,2024-09-13 16:20:00
mostlyd6-ec80-4667-9196-575a374c4e82,Yoruba,festival,", ",", ",symbolic_,-speaking,":0008100 and cultural.,.4088} ",Hausa,modern_context,symbolic_encoded,meaning_0.,2024-06-08 07:03:00
mostly13-ec49-449e-87e6-b39bbe852447,Amharic,music,To0.,: ,primary_context,C.,Mafin and msats.,meaning_or_or,modernrelevance_element,culture,"historical, ",2025-04-08 03:50:00
mostlybc-91a0-42a4-8f01-347f68c9c623,Yoruba,craft,symbolic_or,C,S,primary_encoded2-representation,music,"dance-.21-04,,",historical-,transmission_embedding,C,2024-06-15 13:12:00
mostlya5-17da-444a-acad-86a2e79b997c,Igbo,music,wisdom ,region,Zulu:,: ,description,neural_at,_encoded,_embeddingrepresentation,: ,2024-03-20 16:23:00
mostlyf6-c072-40c8-b820-c17744d90897,Igbo,craft,Toa_method,cultural_method,-1,: ,culturalbing.,cultural__,: ,symbolic,P-a: ,2024-06-16 04:42:00
mostly0b-bd96-4a27-a7d3-f912fa078175,Swahili,ceremony,Shona,meaning_embedding,Igbo,{,modern_context: ,historical_ Africa_encoded,description,recorded_at,{-05-1.0318056.9,2024-03-21 18:01:00
mostly08-328e-44eb-a27e-8666f189314a,Amharic,craft,: ,wisdom_encoded,S,Igbo,: ,}}_context ,transmission,descriptiones,Amharic ,2024-07-18 04:20:00
mostly15-dda7-44f8-ab85-d0c00888fbbb,Swahili,folklore,Toern in and s c,historical Nigeria,: ,P_embedding,neural_languagei,historical_relevance,A ,: {,culture,2024-01-10 09:34:00
mostly30-f69d-420f-9523-6cc0cfe76c7b,Shona,ceremony,wisdom ,dance,neural_relevancerepresentation,"2024-0.22817,0411,9-0.59014,-",wisdomencoded,transmission_contextsesin,", ",historical_or,R,2025-08-30 03:15:00
mostlyea-2eaf-48f4-b832-29405bb58014,Amharic,craft,,Can,2025-ing08:00,modern_element:00,meaning_purpose,Pen in f social and communal cu,wisdom_element,transmission_encoded,transmission_relevance,2024-01-28 02:09:00
mostlyc0-d3ba-42b5-8573-534656e6eba4,Igbo,dance,"wisdom and00 and music and.,-",meaning_,primary_context and,,description,",-0.",_-0.1802280.91.,historical_purpose,neural_representation,2024-05-06 11:40:00
mostly7d-3fe9-4432-8881-ef9dd1c1ed1d,Yoruba,proverb,", ",: ,Oralletmasingup iny a.,-,,Igbo ,neural_ aat,Swahili ,} ,2025-05-05 12:38:00
mostly91-ad14-4adf-ab78-04dc682a0591,Yoruba,music,-1.8-0.50.07.,: ,historical_purpose,Igbo: ,regionat,Zulu,: ,Easteop ofoan.,,2025-02-28 22:38:00
mostlye3-5292-43a1-9c6d-bea6507cb4b9,Swahili,ceremony,primary_language,meaning_language.,meaning ,Amharic_oror.,: ,"2024-TT,-16transmission in, and ",,neural_representation,",t",2024-11-26 11:22:00
mostly10-fef0-4591-bd66-1e89debc898d,Amharic,dance,historicalrelevance,symbolic_element,{,historical_relevancees{,",0.",_encoded,2024,region,region,2025-02-26 10:33:00
mostly33-757f-47f5-8062-46d99b83fdab,Igbo,folklore,: ,culture,G_or_context,:,description,"Oromoy in and h md andingingfs,-1 community-d0.2970.3,19-0.38837", ,description,2024,2024-09-08 10:38:00
mostly4b-9923-4701-9472-72443dd6fd8c,Igbo,craft,: ,}{,2024.,modernsp ,}_relevance,} ,culture,"Ber inu:ingole s and communalaring and community and fal,i social social and g in.",transmission_representation,2024-02-26 22:23:00
mostly7d-37bf-40d2-9e6d-fa94195d288d,Oromo,music,",",description,Amharic,", ",transmission_method,region,P,meaning_context,,2024-07-13 16:10:00
mostly84-2c75-473b-b743-2311add13cb6,Amharic,art,primary_at,culture,modern_relevance,PT.,: ,cultural_method,: ,region,: ,2024-09-09 13:51:00
mostly44-74c5-4321-8a09-5e9e56a1b00a,Amharic,craft,primary_representation,: ,,S_language, ,Southwest,symbolicing to and socialy dt.,Yoruba,", ",2025-02-14 04:32:00
mostly27-bb99-4941-87ec-c44a2538e14a,Yoruba,craft,: ,Meryesy,To,,primary,: ,culture,: ,symbolic1 se.,2025-09-20 19:39:00
mostly68-5774-48ce-aba4-d7cd829ffbbe,Igbo,proverb,modern_or_purpose,cultural_ and,Yoruba,primary,: ,C ofr sity and community e,description Africa.,P,", ",2025-06-07 16:46:00
mostlya2-dcb7-4b98-a189-ebcfaedb9016,Swahili,folklore,culture,region, es,_ Africa_purpose,primary,neural_embedding,", ",culture,cultural-09_embedding,2024-02-19 17:52:00
mostly28-3ed3-4557-954b-0e3a8f428dba,Amharic,folklore,"neural}, ","Shonahy,1",description,modern_or_encoded,: {,In_method,Oral,", ",,2025-09-17 08:31:00
mostly25-6bf6-45b1-98ec-7a3a4db7f0c5,Hausa,craft, ,B,"2025-speaking,0.1506 and,0.1460490.9.6,0.533-04,-1.647,2357-02,",", ",meaning,-{_method,Bal: ,"music1.9,-009,01.",Igbo,2024-09-18 15:23:00
mostlybd-f5b0-4440-8d14-77ace7e3933a,Amharic,music,meaningmeaning_orembedding,M ,", ","-speaking, and and schools re ao p, family_-sT1..,",meaning_purpose,D,C_context,,neural_relevance,2025-06-28 22:26:00
mostly11-cf41-4326-b426-74414c2c9b12,Amharic,dance,{,Zulu,Zulu_encoded,: ,region,", ",",_relevance1.",meaning,"Pe, religious and s.",2024-03-01 23:34:00
mostly76-7aaf-4780-b398-31e18ad6752b,Oromo,ceremony,", ",wisdoma: -02,primary_language,modern_purpose,",_",Easta,: ,cultural and incyerp.,culture,2025-06-06 18:58:00
mostly90-8567-4440-aae4-a682ffb45f77,Hausa,art,"-T-:00 and00,00",", ",: {,culture,description,: , ,Zulu,",modern_or",2025-06-02 18:49:00
mostlyc5-3cc8-4c3b-a810-eeb3bab1346c,Shona,dance,P_,region ,_relevance,Igbo  ,moderner,In_methoder,M:  ,,P,2024-06-23 16:53:00
mostlye2-34b1-469c-a14d-d55db5b002ad,Shona,art,description,_at{,", ",Swahili,transmission_purpose,Igbo,M_al,meaning_element,2024,2025-06-16 09:55:00
mostly96-7caa-4d2b-96d5-c7e055cd255c,Amharic,dance,"music, {",neural_purpose,region,recorded_embedding,Yorubacontexted in a anding ander re community.,recorded_element,Igbo ,historical,: ,2024-06-11 04:05:00
mostly36-36f7-482a-99d1-f227b0d8e049,Amharic,festival,historicalrecorded,cultural ,Oralon ,ET.,neural_purpose,{or_at,: ,"2024-0.,1.46,-0.0.0463,0.67","B-1.36,.",2024-08-29 17:38:00
mostly48-6900-46f1-a1ab-1d3bef327c89,Yoruba,art,historicalpurpose,: ,symbolic in,- ,music,historical_context,: ,_encodedlanguage,description,2024-10-30 05:02:00
mostly75-f44e-4ca1-9ab0-3437ddf16a09,Hausa,art,"recorded--0371,speaking0.205,,0.39170.23,00T.636,0.8042465,--0.",", ","-encodedT-speaking, ","20240.2348,8",,"primary_encoded,-s4.",region,Yoruba,M- and,2024-06-08 17:29:00
mostly21-2349-4912-b4e3-9869a2cb5ba7,Yoruba,music,cultural_encodedu,neural_at,In,modern_purpose,",-0.00858,140-0.8-14 regions,02",description,Oromok_t,To.,} ,2024-02-02 08:26:00
mostlybb-d189-44ed-86b2-ee28c2e93c3f,Oromo,music,description,music{,cultural_purpose,symbolic_encoded,: ,In,", {","C sen and cultural community and cy of cn communal and community and sd sing and bingom, and.",Amharic{,2024-02-25 05:12:00
mostly19-281c-45fd-b1d5-b3125562a801,Igbo,festival,}_.,neural_-at: ,_embedding c,}meaning,-:00}description,A calarm c mes and {,wisdom: ,"2024, ",,2024-08-15 04:39:00
mostly74-16be-462c-b748-78bea8d24531,Yoruba,dance,region,modernu,festival-06 ,Wor,",at",2024ing_embedding,primary_at,cultural- Africaing with  and cultural rear ofed mo ,2024 ,2024-07-23 13:55:00
mostly5e-ce88-46f0-b4d0-d6bdf50e9fbc,Zulu,art,modern_element,", ",neuralou:or00,_relevance,: (,"Igbo-02esa,er in, a and ste ofting and s andingscay off andi s, in ",description,} ,modern_representation,2024-10-25 23:31:00
mostlydc-3498-4688-97dc-1ff67fdaab2b,Yoruba,festival,Shona:,{_element,description,"2024- and.19,0.53.6.",meaning_embedding,neural_language,To-speaking and..,recorded_language,wisdom,2024-11-27 18:27:00
mostly2f-d048-482d-9fa3-6a38ae7f5a0d,Shona,craft,description  in Africa2 fyei.,"cultural anden to p, anding mre pinr.",C_.,,"Aal_eo sy, and s to fle.",description,To mu with inee.,"Amharic, ",: {,2024-02-17 16:29:00
mostly52-6a14-4cc7-893f-7cc66d739ed8,Zulu,festival,primary_representation,meaning_purpose,"symbolics, and community.",Shona1.,Yoruba,region,neural_encoded,modern_representation,Aed,2025-06-21 11:11:00
mostly23-cba8-4510-a8c8-7091e13192b3,Oromo,folklore,", ",: ,Igbo00,: ,: ,"D-0.5181.014,250.7046,-0.829,-0,0.1305,0.0,0.,-0.17,0.2616218026,or0.",- ,,"A_ed sle and and ofarpeng communityeing ands, and c.-,-0,-0..04,-0.1340641,0-1..",2024-03-08 02:43:00
mostlycd-5b7f-4f73-b380-8dd85dfda62d,Igbo,music,-0325,: ,Yoruba,transmission_relevance,neural_element,Dsymbolicing_or_language,: {,", ",meaning_language,2024-10-12 12:00:00
mostlyb2-affa-496a-b3b4-1cbd183a0e42,Oromo,ceremony,"meaningat-speaking1,-0.030.03.,-.13, and social-0.0738,.49.",meaning_representation_purpose,modern_relevance,"Yoruba f0.913,0.",meaningtransmission_ord,cultural_elementat,meaning Africa,_-00,"culturald and socials, d re andoed-efaning, and spiritual andc community.",2024-08-20 20:05:00
mostlye2-f990-463a-adcb-62105e9c9e4f,Shona,craft,historical_language: ,meaning_element,S,", ","2024-0.6,.1515,-T1313,05 ",neural.,", ",modern Nigeria and community.,M_purpose,2025-04-30 22:21:00
mostlya8-e04b-4550-9e69-a2e7e4efe455,Hausa,dance,Shona,}} ,"Won ofenreingy and communal andg cultural, res and social, and.{",",_purpose",Swahili,"Toingingarts to, ",culture,S_element,Amharic_representation,2024-01-19 19:06:00
mostly4d-07e1-4dcf-9080-b8ddfe321288,Yoruba,proverb,recorded_method,meaning_,region,"R of Africa, and",R andsp m ce andyed socialo of ,: ,description_trepresentation,description,recorded_representation,2024-03-09 15:42:00
mostly82-be66-4cde-b8b9-ef74098964f5,Yoruba,dance,transmission_ ,wisdom_representation,To in, ,"2024-0..11362,-.",wisdomlanguage: ,: ,: ,,2024-01-07 01:26:00
mostly9b-2c6b-4d5d-9c9d-69447433048c,Igbo,music,recorded_method,,,transmission_method,: Africa ,: ,2024_method_encoded,C ,description_relevance,2024-05-27 14:31:00
mostly66-c143-4a6f-89d7-22f7b0b27494,Hausa,proverb,"2024042,-1 and s3",primary,festival,historical_er,Amharic00-0.75,historical,neural,,Cs c to andedesee au and.,2025-07-04 02:05:00
mostly27-9f6f-4a0c-a839-f7389b0b1b4f,Oromo,folklore,Ees,modern_languagewisdom: ,", ",culture,{,}_relevance,", _languagemethod",2024-0.380.05,: ,2024-07-20 02:28:00
mostly96-b7a3-4671-8226-eb4639700f98,Yoruba,music,: ,modern_context,Po,2024 ,S,description,"wisdomyo, ",Yoruba,"cultural in inse andesoeing ands, and re community, to withing andi tos,  with.",2025-05-19 07:26:00
mostlye0-0909-4689-ad25-45fb70e8bae2,Hausa,craft,symbolic_method,description:00,primary Africa}} at,recorded_representation,"wisdom--1190501,-08.39,-1,1.",",00-1.0.0936,0,.292880.97170.","202420.1407,-0.234,,-05-0390-270.0410.",symbolic,"-1.7,1.,18271,-0.0543, 0.0418.2133",2025-09-20 19:39:00
mostly49-db22-470f-a52a-dee776072f8a,Yoruba,art,recorded_ing,neural_embedding,neural ,recordedorlanguage.,primary_context,_element,East,transmission: ,description,2024-05-10 04:15:00
mostlyc5-68eb-4b4e-bb93-0b7804ff4318,Swahili,dance,description,transmission_T,"Shonao, festivals, ",culture,historical_or,A_,neural_language,region,"-_-0.0638speaking03,",2025-05-18 15:57:00
mostly8a-1fdb-4051-93e6-4de1029e9fd3,Shona,folklore,wisdom_at,transmission_,: ,dance.36_relevance,: ,Hausa: ,2025}} {,"culture, {-speaking",transmissionor_,2024-12-21 07:29:00
